condition,neighborhood,angular_fidelity,precision,recall,F1,corner_TP,ridge_thickness,n_kept,elapsed_ms
clean,1,A8,0.4976,0.9941,0.6632,0.4849,1.185,74193,358
clean,1,A16,0.5023,0.9940,0.6673,0.4893,1.185,73920,410
clean,1,Acont,0.4991,0.9939,0.6645,0.4864,1.175,72678,434
clean,2,A8,0.8252,0.9971,0.9031,0.6422,1.810,57882,421
clean,2,A16,0.8307,0.9973,0.9064,0.6516,1.824,57706,449
clean,2,Acont,0.8305,0.9974,0.9063,0.6551,1.816,57415,340
clean,3,A8,0.9464,0.9995,0.9722,0.8114,3.027,80112,326
clean,3,A16,0.9505,0.9994,0.9743,0.8179,3.063,79899,310
clean,3,Acont,0.9507,0.9995,0.9745,0.8203,3.047,79543,268
clean,4,A8,0.9635,0.9997,0.9813,0.8933,3.994,96106,311
clean,4,A16,0.9606,0.9997,0.9798,0.8918,3.997,96556,320
clean,4,Acont,0.9615,0.9997,0.9802,0.8883,3.989,96450,286
clean,5,A8,0.8609,0.9998,0.9252,0.9102,5.190,121648,316
clean,5,A16,0.8584,0.9998,0.9237,0.9107,5.156,122196,338
clean,5,Acont,0.8600,0.9997,0.9246,0.9052,5.182,122091,327
noisy,1,A8,0.5038,0.9913,0.6681,0.4833,1.099,66521,342
noisy,1,A16,0.5088,0.9913,0.6725,0.4833,1.101,65928,347
noisy,1,Acont,0.5099,0.9913,0.6734,0.4838,1.101,65748,354
noisy,2,A8,0.8013,0.9920,0.8865,0.6444,1.751,60385,354
noisy,2,A16,0.8105,0.9922,0.8922,0.6536,1.773,59872,315
noisy,2,Acont,0.8127,0.9923,0.8936,0.6483,1.772,59667,394
noisy,3,A8,0.9318,0.9973,0.9634,0.8055,2.731,74673,345
noisy,3,A16,0.9375,0.9974,0.9665,0.8123,2.786,74551,496
noisy,3,Acont,0.9381,0.9975,0.9669,0.8104,2.791,74625,402
noisy,4,A8,0.9486,0.9994,0.9733,0.8805,3.903,95997,383
noisy,4,A16,0.9468,0.9994,0.9724,0.8781,3.904,96227,449
noisy,4,Acont,0.9473,0.9994,0.9726,0.8791,3.909,96346,467
noisy,5,A8,0.8683,0.9998,0.9294,0.8979,5.020,118721,524
noisy,5,A16,0.8655,0.9997,0.9278,0.8965,5.023,119394,401
noisy,5,Acont,0.8659,0.9997,0.9280,0.8960,5.058,119470,442
