image,palette,size,order,radius,estimator,sample_count,mask,n_pixels,mean_deg,median_deg,p90_deg,p95_deg,p99_deg,max_deg,mean_strength
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,steerable_atan2,0,all,35023,4.623951435089111,0.22705598175525665,16.421558380126953,32.33700180053711,48.40702438354492,89.72360229492188,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,steerable_atan2,0,smooth,25844,0.42422163486480713,0.15045541524887085,0.3914531469345093,0.9805310368537903,9.597065925598145,14.257555961608887,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_16,16,all,35023,6.070215702056885,3.3700835704803467,16.87991714477539,33.74999237060547,48.37991714477539,90.0,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_16_vs_steerable,16,all,35023,2.252230167388916,1.9032186269760132,5.275885581970215,5.542165756225586,5.614227294921875,5.624770164489746,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_16,16,smooth,25844,2.2351317405700684,1.1299182176589966,5.620084762573242,5.62992000579834,11.249998092651367,16.8243408203125,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_16_vs_steerable,16,smooth,25844,2.0688905715942383,0.9951995611190796,5.377421855926514,5.564309120178223,5.614292621612549,5.624551773071289,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_32,32,all,35023,5.238268852233887,1.1299182176589966,16.875,33.74999237060547,49.50491714477539,90.0,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_32_vs_steerable,32,all,35023,1.0293177366256714,0.8809646368026733,2.2194972038269043,2.477306842803955,2.7498669624328613,2.812473773956299,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_32,32,smooth,25844,1.2073965072631836,1.1200759410858154,2.2549185752868652,2.703259229660034,9.716408729553223,16.875,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_32_vs_steerable,32,smooth,25844,0.9169024229049683,0.8237549662590027,2.137576103210449,2.2769391536712646,2.702385663986206,2.8118114471435547,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_64,64,all,35023,4.877302169799805,0.5674179792404175,16.875,32.06741714477539,48.37991714477539,90.0,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_64_vs_steerable,64,all,35023,0.5416890382766724,0.6471741199493408,1.0730282068252563,1.246557354927063,1.372373342514038,1.4060354232788086,0.019661162048578262
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_64,64,smooth,25844,0.7528035044670105,0.5575893521308899,1.1299182176589966,1.5934667587280273,9.416013717651367,14.062499046325684,0.020159054547548294
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,brute_64_vs_steerable,64,smooth,25844,0.4948631823062897,0.6287360191345215,0.9669567346572876,1.149674892425537,1.3394312858581543,1.4060354232788086,0.020159054547548294
