image,palette,size,order,radius,support_size,angle_deg,backend,kernel_max_abs_error,kernel_rmse,response_max_abs_error,response_mean_abs_error,response_rmse,response_p99_abs_error,response_relative_max_error,response_correlation,time_gxy_s,time_direct_s
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_dark_light_steps_1024.png,dark_light_steps,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,1.578591763973236e-07,3.6479250044367585e-09,1.0706681656513526e-08,5.3085386753082275e-08,4.66456930751923e-06,0.9999999999988803,0.09586112503893673,0.061088250018656254
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.195638656616211e-08,2.653820935176169e-09,7.280607054154899e-09,3.725290298461914e-08,2.686950865866863e-06,0.9999999999995011,0.07073945901356637,0.06065141595900059
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_cool_colors_1024.png,low_contrast_cool_colors,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.664777174592018e-08,3.786999425413433e-09,8.48647660484391e-09,3.876630216836929e-08,2.495303598903374e-05,0.999999999870009,0.07718404196202755,0.061018459033221006
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_gray_1024.png,low_contrast_gray,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.149072527885437e-08,3.17563719751172e-09,9.756696155597929e-09,5.075708031654358e-08,9.803373458447532e-06,0.9999999999769832,0.0685524579603225,0.0609290418215096
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_mixed_chroma_1024.png,low_contrast_mixed_chroma,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.877235136926174e-08,2.7421673354246593e-09,8.103015968241658e-09,4.2003193811979145e-08,3.107222884897734e-05,0.9999999997169764,0.06846541678532958,0.06073995819315314
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_warm_colors_1024.png,low_contrast_warm_colors,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,9.802170097827911e-08,3.634509398241154e-09,1.1302853977872029e-08,5.911627454224799e-08,2.8198583399621215e-05,0.9999999998644216,0.0608514160849154,0.06062920787371695
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_warm_cool_midtones_1024.png,warm_cool_midtones,1024,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.891787052154541e-08,2.385325732353387e-09,6.210165369243572e-09,2.9802322387695312e-08,2.806348171937216e-06,0.9999999999990853,0.06639566598460078,0.060819000005722046
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_dark_light_steps_2048.png,dark_light_steps,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,1.5832483768463135e-07,2.1220395195529897e-09,8.140073075855096e-09,3.91155481338501e-08,4.6777709243847684e-06,0.9999999999987859,0.24427204206585884,0.24016070808283985
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_garnet_atlantic_grass_2048.png,garnet_atlantic_grass,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.195638656616211e-08,1.5219006731653958e-09,5.1786805560527505e-09,2.7939677238464355e-08,2.686630283586649e-06,0.9999999999994983,0.24956254195421934,0.23999925004318357
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_cool_colors_2048.png,low_contrast_cool_colors,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.664777174592018e-08,2.415361129703652e-09,6.086910515174405e-09,3.2247044146060944e-08,1.9102590017577053e-05,0.9999999998833925,0.2522810830269009,0.2401225829962641
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_gray_2048.png,low_contrast_gray,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.35862010717392e-08,1.7789982973135292e-09,7.008971574655734e-09,3.934837877750397e-08,7.571548390503937e-06,0.9999999999800885,0.24880312499590218,0.24003883288241923
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_mixed_chroma_2048.png,low_contrast_mixed_chroma,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.877235136926174e-08,1.6843950074428658e-09,5.910672914522404e-09,3.504101186990738e-08,3.1064490566017895e-05,0.9999999997438003,0.25275291688740253,0.24008524999953806
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_warm_colors_2048.png,low_contrast_warm_colors,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,9.802170097827911e-08,2.0295219617396893e-09,8.082793555877765e-09,4.708999767899513e-08,2.1494455910990693e-05,0.9999999998770394,0.25136075005866587,0.24379141605459154
