edge_offset_px,snr_db,grad_rmse,anisotropy_ratio
0,clean,9.96866817952687806e-02,1.72987169149689901e+00
0,20 dB,9.97027898989713696e-02,1.68629917595873180e+00
0,10 dB,9.98593616350451629e-02,1.58648261944059787e+00
15,clean,9.67940585803886283e-02,1.02378880749445544e+00
15,20 dB,9.68170853250859692e-02,1.03364997369683431e+00
15,10 dB,9.70004461589498296e-02,1.05402512908533086e+00
30,clean,9.64943450050775448e-02,1.02634151932977158e+00
30,20 dB,9.65153319549269112e-02,1.02572747141026466e+00
30,10 dB,9.67154042676472286e-02,1.05859105843127010e+00
60,clean,9.67263297450274562e-02,1.03238678662641492e+00
60,20 dB,9.67504421738671766e-02,1.02783300128176824e+00
60,10 dB,9.69599557274005985e-02,1.04967066233260709e+00
interior,clean,9.60622220470653543e-02,1.05063201084897173e+00
interior,20 dB,9.60854836690765574e-02,1.03461581886495702e+00
interior,10 dB,9.62961747177005500e-02,1.03835125392514627e+00
