edge_offset_px,snr_db,grad_rmse,anisotropy_ratio
0,clean,9.78754416077721873e-02,1.58501867661075391e+00
0,20 dB,9.78995904219869123e-02,1.50067523943560643e+00
0,10 dB,9.81719617225621788e-02,1.28270926607196523e+00
15,clean,9.59364473521770456e-02,1.01910081052498858e+00
15,20 dB,9.59716724831153473e-02,1.04392810101325417e+00
15,10 dB,9.62196394104813946e-02,1.07437472402121603e+00
30,clean,9.58459893931022100e-02,1.01910516878766089e+00
30,20 dB,9.58727806991973297e-02,1.04047347433334436e+00
30,10 dB,9.61297880930373494e-02,1.06840314713617590e+00
60,clean,9.61043930073254560e-02,1.01910049672726122e+00
60,20 dB,9.61391624600222705e-02,1.03350002920606143e+00
60,10 dB,9.63723937556188459e-02,1.05801509445769071e+00
interior,clean,9.58738633279394986e-02,1.02478199608511678e+00
interior,20 dB,9.58993853625795256e-02,1.03177807368376628e+00
interior,10 dB,9.61198382899863119e-02,1.05805811254322957e+00
