edge_offset_px,snr_db,grad_rmse,anisotropy_ratio
0,clean,1.02000406479174424e-01,4.82694297658485283e+00
0,20 dB,1.02015354293674476e-01,4.10905018691827539e+00
0,10 dB,1.02207973657402515e-01,3.13006582139998857e+00
15,clean,9.70341082097948004e-02,1.12413513156482092e+00
15,20 dB,9.70586378585583803e-02,1.12054201655839969e+00
15,10 dB,9.72570856465099776e-02,1.09748657663476323e+00
30,clean,9.66258063491491070e-02,1.10442768731396646e+00
30,20 dB,9.66471238907726238e-02,1.09544227416536688e+00
30,10 dB,9.68560074864270870e-02,1.07041965519772542e+00
60,clean,9.66539224063610175e-02,1.06714451909813701e+00
60,20 dB,9.66788555177309772e-02,1.05671812307149948e+00
60,10 dB,9.68916165443647753e-02,1.04997582746129692e+00
interior,clean,9.59061332301529429e-02,1.02493308623627888e+00
interior,20 dB,9.59288934488253670e-02,1.02817259298694119e+00
interior,10 dB,9.61430238320230418e-02,1.03890425104977546e+00
