edge_offset_px,snr_db,grad_rmse,anisotropy_ratio
0,clean,1.00302365158011927e-01,1.18525742124482636e+00
0,20 dB,1.00315449454267111e-01,1.16537484364829624e+00
0,10 dB,1.00500500677097454e-01,1.11826300680126733e+00
15,clean,9.81800542007105204e-02,1.17519088514030945e+00
15,20 dB,9.82047736437607482e-02,1.16724124209663338e+00
15,10 dB,9.83846528221444389e-02,1.15512038135061923e+00
30,clean,9.74791639682016792e-02,1.17123220142128504e+00
30,20 dB,9.74991896913297990e-02,1.15502229220094188e+00
30,10 dB,9.76955772524204652e-02,1.11690930952188716e+00
60,clean,9.77355382158362901e-02,1.14672028185848274e+00
60,20 dB,9.77605712130097670e-02,1.12917422983174021e+00
60,10 dB,9.79618008234630910e-02,1.07522071395702490e+00
interior,clean,9.62696612145918507e-02,1.07995171042570437e+00
interior,20 dB,9.62928706131448015e-02,1.04756593920040908e+00
interior,10 dB,9.65010085194365208e-02,1.03796325343582918e+00
