degree,curvature_radius,grad_rmse,ang_mae,mag_bias,kappa,rank_deficient_count
1,20,1.38351596788990228e-01,2.08357746698110979e+00,-4.73078229701534084e-02,1.99522120000395464e+00,0
1,50,1.10416313945489883e-01,5.97754815964954833e-01,-3.23303317768164691e-02,1.99522120000395464e+00,0
1,100,1.09595617369865117e-01,2.97958242161760090e-01,-3.18701881669856760e-02,1.99522120000395464e+00,0
1,200,1.09539371432969490e-01,2.69455864947289847e-01,-3.17838567566533087e-02,1.99522120000395464e+00,0
3,20,1.23703036749846049e-01,1.37626469018952391e+00,-1.59983591488939668e-02,5.63972290476161788e+01,0
3,50,9.67331873326864877e-02,2.48577431332793475e-01,-4.35724944443966877e-03,5.63972290476161788e+01,0
3,100,9.59217802402400205e-02,6.58631044483167782e-02,-4.20000417644318235e-03,5.63972290476161788e+01,0
3,200,9.58721464979638144e-02,4.60810964408556040e-02,-4.17354047676230921e-03,5.63972290476161788e+01,0
5,20,1.10650023255694202e-01,1.25402205003584699e+00,3.41899215985790560e-04,4.88542194395145179e+03,0
5,50,8.31935599068930193e-02,2.22374186528776135e-01,7.67659117747132580e-03,4.88542194395145179e+03,0
5,100,8.23542864044361084e-02,9.75542039964717445e-02,7.61879507880230608e-03,4.88542194395145179e+03,0
5,200,8.22964898861010263e-02,9.04173624557057243e-02,7.59800806825985595e-03,4.88542194395145179e+03,0
7,20,9.76905372915707892e-02,1.76516048199502795e+00,6.21915750596791720e-03,8.65536134913032409e+05,0
7,50,6.92106289318898393e-02,9.18308583806728085e-01,9.07364938155264152e-03,8.65536134913032409e+05,0
7,100,6.84062923838714976e-02,8.64381772315673480e-01,8.95307960740225790e-03,8.65536134913032409e+05,0
7,200,6.83488338142817647e-02,8.67446420557000830e-01,8.90960781967049635e-03,8.65536134913032409e+05,0
9,20,8.60141728568965674e-02,1.96413746050569937e+00,1.00135189945009598e-02,2.53200461447041333e+08,0
9,50,5.71467927057446312e-02,1.10314798624996868e+00,1.06378740611827241e-02,2.53200461447041333e+08,0
9,100,5.64187541038235763e-02,9.71550388016962918e-01,1.05711248964462309e-02,2.53200461447041333e+08,0
9,200,5.63688826739328908e-02,9.96203124947435015e-01,1.05479890459179524e-02,2.53200461447041333e+08,0
