frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.56250000000000000e-02,0.000000,-8.45429077285353436e-04,-2.02395463684723609e-04,30 dB
3.12500000000000000e-02,0.000000,-1.71022376156432787e-02,5.03896101081036107e-04,30 dB
6.25000000000000000e-02,0.000000,-2.72077704177080659e-01,7.33013864424592043e-04,30 dB
1.25000000000000000e-01,0.000000,-7.63078204422361850e-01,9.65292663594130573e-04,30 dB
2.50000000000000000e-01,0.000000,-1.56313628144428618e+00,3.14151605715326188e+00,30 dB
1.56250000000000000e-02,5.000000,-6.58718463303092916e-04,-1.78311853083368277e-04,30 dB
3.12500000000000000e-02,5.000000,-1.74698847909572075e-02,1.71671208479828863e-04,30 dB
6.25000000000000000e-02,5.000000,-2.72742111613128169e-01,-6.48824938753733704e-05,30 dB
1.25000000000000000e-01,5.000000,-7.62778636712301616e-01,2.19581525726653126e-05,30 dB
2.50000000000000000e-01,5.000000,-1.56396675886256986e+00,3.14142914821642716e+00,30 dB
1.56250000000000000e-02,10.000000,-5.86960710628747773e-04,-1.14053000030089891e-04,30 dB
3.12500000000000000e-02,10.000000,-1.76375124282390217e-02,-1.91413419829533638e-04,30 dB
6.25000000000000000e-02,10.000000,-2.74051270019099791e-01,7.95616239686047777e-05,30 dB
1.25000000000000000e-01,10.000000,-7.61908901102608560e-01,1.74241837513910980e-05,30 dB
2.50000000000000000e-01,10.000000,-1.56531853907774843e+00,-3.14156215276794804e+00,30 dB
1.56250000000000000e-02,15.000000,-6.80513300024748746e-04,1.14191290594867212e-04,30 dB
3.12500000000000000e-02,15.000000,-1.78399451017577371e-02,3.90236896254947396e-05,30 dB
6.25000000000000000e-02,15.000000,-2.76047024158284915e-01,-3.51601654378086437e-05,30 dB
1.25000000000000000e-01,15.000000,-7.60808475294198705e-01,-6.57692491223826892e-06,30 dB
2.50000000000000000e-01,15.000000,-1.56495545608354947e+00,-3.14149811011381885e+00,30 dB
1.56250000000000000e-02,20.000000,-6.66921930233668747e-04,7.82429506376303152e-05,30 dB
