frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.56250000000000000e-02,0.000000,-8.50217950054202309e-04,-1.53186950419215151e-04,1000
3.12500000000000000e-02,0.000000,-1.70931092682719832e-02,4.33230873152723461e-04,1000
6.25000000000000000e-02,0.000000,-2.72062243180189123e-01,6.99743988581857934e-04,1000
1.25000000000000000e-01,0.000000,-7.63078876891915558e-01,8.29749510823596381e-04,1000
2.50000000000000000e-01,0.000000,-1.56313535461285147e+00,3.14147827940305735e+00,1000
1.56250000000000000e-02,5.000000,-6.67254846832207593e-04,-1.25477927512385179e-04,1000
3.12500000000000000e-02,5.000000,-1.74972615765243977e-02,1.48518087913274144e-04,1000
6.25000000000000000e-02,5.000000,-2.72719350096994329e-01,-5.47979134948306523e-05,1000
1.25000000000000000e-01,5.000000,-7.62781352308601224e-01,1.85967235113437823e-05,1000
2.50000000000000000e-01,5.000000,-1.56396706495694326e+00,-3.14151459100952746e+00,1000
1.56250000000000000e-02,10.000000,-6.09251606760244369e-04,-1.65715412743239199e-05,1000
3.12500000000000000e-02,10.000000,-1.76470339555951095e-02,-6.91696326917679016e-05,1000
6.25000000000000000e-02,10.000000,-2.74052153406210253e-01,4.29109489310519621e-05,1000
1.25000000000000000e-01,10.000000,-7.61907718502271569e-01,9.11723865293367908e-08,1000
2.50000000000000000e-01,10.000000,-1.56531936781741576e+00,-3.14152736548536016e+00,1000
1.56250000000000000e-02,15.000000,-6.74305448801704177e-04,5.11987301021754604e-05,1000
3.12500000000000000e-02,15.000000,-1.78414661201641844e-02,7.41852880792315261e-05,1000
6.25000000000000000e-02,15.000000,-2.76058900199212143e-01,4.94101380343892060e-05,1000
1.25000000000000000e-01,15.000000,-7.60807374083784849e-01,-6.82830761551400656e-05,1000
2.50000000000000000e-01,15.000000,-1.56495564639331652e+00,3.14152558293730699e+00,1000
1.56250000000000000e-02,20.000000,-6.72373163719000577e-04,3.15954851570765527e-05,1000
3.12500000000000000e-02,20.000000,-1.81378471039260469e-02,-6.53603415941006460e-05,1000
6.25000000000000000e-02,20.000000,-2.78523925905156011e-01,6.02639526388060176e-05,1000
1.25000000000000000e-01,20.000000,-7.59914027599359332e-01,1.51845649751791711e-05,1000
2.50000000000000000e-01,20.000000,-1.56589477708525138e+00,-3.14156132658227660e+00,1000
1.56250000000000000e-02,25.000000,-6.93610029762106728e-04,-4.95717095323477963e-05,1000
3.12500000000000000e-02,25.000000,-1.84309019953441955e-02,-3.41376577992491548e-05,1000
6.25000000000000000e-02,25.000000,-2.81131199236532847e-01,-1.21154669734835352e-04,1000
1.25000000000000000e-01,25.000000,-7.59377639251878955e-01,3.30136734634223217e-05,1000
2.50000000000000000e-01,25.000000,-1.57001967116680885e+00,3.14156823094635307e+00,1000
1.56250000000000000e-02,30.000000,-6.98848514138525334e-04,-7.41590310902040528e-05,1000
3.12500000000000000e-02,30.000000,-1.86933786006918956e-02,2.25577384149744375e-06,1000
6.25000000000000000e-02,30.000000,-2.83556988472656146e-01,-3.52736926245711402e-05,1000
