frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.56250000000000000e-02,0.000000,-8.44757073872229314e-04,-2.65301335782730519e-04,0.1
3.12500000000000000e-02,0.000000,-1.71661877556235909e-02,5.58518963060805618e-05,0.1
6.25000000000000000e-02,0.000000,-2.72013121442067185e-01,6.11645954806228076e-04,0.1
1.25000000000000000e-01,0.000000,-7.63072526336484813e-01,7.68240343838932915e-04,0.1
2.50000000000000000e-01,0.000000,-1.56313747010508952e+00,-3.14150076091546104e+00,0.1
1.56250000000000000e-02,5.000000,-6.37830051296667255e-04,-4.28461289572190651e-04,0.1
3.12500000000000000e-02,5.000000,-1.74508932212296131e-02,-4.34293025701748547e-05,0.1
6.25000000000000000e-02,5.000000,-2.72759677048860394e-01,-2.93058877657070838e-04,0.1
1.25000000000000000e-01,5.000000,-7.62784552164658236e-01,-1.47816633607078529e-04,0.1
2.50000000000000000e-01,5.000000,-1.56396795944590861e+00,-3.14145353307836217e+00,0.1
1.56250000000000000e-02,10.000000,-6.07961260899209099e-04,-8.21643559172358096e-05,0.1
3.12500000000000000e-02,10.000000,-1.76448492457878525e-02,3.00445357737988417e-04,0.1
6.25000000000000000e-02,10.000000,-2.74022771064218906e-01,3.41788709523171974e-04,0.1
1.25000000000000000e-01,10.000000,-7.61909736071113342e-01,-6.60064692574735545e-05,0.1
2.50000000000000000e-01,10.000000,-1.56531953180460115e+00,-3.14140814440569160e+00,0.1
1.56250000000000000e-02,15.000000,-6.91670922133055810e-04,7.90173763740575907e-05,0.1
3.12500000000000000e-02,15.000000,-1.79062374911107269e-02,7.80124987591612751e-05,0.1
6.25000000000000000e-02,15.000000,-2.76047726805753235e-01,2.64873967182666092e-04,0.1
1.25000000000000000e-01,15.000000,-7.60810871083281604e-01,8.62772516647680732e-05,0.1
2.50000000000000000e-01,15.000000,-1.56495488343987255e+00,3.14159123772622095e+00,0.1
1.56250000000000000e-02,20.000000,-6.56889082734438134e-04,-5.63297155142805650e-07,0.1
3.12500000000000000e-02,20.000000,-1.81049764585744510e-02,2.19582012892516332e-04,0.1
6.25000000000000000e-02,20.000000,-2.78536484131711615e-01,2.66372307606399517e-04,0.1
1.25000000000000000e-01,20.000000,-7.59917498436886274e-01,-3.55863782712351195e-04,0.1
2.50000000000000000e-01,20.000000,-1.56589482504286814e+00,3.14132824146276945e+00,0.1
1.56250000000000000e-02,25.000000,-7.08424970599433323e-04,1.91798158102329808e-05,0.1
3.12500000000000000e-02,25.000000,-1.84076514044185513e-02,1.10517013516719942e-04,0.1
6.25000000000000000e-02,25.000000,-2.81121652689387824e-01,-1.00326176137421896e-04,0.1
1.25000000000000000e-01,25.000000,-7.59374865356760465e-01,-2.40721129571852543e-05,0.1
2.50000000000000000e-01,25.000000,-1.57001984160386088e+00,3.14131597953984265e+00,0.1
1.56250000000000000e-02,30.000000,-6.79443324767367574e-04,2.51500878611921053e-05,0.1
3.12500000000000000e-02,30.000000,-1.87298108972509536e-02,-2.27912943472130536e-04,0.1
6.25000000000000000e-02,30.000000,-2.83577015062410009e-01,-6.82673006329181931e-05,0.1
1.25000000000000000e-01,30.000000,-7.58866235080780993e-01,-1.73576920229567833e-04,0.1
2.50000000000000000e-01,30.000000,-1.57027487864232507e+00,-3.14140935132566668e+00,0.1
1.56250000000000000e-02,35.000000,-7.01354331186870850e-04,8.39013711884106783e-05,0.1
3.12500000000000000e-02,35.000000,-1.89069194533040830e-02,3.58828137334121777e-04,0.1
6.25000000000000000e-02,35.000000,-2.85550814303095646e-01,-2.42516696089545292e-05,0.1
1.25000000000000000e-01,35.000000,-7.58054873283628083e-01,3.19657862213773569e-04,0.1
2.50000000000000000e-01,35.000000,-1.56757220644913509e+00,-3.14152839284496554e+00,0.1
1.56250000000000000e-02,40.000000,-7.32402790583286389e-04,1.89804461620646236e-04,0.1
3.12500000000000000e-02,40.000000,-1.90732837844791170e-02,3.29124408938064050e-04,0.1
6.25000000000000000e-02,40.000000,-2.86824913515762669e-01,-8.66401622223733625e-06,0.1
1.25000000000000000e-01,40.000000,-7.57142585161921455e-01,-2.60121305639238187e-04,0.1
2.50000000000000000e-01,40.000000,-1.56974697241166417e+00,-3.14137146319742389e+00,0.1
1.56250000000000000e-02,45.000000,-6.93752008798328990e-04,-3.99073160002760829e-04,0.1
3.12500000000000000e-02,45.000000,-1.91264745029655903e-02,4.65982360493555348e-05,0.1
6.25000000000000000e-02,45.000000,-2.87261760735194716e-01,2.85630327256036765e-04,0.1
1.25000000000000000e-01,45.000000,-7.56717756376098505e-01,-8.87670697586884216e-05,0.1
2.50000000000000000e-01,45.000000,-1.56902162314729665e+00,4.59705500501783604e-05,0.1
1.56250000000000000e-02,50.000000,-7.38748155828375386e-04,-1.45009433361487083e-04,0.1
3.12500000000000000e-02,50.000000,-1.90386137101027642e-02,9.99591794945686729e-05,0.1
6.25000000000000000e-02,50.000000,-2.86847186868168125e-01,7.68148842658078479e-05,0.1
1.25000000000000000e-01,50.000000,-7.57137606808747532e-01,-6.12058853923791446e-05,0.1
2.50000000000000000e-01,50.000000,-1.56974692826174600e+00,3.14110831720926331e+00,0.1
1.56250000000000000e-02,55.000000,-7.30953123118577297e-04,-1.84500407823584567e-04,0.1
3.12500000000000000e-02,55.000000,-1.88648103258366728e-02,-3.60034732205249952e-04,0.1
6.25000000000000000e-02,55.000000,-2.85527587808541927e-01,-1.62773960354911651e-06,0.1
1.25000000000000000e-01,55.000000,-7.58053622300171925e-01,-1.67644602530714337e-04,0.1
2.50000000000000000e-01,55.000000,-1.56757183498798836e+00,3.14136242536889831e+00,0.1
1.56250000000000000e-02,60.000000,-6.79462390359611423e-04,-9.71882832816461928e-05,0.1
3.12500000000000000e-02,60.000000,-1.87140866451689925e-02,2.30586881150962597e-04,0.1
6.25000000000000000e-02,60.000000,-2.83545781090253746e-01,1.45943671985726553e-04,0.1
1.25000000000000000e-01,60.000000,-7.58864398701753151e-01,7.10821061629118844e-05,0.1
2.50000000000000000e-01,60.000000,-1.57027479347263332e+00,3.14065895253080285e+00,0.1
1.56250000000000000e-02,65.000000,-6.84517309681956232e-04,-1.88206099239085489e-04,0.1
3.12500000000000000e-02,65.000000,-1.84047081987907257e-02,-1.09586272305506327e-05,0.1
6.25000000000000000e-02,65.000000,-2.81100349886544254e-01,-1.00511563268401716e-04,0.1
1.25000000000000000e-01,65.000000,-7.59377430380680951e-01,1.81700355141423131e-04,0.1
2.50000000000000000e-01,65.000000,-1.57001992308411720e+00,-3.14136667476726217e+00,0.1
1.56250000000000000e-02,70.000000,-6.85006988769928937e-04,-1.91950028962217800e-04,0.1
3.12500000000000000e-02,70.000000,-1.81346460901405659e-02,-8.18270091418327183e-06,0.1
6.25000000000000000e-02,70.000000,-2.78515652282243231e-01,-2.95042787463728473e-05,0.1
1.25000000000000000e-01,70.000000,-7.59915889709139369e-01,1.18438503887929869e-04,0.1
2.50000000000000000e-01,70.000000,-1.56589582556648788e+00,-3.14145030198703079e+00,0.1
