theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,7.02348975990451235e-02,1.00000000000000044e+00
10.000000,7.00161542083951038e-02,1.00196136259878688e+00
20.000000,6.95277079934291525e-02,1.00303379569441198e+00
30.000000,6.89109702976401506e-02,1.00265267920790713e+00
40.000000,6.85463768640957316e-02,1.00116413805218096e+00
50.000000,6.85463768640957316e-02,1.00116413805218096e+00
60.000000,6.89109702976401645e-02,1.00265267920790713e+00
70.000000,6.95277079934291942e-02,1.00303379569441242e+00
80.000000,7.00161542083951177e-02,1.00196136259878688e+00
90.000000,7.02348975990451374e-02,1.00000000000000022e+00
100.000000,7.00161542083950206e-02,1.00196136259878621e+00
110.000000,6.95277079934291803e-02,1.00303379569441220e+00
120.000000,6.89109702976401922e-02,1.00265267920790668e+00
130.000000,6.85463768640957594e-02,1.00116413805218096e+00
140.000000,6.85463768640957594e-02,1.00116413805218052e+00
150.000000,6.89109702976401922e-02,1.00265267920790646e+00
160.000000,6.95277079934291942e-02,1.00303379569441176e+00
170.000000,7.00161542083950206e-02,1.00196136259878577e+00
180.000000,7.02348975990451097e-02,1.00000000000000022e+00
190.000000,7.00161542083949928e-02,1.00196136259878688e+00
200.000000,6.95277079934291387e-02,1.00303379569441242e+00
210.000000,6.89109702976401367e-02,1.00265267920790713e+00
220.000000,6.85463768640957039e-02,1.00116413805218096e+00
230.000000,6.85463768640957039e-02,1.00116413805218096e+00
240.000000,6.89109702976401367e-02,1.00265267920790713e+00
250.000000,6.95277079934291387e-02,1.00303379569441242e+00
260.000000,7.00161542083949651e-02,1.00196136259878688e+00
270.000000,7.02348975990450680e-02,1.00000000000000067e+00
280.000000,7.00161542083950622e-02,1.00196136259878621e+00
290.000000,6.95277079934291248e-02,1.00303379569441198e+00
300.000000,6.89109702976401367e-02,1.00265267920790668e+00
310.000000,6.85463768640957177e-02,1.00116413805218052e+00
320.000000,6.85463768640957316e-02,1.00116413805218119e+00
330.000000,6.89109702976401645e-02,1.00265267920790735e+00
340.000000,6.95277079934291942e-02,1.00303379569441198e+00
350.000000,7.00161542083951177e-02,1.00196136259878665e+00
