theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,6.26240620132417630e-02,1.00000000000000000e+00
10.000000,6.14343717271288725e-02,1.00270543871484730e+00
20.000000,5.80306159583491646e-02,1.01307057518351540e+00
30.000000,5.31234544582928903e-02,1.03965852025004524e+00
40.000000,4.88200576418593712e-02,1.03382549782152022e+00
50.000000,4.88200576418593782e-02,1.03382549782152022e+00
60.000000,5.31234544582928903e-02,1.03965852025004502e+00
70.000000,5.80306159583491715e-02,1.01307057518351540e+00
80.000000,6.14343717271288725e-02,1.00270543871484685e+00
90.000000,6.26240620132418047e-02,1.00000000000000044e+00
100.000000,6.14343717271288239e-02,1.00270543871484685e+00
110.000000,5.80306159583491646e-02,1.01307057518351584e+00
120.000000,5.31234544582928764e-02,1.03965852025004524e+00
130.000000,4.88200576418593574e-02,1.03382549782152022e+00
140.000000,4.88200576418593574e-02,1.03382549782152044e+00
150.000000,5.31234544582928833e-02,1.03965852025004546e+00
160.000000,5.80306159583491646e-02,1.01307057518351629e+00
170.000000,6.14343717271288239e-02,1.00270543871484707e+00
180.000000,6.26240620132417769e-02,1.00000000000000044e+00
190.000000,6.14343717271288239e-02,1.00270543871484641e+00
200.000000,5.80306159583491923e-02,1.01307057518351540e+00
210.000000,5.31234544582929041e-02,1.03965852025004524e+00
220.000000,4.88200576418593851e-02,1.03382549782152044e+00
230.000000,4.88200576418593782e-02,1.03382549782151978e+00
240.000000,5.31234544582928764e-02,1.03965852025004479e+00
250.000000,5.80306159583491646e-02,1.01307057518351495e+00
260.000000,6.14343717271288031e-02,1.00270543871484596e+00
270.000000,6.26240620132417491e-02,1.00000000000000044e+00
280.000000,6.14343717271288656e-02,1.00270543871484774e+00
290.000000,5.80306159583491438e-02,1.01307057518351606e+00
300.000000,5.31234544582928556e-02,1.03965852025004546e+00
310.000000,4.88200576418593504e-02,1.03382549782152044e+00
320.000000,4.88200576418593504e-02,1.03382549782152067e+00
330.000000,5.31234544582928486e-02,1.03965852025004546e+00
340.000000,5.80306159583491646e-02,1.01307057518351562e+00
350.000000,6.14343717271288656e-02,1.00270543871484752e+00
