theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,7.84624646496340228e-02,
10.000000,7.82218504088875444e-02,
20.000000,7.76761703462017922e-02,
30.000000,7.69472109726181130e-02,
40.000000,7.65293099352133688e-02,
50.000000,7.65373767121067944e-02,
60.000000,7.69580735279730976e-02,
70.000000,7.76585838503819209e-02,
80.000000,7.82006570459133771e-02,
90.000000,7.84624646496339673e-02,
100.000000,7.82218504088875860e-02,
110.000000,7.76761703462017783e-02,
120.000000,7.69472109726181130e-02,
130.000000,7.65293099352133965e-02,
140.000000,7.65373767121068083e-02,
150.000000,7.69580735279731531e-02,
160.000000,7.76585838503819625e-02,
170.000000,7.82006570459134742e-02,
180.000000,7.84624646496340367e-02,
190.000000,7.82218504088876415e-02,
200.000000,7.76761703462018060e-02,
210.000000,7.69472109726181408e-02,
220.000000,7.65293099352134243e-02,
230.000000,7.65373767121068360e-02,
240.000000,7.69580735279731670e-02,
250.000000,7.76585838503819764e-02,
260.000000,7.82006570459134603e-02,
270.000000,7.84624646496340367e-02,
280.000000,7.82218504088875721e-02,
290.000000,7.76761703462018338e-02,
300.000000,7.69472109726181686e-02,
310.000000,7.65293099352134520e-02,
320.000000,7.65373767121068499e-02,
330.000000,7.69580735279731809e-02,
340.000000,7.76585838503820042e-02,
350.000000,7.82006570459134465e-02,
