theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,6.99906502446368817e-02,
10.000000,6.86646274705081661e-02,
20.000000,6.48489456312920792e-02,
30.000000,5.93255445591156227e-02,
40.000000,5.45161549209246879e-02,
50.000000,5.45185358139444048e-02,
60.000000,5.93314555480498190e-02,
70.000000,6.48374158545902135e-02,
80.000000,6.86503622502796784e-02,
90.000000,6.99906502446369094e-02,
100.000000,6.86646274705082077e-02,
110.000000,6.48489456312920654e-02,
120.000000,5.93255445591156019e-02,
130.000000,5.45161549209246601e-02,
140.000000,5.45185358139443563e-02,
150.000000,5.93314555480497913e-02,
160.000000,6.48374158545901441e-02,
170.000000,6.86503622502796507e-02,
180.000000,6.99906502446368817e-02,
190.000000,6.86646274705081938e-02,
200.000000,6.48489456312920654e-02,
210.000000,5.93255445591156019e-02,
220.000000,5.45161549209246810e-02,
230.000000,5.45185358139443910e-02,
240.000000,5.93314555480498051e-02,
250.000000,6.48374158545902135e-02,
260.000000,6.86503622502797062e-02,
270.000000,6.99906502446369094e-02,
280.000000,6.86646274705081799e-02,
290.000000,6.48489456312920792e-02,
300.000000,5.93255445591155950e-02,
310.000000,5.45161549209246601e-02,
320.000000,5.45185358139443632e-02,
330.000000,5.93314555480497635e-02,
340.000000,6.48374158545901580e-02,
350.000000,6.86503622502796507e-02,
