theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,7.01650313742691739e-02,1.00006139191178045e+00
10.000000,6.99378430419886343e-02,1.00085652657144752e+00
20.000000,6.94515248800016693e-02,1.00029538844733445e+00
30.000000,6.88079350975255022e-02,1.00106371863063504e+00
40.000000,6.84317179958723043e-02,1.00089297408515043e+00
50.000000,6.84317179958723043e-02,1.00089297408514954e+00
60.000000,6.88079350975255022e-02,1.00106371863063348e+00
70.000000,6.94515248800016693e-02,1.00029538844733512e+00
80.000000,6.99378430419886205e-02,1.00085652657144730e+00
90.000000,7.01650313742691323e-02,1.00006139191178089e+00
100.000000,6.99378430419886066e-02,1.00085652657144841e+00
110.000000,6.94515248800016000e-02,1.00029538844733423e+00
120.000000,6.88079350975254328e-02,1.00106371863063526e+00
130.000000,6.84317179958722210e-02,1.00089297408514977e+00
140.000000,6.84317179958722349e-02,1.00089297408515021e+00
150.000000,6.88079350975254467e-02,1.00106371863063393e+00
160.000000,6.94515248800016138e-02,1.00029538844733401e+00
170.000000,6.99378430419885927e-02,1.00085652657144841e+00
180.000000,7.01650313742691045e-02,1.00006139191178089e+00
190.000000,6.99378430419885788e-02,1.00085652657144797e+00
200.000000,6.94515248800016138e-02,1.00029538844733445e+00
210.000000,6.88079350975254744e-02,1.00106371863063437e+00
220.000000,6.84317179958722765e-02,1.00089297408514977e+00
230.000000,6.84317179958723043e-02,1.00089297408515021e+00
240.000000,6.88079350975255161e-02,1.00106371863063548e+00
250.000000,6.94515248800016555e-02,1.00029538844733401e+00
260.000000,6.99378430419886621e-02,1.00085652657144841e+00
270.000000,7.01650313742691878e-02,1.00006139191178045e+00
280.000000,6.99378430419886343e-02,1.00085652657144730e+00
290.000000,6.94515248800016555e-02,1.00029538844733468e+00
300.000000,6.88079350975255022e-02,1.00106371863063370e+00
310.000000,6.84317179958722904e-02,1.00089297408515021e+00
320.000000,6.84317179958722904e-02,1.00089297408514977e+00
330.000000,6.88079350975255022e-02,1.00106371863063481e+00
340.000000,6.94515248800016693e-02,1.00029538844733468e+00
350.000000,6.99378430419886343e-02,1.00085652657144752e+00
