theta_deg,junction_magnitude,branch_isotropy_ratio
0.000000,6.25959500694767551e-02,1.00007091363890321e+00
10.000000,6.14032230556846303e-02,1.03882549223238163e+00
20.000000,5.79890087360238268e-02,1.05227559669905868e+00
30.000000,5.30496864940731699e-02,1.00506002538051153e+00
40.000000,4.87500173335252557e-02,1.03262091764329789e+00
50.000000,4.87500173335252557e-02,1.03262091764329833e+00
60.000000,5.30496864940731769e-02,1.00506002538051109e+00
70.000000,5.79890087360238199e-02,1.05227559669905735e+00
80.000000,6.14032230556846442e-02,1.03882549223238163e+00
90.000000,6.25959500694767690e-02,1.00007091363890321e+00
100.000000,6.14032230556846581e-02,1.03882549223238252e+00
110.000000,5.79890087360238546e-02,1.05227559669905890e+00
120.000000,5.30496864940732185e-02,1.00506002538051109e+00
130.000000,4.87500173335252834e-02,1.03262091764329811e+00
140.000000,4.87500173335252834e-02,1.03262091764329811e+00
150.000000,5.30496864940732046e-02,1.00506002538051176e+00
160.000000,5.79890087360238338e-02,1.05227559669905824e+00
170.000000,6.14032230556846442e-02,1.03882549223238319e+00
180.000000,6.25959500694767690e-02,1.00007091363890344e+00
190.000000,6.14032230556846442e-02,1.03882549223238185e+00
200.000000,5.79890087360238199e-02,1.05227559669905735e+00
210.000000,5.30496864940731699e-02,1.00506002538051109e+00
220.000000,4.87500173335252418e-02,1.03262091764329833e+00
230.000000,4.87500173335252418e-02,1.03262091764329811e+00
240.000000,5.30496864940731561e-02,1.00506002538051087e+00
250.000000,5.79890087360238199e-02,1.05227559669905846e+00
260.000000,6.14032230556846373e-02,1.03882549223238230e+00
270.000000,6.25959500694767412e-02,1.00007091363890321e+00
280.000000,6.14032230556846442e-02,1.03882549223238185e+00
290.000000,5.79890087360238268e-02,1.05227559669905779e+00
300.000000,5.30496864940731908e-02,1.00506002538051131e+00
310.000000,4.87500173335252696e-02,1.03262091764329833e+00
320.000000,4.87500173335252696e-02,1.03262091764329789e+00
330.000000,5.30496864940731699e-02,1.00506002538051176e+00
340.000000,5.79890087360238338e-02,1.05227559669905890e+00
350.000000,6.14032230556846373e-02,1.03882549223238252e+00
