radius,separation,retention_ratio
2,1,4.54685905918703948e-01
2,2,7.73519849597101072e-01
2,4,9.70787822525472910e-01
2,8,9.92762033203709593e-01
2,16,9.94275446348378278e-01
2,32,9.94310730553397804e-01
3,1,4.59667318156491089e-01
3,2,7.81309523804680217e-01
3,4,9.70030787961544405e-01
3,8,9.92794981575228608e-01
3,16,9.94255876222612245e-01
3,32,9.94368105925164447e-01
4,1,4.41797284610864260e-01
4,2,7.67906049139528424e-01
4,4,9.75022919955194634e-01
4,8,9.93871951002330500e-01
4,16,9.95124276886770076e-01
4,32,9.95191254439886430e-01
5,1,4.64761958449916301e-01
5,2,7.87196979440320743e-01
5,4,9.68447855974621130e-01
5,8,9.92766770208550753e-01
5,16,9.94216526456265237e-01
5,32,9.94379466923802524e-01
7,1,4.38515403929572445e-01
7,2,7.76058685954090333e-01
7,4,9.80047410016626319e-01
7,8,9.94541723900049579e-01
7,16,9.95449485353941288e-01
7,32,9.95549667401339988e-01
9,1,4.28602303472372159e-01
9,2,7.70495782979644495e-01
9,4,1.00068092344353210e+00
9,8,9.96691622084620699e-01
9,16,9.95876059956065096e-01
9,32,9.95994352680802497e-01
11,1,3.94447752173482380e-01
11,2,7.26577045492259099e-01
11,4,1.03808957687388204e+00
11,8,1.00200161119663322e+00
11,16,9.96728971894787263e-01
11,32,9.96805135360874450e-01
13,1,3.55194152673733277e-01
13,2,6.65058617934757290e-01
13,4,1.04083994802029456e+00
13,8,9.60527516323886998e-01
13,16,9.97480099985474156e-01
13,32,9.97499412356442794e-01
16,1,3.09016789989231766e-01
16,2,5.91503183890608408e-01
16,4,9.96737295761317754e-01
16,8,9.93803692021296703e-01
16,16,9.97231189081698166e-01
16,32,9.98163243028295843e-01
20,1,2.58434586779150821e-01
20,2,5.02906908846250333e-01
20,4,8.99903658484719315e-01
20,8,1.12675842165149276e+00
20,16,1.02352186985136884e+00
20,32,9.98750466988071461e-01
25,1,2.08619447362764304e-01
25,2,4.19579985778351205e-01
25,4,7.82168144836414281e-01
25,8,1.15694842405517750e+00
25,16,9.72106264064808046e-01
25,32,9.99161990601112326e-01
32,1,1.50223083996554846e-01
32,2,3.18158015159897833e-01
32,4,6.47122810265707837e-01
32,8,1.08006501345858408e+00
32,16,9.79767537096546182e-01
32,32,1.00311761926488274e+00
40,1,1.05207810006527361e-01
40,2,2.29219886641410131e-01
40,4,5.03688728497675542e-01
40,8,9.55201304630358461e-01
40,16,1.15663636662729252e+00
40,32,1.03502969810043166e+00
50,1,7.13382790693841140e-02
50,2,1.58186141776530093e-01
50,4,3.64571766968411315e-01
50,8,7.96410864960341414e-01
50,16,1.19198168524756065e+00
50,32,9.77612871190236432e-01
64,1,4.53104380488497521e-02
64,2,1.01677365377239468e-01
64,4,2.41984926591785110e-01
64,8,5.83712114897236400e-01
64,16,1.10402271888336045e+00
64,32,9.73524712202967213e-01
80,1,2.96517380831669147e-02
80,2,6.69891612369704209e-02
80,4,1.62320930902954075e-01
80,8,4.13482229163750714e-01
80,16,9.42234899562527262e-01
80,32,1.16475282684369463e+00
100,1,1.92260563274825082e-02
100,2,4.36183106981548885e-02
100,4,1.06895310093875956e-01
100,8,2.81865132556863351e-01
100,16,7.23122462154749068e-01
100,32,1.20091795371237375e+00
128,1,9.86909533026493306e-03
128,2,2.24743303908550331e-02
128,4,5.56524231293055310e-02
128,8,1.51128753144494588e-01
128,16,4.27878663277093396e-01
128,32,1.00904284125528276e+00
