radius,degree,feature_scale_px,detection_rate,detection_magnitude,white_noise_gain,threshold
2,3,2,1.00000000000000000e+00,9.42808416403812855e-01,9.02777777777777235e-01,2.63472475434593061e-02
2,3,4,1.00000000000000000e+00,8.85845054514358576e-01,9.02777777777777235e-01,2.63472475434593061e-02
2,3,8,1.00000000000000000e+00,8.24957377524228597e-01,9.02777777777777235e-01,2.63472475434593061e-02
2,3,16,0.00000000000000000e+00,2.12680560953624092e-07,9.02777777777777235e-01,2.63472475434593061e-02
2,3,32,0.00000000000000000e+00,2.38602748916929148e-07,9.02777777777777235e-01,2.63472475434593061e-02
2,3,64,0.00000000000000000e+00,2.00085663852743542e-07,9.02777777777777235e-01,2.63472475434593061e-02
2,3,128,0.00000000000000000e+00,2.72328859820004226e-07,9.02777777777777235e-01,2.63472475434593061e-02
2,3,256,0.00000000000000000e+00,3.08299987748175448e-07,9.02777777777777235e-01,2.63472475434593061e-02
3,5,2,1.00000000000000000e+00,9.00651326208728786e-01,6.10498412698408655e-01,2.16664166909261505e-02
3,5,4,1.00000000000000000e+00,7.40400390521912755e-01,6.10498412698408655e-01,2.16664166909261505e-02
3,5,8,1.00000000000000000e+00,7.44387213450877105e-01,6.10498412698408655e-01,2.16664166909261505e-02
3,5,16,0.00000000000000000e+00,2.07299109745881392e-07,6.10498412698408655e-01,2.16664166909261505e-02
3,5,32,0.00000000000000000e+00,2.67556070306497952e-07,6.10498412698408655e-01,2.16664166909261505e-02
3,5,64,0.00000000000000000e+00,2.17532332770279565e-07,6.10498412698408655e-01,2.16664166909261505e-02
3,5,128,0.00000000000000000e+00,3.11050436747555137e-07,6.10498412698408655e-01,2.16664166909261505e-02
3,5,256,0.00000000000000000e+00,3.33409441812491688e-07,6.10498412698408655e-01,2.16664166909261505e-02
4,5,2,1.00000000000000000e+00,4.22465721549514450e-01,1.95697720122920693e-01,1.22669813447840569e-02
4,5,4,1.00000000000000000e+00,6.16800135379363068e-01,1.95697720122920693e-01,1.22669813447840569e-02
4,5,8,1.00000000000000000e+00,5.99664678766042680e-01,1.95697720122920693e-01,1.22669813447840569e-02
4,5,16,0.00000000000000000e+00,1.49019580952852488e-07,1.95697720122920693e-01,1.22669813447840569e-02
4,5,32,0.00000000000000000e+00,1.77831855819879351e-07,1.95697720122920693e-01,1.22669813447840569e-02
4,5,64,0.00000000000000000e+00,2.00261729921842308e-07,1.95697720122920693e-01,1.22669813447840569e-02
4,5,128,0.00000000000000000e+00,1.49599381310822466e-07,1.95697720122920693e-01,1.22669813447840569e-02
4,5,256,0.00000000000000000e+00,2.54892486985631883e-07,1.95697720122920693e-01,1.22669813447840569e-02
5,9,2,1.00000000000000000e+00,8.60574646602992877e-01,6.16569765028770922e-01,2.17738854520895218e-02
5,9,4,1.00000000000000000e+00,8.21108822346154454e-01,6.16569765028770922e-01,2.17738854520895218e-02
5,9,8,1.00000000000000000e+00,6.82547788454927362e-01,6.16569765028770922e-01,2.17738854520895218e-02
5,9,16,1.00000000000000000e+00,3.92925658067238559e-02,6.16569765028770922e-01,2.17738854520895218e-02
5,9,32,0.00000000000000000e+00,2.76377171907123104e-07,6.16569765028770922e-01,2.17738854520895218e-02
5,9,64,0.00000000000000000e+00,2.98226494163644468e-07,6.16569765028770922e-01,2.17738854520895218e-02
5,9,128,0.00000000000000000e+00,3.47317351607178351e-07,6.16569765028770922e-01,2.17738854520895218e-02
5,9,256,0.00000000000000000e+00,4.24933607043379564e-07,6.16569765028770922e-01,2.17738854520895218e-02
7,9,2,1.00000000000000000e+00,3.11290983390349218e-01,1.33947221769099345e-01,1.01487294928190638e-02
