theta_deg,residual,kernel_max
0,0.00000000000000000e+00,2.95417286070340538e-03
5,2.15322551455621181e-16,2.94293134107925791e-03
10,1.29887420263763431e-16,2.95961399004551111e-03
15,1.34441069388202550e-16,2.95528055291098199e-03
20,1.66533453693773481e-16,2.96034251656411302e-03
25,1.16443313324943176e-16,2.95886835922086130e-03
30,6.61363325216157705e-17,2.95841039273792841e-03
35,1.12540185503995360e-16,2.97896293588161259e-03
40,7.09068220805519900e-17,2.97684377233623735e-03
45,9.40003283544932344e-17,2.95299830869923856e-03
50,8.04478011984244290e-17,2.97684377233623431e-03
55,7.87130777224476219e-17,2.97896293588160738e-03
60,6.65700133906099722e-17,2.95841039273792104e-03
65,6.89552581700780820e-17,2.95886835922084569e-03
70,9.34582272682504822e-17,2.96034251656409611e-03
75,9.00972005335454185e-17,2.95528055291095987e-03
80,1.18828558104411286e-16,2.95961399004548813e-03
85,9.15066633577765742e-17,2.94293134107923666e-03
90,5.59448321002520288e-17,2.95417286070338370e-03
95,6.75729004001590638e-17,2.94293134107923493e-03
100,1.20129600711393891e-16,2.95961399004548336e-03
105,7.76288755499621175e-17,2.95528055291095380e-03
110,1.02782365951625820e-16,2.96034251656408526e-03
115,7.97972798949331263e-17,2.95886835922083442e-03
120,6.65700133906099722e-17,2.95841039273790673e-03
125,9.25908655302620787e-17,2.97896293588159264e-03
130,9.75781955236953991e-17,2.97684377233621913e-03
135,1.08745477900296095e-16,2.95299830869922512e-03
140,9.69276742202040964e-17,2.97684377233622260e-03
145,1.00830802041151912e-16,2.97896293588159784e-03
150,9.62771529167127937e-17,2.95841039273791497e-03
155,9.80118763926896008e-17,2.95886835922085133e-03
160,1.57399050390583106e-16,2.96034251656410435e-03
165,8.78203759713258592e-17,2.95528055291097158e-03
170,7.32378567513958245e-17,2.95961399004550200e-03
175,1.58076676748386546e-16,2.94293134107925618e-03
