theta_deg,residual,kernel_max
0,0.00000000000000000e+00,2.59725395078556631e-02
5,6.24500451351650554e-17,2.58737061537042054e-02
10,5.37764277552810199e-17,2.61730314001113670e-02
15,1.16226472890446075e-16,2.67760938325849705e-02
20,5.55111512312578270e-17,2.71753740231451026e-02
25,5.20417042793042128e-17,2.73678332084496267e-02
30,1.04083408558608426e-16,2.73520066578883461e-02
35,6.24500451351650554e-17,2.76068606223384694e-02
40,7.34546971858929254e-17,2.79260679039256554e-02
45,1.42247325030098182e-16,2.80327409465431429e-02
50,9.36750677027475831e-17,2.79260679039256624e-02
55,8.67361737988403547e-17,2.76068606223384763e-02
60,1.14491749414469268e-16,2.73520066578883669e-02
65,5.33427468862868182e-17,2.73678332084496476e-02
70,8.52182907573606485e-17,2.71753740231451234e-02
75,8.32667268468867405e-17,2.67760938325849983e-02
80,6.93889390390722838e-17,2.61730314001113948e-02
85,5.89805981832114412e-17,2.58737061537042505e-02
90,9.17235037922736751e-17,2.59725395078557082e-02
95,8.67361737988403547e-17,2.58737061537042505e-02
100,8.67361737988403547e-17,2.61730314001113948e-02
105,9.71445146547011973e-17,2.67760938325850018e-02
110,6.89552581700780820e-17,2.71753740231451268e-02
115,6.41847686111418625e-17,2.73678332084496510e-02
120,2.09901540593193658e-16,2.73520066578883669e-02
125,9.80118763926896008e-17,2.76068606223384763e-02
130,8.67361737988403547e-17,2.79260679039256624e-02
135,6.93889390390722838e-17,2.80327409465431464e-02
140,5.81132364452230377e-17,2.79260679039256589e-02
145,3.88144377749810587e-17,2.76068606223384694e-02
150,3.81639164714897561e-17,2.73520066578883461e-02
155,5.72458747072346341e-17,2.73678332084496233e-02
160,3.64291929955129490e-17,2.71753740231450991e-02
165,6.24500451351650554e-17,2.67760938325849671e-02
170,1.27502175484295321e-16,2.61730314001113601e-02
175,5.20417042793042128e-17,2.58737061537042054e-02
