snr_db,phase_px,orientation_deg,localisation_offset,draw_index
clean,0.0000,0.0,1.22213651882064314e-07,0
clean,0.0625,0.0,-2.11446599748249045e-02,0
clean,0.1250,0.0,-6.33902450487003472e-02,0
clean,0.1875,0.0,-1.46651177427396751e-01,0
clean,0.2500,0.0,-1.88215291141132446e-01,0
clean,0.3125,0.0,-1.88471410161936359e-01,0
clean,0.3750,0.0,-1.88760376659621809e-01,0
clean,0.4375,0.0,-1.89081783328706454e-01,0
clean,0.5000,0.0,3.75000000000005607e-01,0
clean,0.5625,0.0,1.89080660776793613e-01,0
clean,0.6250,0.0,1.88759449429903636e-01,0
clean,0.6875,0.0,1.88470877737111298e-01,0
clean,0.7500,0.0,1.88214985968239185e-01,0
clean,0.8125,0.0,1.46649990632923943e-01,0
clean,0.8750,0.0,6.33896348544181060e-02,0
clean,0.9375,0.0,2.11442938130614773e-02,0
clean,0.0000,5.0,-2.41668317947866928e-07,0
clean,0.0625,5.0,-2.10974827196448930e-02,0
clean,0.1250,5.0,-6.30938987072446750e-02,0
clean,0.1875,5.0,-1.46102316603559518e-01,0
clean,0.2500,5.0,-1.87704890981950895e-01,0
clean,0.3125,5.0,-1.87878000875883328e-01,0
clean,0.3750,5.0,-1.88022495569368342e-01,0
clean,0.4375,5.0,-1.87972925160896087e-01,0
clean,0.5000,5.0,-1.44447602637074762e-01,0
clean,0.5625,5.0,1.87342966617316864e-01,0
clean,0.6250,5.0,1.87756118986909304e-01,0
clean,0.6875,5.0,1.87722462991240374e-01,0
clean,0.7500,5.0,1.87602208854736496e-01,0
clean,0.8125,5.0,1.49291126590482742e-01,0
clean,0.8750,5.0,6.68679552626825630e-02,0
clean,0.9375,5.0,2.27415539274593570e-02,0
clean,0.0000,10.0,-1.65622512535848213e-07,0
clean,0.0625,10.0,-2.10877094445281223e-02,0
clean,0.1250,10.0,-6.26068245677996876e-02,0
clean,0.1875,10.0,-1.44848403886613408e-01,0
clean,0.2500,10.0,-1.86527625352303050e-01,0
clean,0.3125,10.0,-1.86611126409902017e-01,0
clean,0.3750,10.0,-1.86586161800593009e-01,0
clean,0.4375,10.0,-1.86073718046796233e-01,0
clean,0.5000,10.0,-1.60358348918441029e-01,0
clean,0.5625,10.0,1.80395436146606303e-01,0
clean,0.6250,10.0,1.84371292933313835e-01,0
clean,0.6875,10.0,1.85345224281505433e-01,0
clean,0.7500,10.0,1.85698818253981657e-01,0
clean,0.8125,10.0,1.56606712105427398e-01,0
clean,0.8750,10.0,7.84911758397900394e-02,0
clean,0.9375,10.0,2.78254734586540521e-02,0
clean,0.0000,15.0,2.39617496252185128e-08,0
clean,0.0625,15.0,-2.11233083374986474e-02,0
clean,0.1250,15.0,-6.20026314048642627e-02,0
clean,0.1875,15.0,-1.43028590853297444e-01,0
clean,0.2500,15.0,-1.84816441344532567e-01,0
clean,0.3125,15.0,-1.84885491646322064e-01,0
clean,0.3750,15.0,-1.84849122211377337e-01,0
clean,0.4375,15.0,-1.84364588855867761e-01,0
clean,0.5000,15.0,-1.73233986526122846e-01,0
clean,0.5625,15.0,1.59254147951879949e-01,0
clean,0.6250,15.0,1.76774800395506582e-01,0
clean,0.6875,15.0,1.80501508649035580e-01,0
clean,0.7500,15.0,1.82020910406827746e-01,0
clean,0.8125,15.0,1.66976982394080570e-01,0
clean,0.8750,15.0,1.03160898639905421e-01,0
clean,0.9375,15.0,3.78624947511123078e-02,0
clean,0.0000,20.0,-1.42056968333438996e-07,0
clean,0.0625,20.0,-2.11939355822384420e-02,0
clean,0.1250,20.0,-6.13306439244662785e-02,0
clean,0.1875,20.0,-1.40796761724524211e-01,0
clean,0.2500,20.0,-1.82708070418561352e-01,0
clean,0.3125,20.0,-1.82876977714972633e-01,0
clean,0.3750,20.0,-1.83068413176004280e-01,0
clean,0.4375,20.0,-1.83289702236271418e-01,0
clean,0.5000,20.0,-1.83633089957030204e-01,0
clean,0.5625,20.0,5.61549171319014467e-02,0
clean,0.6250,20.0,1.60401658481334308e-01,0
clean,0.6875,20.0,1.71731573495800233e-01,0
clean,0.7500,20.0,1.75910371922860131e-01,0
clean,0.8125,20.0,1.78028759703338257e-01,0
clean,0.8750,20.0,1.37214035643936555e-01,0
clean,0.9375,20.0,5.72004268485930487e-02,0
clean,0.0000,25.0,4.77605811462910359e-08,0
clean,0.0625,25.0,-2.13270508228177447e-02,0
clean,0.1250,25.0,-6.07664165115044536e-02,0
clean,0.1875,25.0,-1.38491372339023977e-01,0
clean,0.2500,25.0,-1.80504487329408880e-01,0
clean,0.3125,25.0,-1.80915825798181940e-01,0
clean,0.3750,25.0,-1.81588371462156867e-01,0
clean,0.4375,25.0,-1.83060868780832664e-01,0
clean,0.5000,25.0,-1.91730840927076235e-01,0
clean,0.5625,25.0,-4.14411197662040709e-02,0
clean,0.6250,25.0,1.08414577327855574e-01,0
clean,0.6875,25.0,1.55690070022784122e-01,0
clean,0.7500,25.0,1.66361305544080851e-01,0
clean,0.8125,25.0,1.71246653393100745e-01,0
clean,0.8750,25.0,1.61014287152035418e-01,0
clean,0.9375,25.0,9.90160058365246593e-02,0
clean,0.0000,30.0,-7.70231656208248351e-08,0
clean,0.0625,30.0,-2.14877955534580750e-02,0
clean,0.1250,30.0,-6.03183387268918514e-02,0
clean,0.1875,30.0,-1.36331078965287594e-01,0
clean,0.2500,30.0,-1.78413890850937784e-01,0
clean,0.3125,30.0,-1.79162908821793532e-01,0
clean,0.3750,30.0,-1.80467120939115877e-01,0
clean,0.4375,30.0,-1.83413863873217287e-01,0
clean,0.5000,30.0,-1.97889347102481433e-01,0
clean,0.5625,30.0,-9.39227857643206293e-02,0
clean,0.6250,30.0,9.66849178206046107e-03,0
clean,0.6875,30.0,1.13085997926496637e-01,0
clean,0.7500,30.0,1.50526669111300360e-01,0
clean,0.8125,30.0,1.61835643753716757e-01,0
clean,0.8750,30.0,1.67582503123720972e-01,0
clean,0.9375,30.0,1.50569709321578926e-01,0
clean,0.0000,35.0,1.49891160693950589e-07,0
clean,0.0625,35.0,-2.16531676534418779e-02,0
clean,0.1250,35.0,-6.00426942316761511e-02,0
clean,0.1875,35.0,-1.34622461047830461e-01,0
clean,0.2500,35.0,-1.76738439871862607e-01,0
clean,0.3125,35.0,-1.77833576462714693e-01,0
clean,0.3750,35.0,-1.79748740257599599e-01,0
clean,0.4375,35.0,-1.83993995001398791e-01,0
clean,0.5000,35.0,-2.01948030164107228e-01,0
clean,0.5625,35.0,-1.23107325036025797e-01,0
clean,0.6250,35.0,-4.46502752254761132e-02,0
clean,0.6875,35.0,3.36015401131091462e-02,0
clean,0.7500,35.0,1.11824888437495482e-01,0
clean,0.8125,35.0,1.48391337826110969e-01,0
clean,0.8750,35.0,1.60798658669360051e-01,0
clean,0.9375,35.0,1.67370209234816214e-01,0
clean,0.0000,40.0,-7.58523175860548121e-08,0
clean,0.0625,40.0,-2.17674499143305500e-02,0
clean,0.1250,40.0,-5.98780530369447464e-02,0
clean,0.1875,40.0,-1.33507527217487626e-01,0
clean,0.2500,40.0,-1.75642633604426668e-01,0
clean,0.3125,40.0,-1.76993185576077711e-01,0
clean,0.3750,40.0,-1.79349707094159760e-01,0
clean,0.4375,40.0,-1.84475725009571434e-01,0
clean,0.5000,40.0,-2.04307433866504601e-01,0
clean,0.5625,40.0,-1.38153016528953121e-01,0
clean,0.6250,40.0,-7.23939571561472428e-02,0
clean,0.6875,40.0,-6.85443611470875225e-03,0
clean,0.7500,40.0,5.86349474829830769e-02,0
clean,0.8125,40.0,1.24251059972907529e-01,0
clean,0.8750,40.0,1.57409744187042289e-01,0
clean,0.9375,40.0,1.69894789985888472e-01,0
clean,0.0000,45.0,-2.90981544002217967e-08,0
clean,0.0625,45.0,-2.18092017126105819e-02,0
clean,0.1250,45.0,-5.98273941479508034e-02,0
clean,0.1875,45.0,-1.33125586361551251e-01,0
clean,0.2500,45.0,-1.75264438582580256e-01,0
clean,0.3125,45.0,-1.76706781564612087e-01,0
clean,0.3750,45.0,-1.79218751660535414e-01,0
clean,0.4375,45.0,-1.84645964047789130e-01,0
clean,0.5000,45.0,-2.05026813280847431e-01,0
clean,0.5625,45.0,-1.42768215945814514e-01,0
clean,0.6250,45.0,-8.09211653797907576e-02,0
clean,0.6875,45.0,-1.93064817659495437e-02,0
clean,0.7500,45.0,4.22492440319454030e-02,0
clean,0.8125,45.0,1.03927453182276475e-01,0
clean,0.8750,45.0,1.65909028023565275e-01,0
clean,0.9375,45.0,1.93090687772770137e-01,0
clean,0.0000,50.0,-9.27457011307439586e-08,0
clean,0.0625,50.0,-2.17675694948111093e-02,0
clean,0.1250,50.0,-5.98780961967649641e-02,0
clean,0.1875,50.0,-1.33507543621014912e-01,0
clean,0.2500,50.0,-1.75642679557648451e-01,0
clean,0.3125,50.0,-1.76993500160157774e-01,0
clean,0.3750,50.0,-1.79349819862897997e-01,0
clean,0.4375,50.0,-1.84475927056855282e-01,0
clean,0.5000,50.0,-2.04309702436169305e-01,0
clean,0.5625,50.0,-1.38154144781166610e-01,0
clean,0.6250,50.0,-7.23958853612676062e-02,0
clean,0.6875,50.0,-6.85745899061806184e-03,0
clean,0.7500,50.0,5.86326945734829130e-02,0
clean,0.8125,50.0,1.24248666478309538e-01,0
clean,0.8750,50.0,1.57409199112181486e-01,0
clean,0.9375,50.0,1.69893734423440246e-01,0
clean,0.0000,55.0,-5.43719376072688914e-08,0
clean,0.0625,55.0,-2.16532115024103966e-02,0
clean,0.1250,55.0,-6.00428394188249198e-02,0
clean,0.1875,55.0,-1.34622608922586762e-01,0
clean,0.2500,55.0,-1.76738504643747518e-01,0
clean,0.3125,55.0,-1.77833675229895183e-01,0
clean,0.3750,55.0,-1.79748678468751977e-01,0
clean,0.4375,55.0,-1.83994401230468063e-01,0
clean,0.5000,55.0,-2.01951721587171867e-01,0
clean,0.5625,55.0,-1.23106103031214359e-01,0
clean,0.6250,55.0,-4.46527249675512869e-02,0
clean,0.6875,55.0,3.36015280632434715e-02,0
clean,0.7500,55.0,1.11823669053621150e-01,0
clean,0.8125,55.0,1.48390666147236949e-01,0
clean,0.8750,55.0,1.60798899796005423e-01,0
clean,0.9375,55.0,1.67369944936206716e-01,0
clean,0.0000,60.0,-9.60741313214357249e-09,0
clean,0.0625,60.0,-2.14877900676215122e-02,0
clean,0.1250,60.0,-6.03180203335072843e-02,0
clean,0.1875,60.0,-1.36330559443371579e-01,0
clean,0.2500,60.0,-1.78413893442581961e-01,0
clean,0.3125,60.0,-1.79162646053930563e-01,0
clean,0.3750,60.0,-1.80466519739403003e-01,0
clean,0.4375,60.0,-1.83412613023007959e-01,0
clean,0.5000,60.0,-1.97888412723302071e-01,0
clean,0.5625,60.0,-9.39231534611571772e-02,0
clean,0.6250,60.0,9.66962971037324016e-03,0
clean,0.6875,60.0,1.13085402036543589e-01,0
clean,0.7500,60.0,1.50526850739230722e-01,0
clean,0.8125,60.0,1.61836267952996105e-01,0
clean,0.8750,60.0,1.67583048501985743e-01,0
clean,0.9375,60.0,1.50569988797706472e-01,0
clean,0.0000,65.0,-3.86816963930078599e-08,0
clean,0.0625,65.0,-2.13271871649126019e-02,0
clean,0.1250,65.0,-6.07661806244788119e-02,0
clean,0.1875,65.0,-1.38490872142885968e-01,0
clean,0.2500,65.0,-1.80504560455167773e-01,0
clean,0.3125,65.0,-1.80915448130983120e-01,0
clean,0.3750,65.0,-1.81587791144603189e-01,0
clean,0.4375,65.0,-1.83061364293209627e-01,0
clean,0.5000,65.0,-1.91733944803838735e-01,0
clean,0.5625,65.0,-4.14392843226479082e-02,0
clean,0.6250,65.0,1.08414245840388682e-01,0
clean,0.6875,65.0,1.55690477905577718e-01,0
clean,0.7500,65.0,1.66361137155647210e-01,0
clean,0.8125,65.0,1.71247068399076219e-01,0
clean,0.8750,65.0,1.61014150410113854e-01,0
clean,0.9375,65.0,9.90160286906718312e-02,0
clean,0.0000,70.0,-1.11852214652833158e-07,0
clean,0.0625,70.0,-2.11937167369400867e-02,0
clean,0.1250,70.0,-6.13302731102604581e-02,0
clean,0.1875,70.0,-1.40796618422597886e-01,0
clean,0.2500,70.0,-1.82708067960276666e-01,0
clean,0.3125,70.0,-1.82876359131880717e-01,0
clean,0.3750,70.0,-1.83068645197710461e-01,0
clean,0.4375,70.0,-1.83289438670066862e-01,0
clean,0.5000,70.0,-1.83631167006273965e-01,0
clean,0.5625,70.0,5.61480049498633838e-02,0
clean,0.6250,70.0,1.60400737282381689e-01,0
clean,0.6875,70.0,1.71730821018131752e-01,0
clean,0.7500,70.0,1.75910189759776792e-01,0
clean,0.8125,70.0,1.78028953685895941e-01,0
clean,0.8750,70.0,1.37213860093134049e-01,0
clean,0.9375,70.0,5.72001282501058486e-02,0
clean,0.0000,75.0,-4.86884691460977445e-09,0
clean,0.0625,75.0,-2.11231913476481979e-02,0
clean,0.1250,75.0,-6.20030023510110898e-02,0
clean,0.1875,75.0,-1.43028743816174198e-01,0
clean,0.2500,75.0,-1.84816556923469488e-01,0
clean,0.3125,75.0,-1.84885821468179418e-01,0
clean,0.3750,75.0,-1.84849485646124412e-01,0
clean,0.4375,75.0,-1.84362686336561610e-01,0
clean,0.5000,75.0,-1.73233702238695109e-01,0
clean,0.5625,75.0,1.59252472918271160e-01,0
clean,0.6250,75.0,1.76774009263973075e-01,0
clean,0.6875,75.0,1.80500880334976299e-01,0
clean,0.7500,75.0,1.82020595320478595e-01,0
clean,0.8125,75.0,1.66977226295550757e-01,0
clean,0.8750,75.0,1.03160669706789332e-01,0
