feature_scale_px,radius,detection_magnitude,fwhm,detection_rate
1,2,6.66666209697723389e-01,3.16638653076053878e+00,1.00000000000000000e+00
2,2,9.42808538675308228e-01,3.41633290384174959e+00,1.00000000000000000e+00
4,2,8.85844945907592773e-01,5.57676821504735898e+00,1.00000000000000000e+00
8,2,8.24957400560379028e-01,1.00839100723218174e+01,1.00000000000000000e+00
16,2,3.14679127200179209e-07,1.81599004985814680e+01,0.00000000000000000e+00
32,2,2.69478761083519203e-07,3.41666661905557163e+01,0.00000000000000000e+00
64,2,2.44457993403557339e-07,6.61666664616142413e+01,0.00000000000000000e+00
128,2,2.79608585174173641e-07,6.61666663080514184e+01,0.00000000000000000e+00
1,3,1.22565109282732010e-01,5.98920913014863920e+00,1.00000000000000000e+00
2,3,3.21886613965034485e-01,4.47996784986064966e+00,1.00000000000000000e+00
4,3,5.32592862844467163e-01,6.26571283289809600e+00,1.00000000000000000e+00
8,3,5.14500439167022705e-01,1.04583359600480321e+01,1.00000000000000000e+00
16,3,1.43503260829902501e-07,1.83805861119437814e+01,0.00000000000000000e+00
32,3,1.77486107588720188e-07,3.43356340799390125e+01,0.00000000000000000e+00
64,3,1.46910451803705655e-07,6.63499997448128767e+01,0.00000000000000000e+00
128,3,1.97319401706863573e-07,6.63499999707611039e+01,0.00000000000000000e+00
1,4,6.14761114120483398e-02,8.51567917731293811e+00,1.00000000000000000e+00
2,4,1.62746906280517578e-01,5.97417374450595950e+00,1.00000000000000000e+00
4,4,4.36365991830825806e-01,6.35092057282662825e+00,1.00000000000000000e+00
8,4,3.92740204930305481e-01,1.11402572225818979e+01,1.00000000000000000e+00
16,4,9.26751084762145183e-08,1.92372726661087512e+01,0.00000000000000000e+00
32,4,1.08951578425831030e-07,3.52069657983263440e+01,0.00000000000000000e+00
64,4,9.76664544793948153e-08,6.71143924564556471e+01,0.00000000000000000e+00
128,4,1.10429073885143225e-07,6.71253073791541794e+01,0.00000000000000000e+00
1,5,2.80327182263135910e-02,1.07478997321057843e+01,1.00000000000000000e+00
2,5,8.01604576408863068e-02,7.63697127710233037e+00,1.00000000000000000e+00
4,5,2.65557453036308289e-01,7.60359217415157485e+00,1.00000000000000000e+00
8,5,3.02685901522636414e-01,1.14384538980506960e+01,1.00000000000000000e+00
16,5,6.63823150098323822e-02,1.95955269425459022e+01,1.00000000000000000e+00
32,5,9.33762898114309792e-08,3.57358351527211937e+01,0.00000000000000000e+00
64,5,1.05380710380131859e-07,6.77831302835463987e+01,0.00000000000000000e+00
128,5,9.87747093006419163e-08,6.77664643779645814e+01,0.00000000000000000e+00
1,7,1.14799179136753082e-02,1.48916160620936733e+01,1.00000000000000000e+00
2,7,3.34709864109754562e-02,1.03660305650535722e+01,1.00000000000000000e+00
4,7,1.25548586249351501e-01,1.01045654985546527e+01,1.00000000000000000e+00
8,7,2.42735058069229126e-01,1.23374644640238973e+01,1.00000000000000000e+00
16,7,5.76730985194444656e-02,2.10433376492654105e+01,1.00000000000000000e+00
32,7,6.87954653244560177e-08,3.72449591095946744e+01,0.00000000000000000e+00
64,7,7.92745460387322964e-08,6.93331910132527867e+01,0.00000000000000000e+00
128,7,7.65459766682852205e-08,6.92862428420994405e+01,0.00000000000000000e+00
1,9,5.23019861429929733e-03,1.88441424998678251e+01,1.00000000000000000e+00
2,9,1.49630927480757236e-02,1.35294421106130098e+01,1.00000000000000000e+00
4,9,5.92154208570718765e-02,1.32513192429386599e+01,1.00000000000000000e+00
8,9,1.69245079159736633e-01,1.38385597408515295e+01,1.00000000000000000e+00
16,9,8.26510079205036163e-02,2.21059590285584129e+01,1.00000000000000000e+00
32,9,5.32953627896404214e-08,3.84554103557874853e+01,0.00000000000000000e+00
64,9,5.09978299589874950e-08,7.06999224651056863e+01,0.00000000000000000e+00
128,9,5.78479202317794261e-08,7.07182835918134458e+01,0.00000000000000000e+00
1,11,2.70248542074114084e-03,2.28805950171950059e+01,1.00000000000000000e+00
2,11,7.51512311398983002e-03,1.87874980858556100e+01,1.00000000000000000e+00
4,11,3.06046688929200172e-02,1.62286875202347645e+01,1.00000000000000000e+00
8,11,1.02088313549757004e-01,1.61250055166702779e+01,1.00000000000000000e+00
16,11,1.05343513190746307e-01,2.32506810713741743e+01,1.00000000000000000e+00
32,11,2.88156252354383469e-02,3.96543978515830631e+01,1.00000000000000000e+00
64,11,4.75805066457724024e-08,7.19004666935492338e+01,0.00000000000000000e+00
128,11,3.68084460689033222e-08,7.20937904188490677e+01,0.00000000000000000e+00
1,13,1.46448693703860044e-03,2.68390573254053777e+01,1.00000000000000000e+00
2,13,4.01668902486562729e-03,2.24964754099585846e+01,1.00000000000000000e+00
4,13,1.65899675339460373e-02,1.94436166781089312e+01,1.00000000000000000e+00
8,13,5.96133712679147720e-02,1.89164912357899091e+01,1.00000000000000000e+00
16,13,1.18253722786903381e-01,2.42783519792620766e+01,1.00000000000000000e+00
32,13,2.85438392311334610e-02,4.09258852846028276e+01,1.00000000000000000e+00
64,13,4.22862527216238959e-08,7.33641167143676967e+01,0.00000000000000000e+00
128,13,4.30606821311130261e-08,7.36458029161874350e+01,0.00000000000000000e+00
1,16,6.84269238263368607e-04,3.28594976024656944e+01,1.00000000000000000e+00
2,16,1.85760034946724772e-03,3.16815829576720986e+01,1.00000000000000000e+00
4,16,7.75309721939265728e-03,2.40075803739553209e+01,1.00000000000000000e+00
8,16,2.93224258348345757e-02,2.32795497566187315e+01,1.00000000000000000e+00
16,16,8.11801850795745850e-02,2.53954969023421242e+01,1.00000000000000000e+00
32,16,2.73501304909586906e-02,4.27689426077846946e+01,1.00000000000000000e+00
64,16,2.23867626658602603e-08,7.52926765791684431e+01,0.00000000000000000e+00
128,16,3.71002428778410831e-08,7.57299209317051520e+01,0.00000000000000000e+00
1,20,2.85370624624192715e-04,4.08292438303840726e+01,1.00000000000000000e+00
2,20,7.69308157032355666e-04,3.97608038139366045e+01,1.00000000000000000e+00
4,20,3.23352450504899025e-03,3.02593118390642424e+01,1.00000000000000000e+00
8,20,1.26346480101346970e-02,2.96209007658907630e+01,1.00000000000000000e+00
16,20,4.10293638706207275e-02,2.95157710581643897e+01,1.00000000000000000e+00
32,20,3.94532512873411179e-02,4.52036379978444529e+01,1.00000000000000000e+00
64,20,2.18529149424284697e-03,1.09489999565512832e+02,1.00000000000000000e+00
128,20,3.58566509817137558e-08,1.09885408106634870e+02,0.00000000000000000e+00
1,25,1.19909243949223310e-04,5.08225508973158568e+01,0.00000000000000000e+00
2,25,3.21967847412452102e-04,4.98604278953447491e+01,1.00000000000000000e+00
4,25,1.35884579503908753e-03,3.79667713597207381e+01,1.00000000000000000e+00
8,25,5.40895992890000343e-03,3.74715286487717449e+01,1.00000000000000000e+00
16,25,1.90047090873122215e-02,3.62668845429875617e+01,1.00000000000000000e+00
32,25,5.65103981643915176e-02,4.79687979877689656e+01,1.00000000000000000e+00
64,25,1.41646317206323147e-02,1.17807312257818879e+02,1.00000000000000000e+00
128,25,2.74495528529428157e-08,1.18403147180477518e+02,0.00000000000000000e+00
1,32,4.54912824352504686e-05,6.48195777634024495e+01,0.00000000000000000e+00
2,32,1.21810993732651696e-04,6.39548536642061691e+01,1.00000000000000000e+00
4,32,5.15541731147095561e-04,6.15165569134845356e+01,1.00000000000000000e+00
8,32,2.07738520111888647e-03,4.83176169194026102e+01,1.00000000000000000e+00
16,32,7.65749998390674591e-03,4.67527356524513635e+01,1.00000000000000000e+00
32,32,3.60205434262752533e-02,5.07270155739510642e+01,1.00000000000000000e+00
64,32,1.35972690768539906e-02,1.29390970472628482e+02,1.00000000000000000e+00
128,32,2.21935589905797315e-08,1.30363140296106735e+02,0.00000000000000000e+00
1,40,1.87184969036024995e-05,8.08090852751847564e+01,0.00000000000000000e+00
2,40,5.00466267112642527e-05,7.99907940379777074e+01,0.00000000000000000e+00
4,40,2.12131591979414225e-04,7.82385122795920296e+01,1.00000000000000000e+00
8,40,8.60554777318611741e-04,6.07164514544287073e+01,1.00000000000000000e+00
16,40,3.25289543252438307e-03,5.94650376099847477e+01,1.00000000000000000e+00
32,40,1.81501032784581184e-02,5.90769732099918059e+01,1.00000000000000000e+00
64,40,1.77748091518878937e-02,1.41366437192226613e+02,1.00000000000000000e+00
128,40,1.63098787808735324e-08,1.43676267764947823e+02,0.00000000000000000e+00
1,50,7.72093380874139257e-06,1.00802707639740987e+02,0.00000000000000000e+00
2,50,2.06257436730084009e-05,1.00022964968050530e+02,0.00000000000000000e+00
4,50,8.75056757649872452e-05,9.86362938661495150e+01,1.00000000000000000e+00
8,50,3.56472417479380965e-04,7.61333415816664285e+01,1.00000000000000000e+00
16,50,1.36820011539384723e-03,7.51434071402834149e+01,1.00000000000000000e+00
32,50,8.34682444110512733e-03,7.23220088916149280e+01,1.00000000000000000e+00
64,50,2.71932380273938179e-02,1.48656099502428106e+02,1.00000000000000000e+00
128,50,7.11215939372777939e-03,1.59806585568675018e+02,1.00000000000000000e+00
1,64,2.88630417344393209e-06,7.09650939342032103e+01,0.00000000000000000e+00
2,64,7.70705355535028502e-06,1.26022490750456910e+02,0.00000000000000000e+00
4,64,3.27241432387381792e-05,7.36506523330948539e+01,1.00000000000000000e+00
8,64,1.33688074129167944e-04,1.16387221642689212e+02,1.00000000000000000e+00
16,64,5.18438842846080661e-04,1.41691660488064485e+02,1.00000000000000000e+00
32,64,3.99990403093397617e-03,9.37635631665575602e+01,1.00000000000000000e+00
64,64,1.79887833073735237e-02,1.63846468767015267e+02,1.00000000000000000e+00
128,64,6.79695559665560722e-03,1.70360461743638609e+02,1.00000000000000000e+00
