radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.63979203347207525e+00,3.33534269869597666e-01,6.65055290663972287e-02
3,1.16666666666666655e-01,1.22777777777777625e-01,3.15687562863227233e+00,1.36008784656447362e-01,2.68814284672667936e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.67821274554649236e+00,1.12878778123504608e-01,2.39208222498669826e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.23331640604738801e+00,8.39695838469035061e-02,2.79746374015514242e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.50677902585763324e+00,8.27676824785555654e-02,4.08738688645811157e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.90043235624219875e+00,7.03663729999274984e-02,5.13554543824102649e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.27723434079573295e+00,7.77081541094079842e-02,5.87339224703564769e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.78131930586927112e+00,9.54445686096482698e-02,6.45192879243128292e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.19462695925070115e+01,9.29880796026042455e-02,7.02473795056138134e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.49126360601522201e+01,9.47680389679533552e-02,7.54628473306159231e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.86425992746334792e+01,1.06688280047425782e-01,7.95667076207543372e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.38360946652834258e+01,1.07192785846868560e-01,8.26934009318931323e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.98219795862898636e+01,1.40234117316103218e-01,8.47076396108187579e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.73245366477234697e+01,1.45302950132225384e-01,8.63160322437364624e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.78000196800560886e+01,1.71368304986791009e-01,8.78495313341231265e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.97025537154764976e+01,1.89727963130447541e-01,8.90728395211786844e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.47452806286393070e+01,2.00567068332730608e-01,9.01713863765233742e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.56576484796386808e+01,2.30343341027428983e-01,9.12167280304548855e-02
