radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.51848468427504901e+00,1.03229564577142749e+01,5.06867635877482625e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.65409100174951185e+00,6.92131379236978095e+00,1.83823546574229724e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,2.91426932039869957e+00,3.95189490392735898e+00,1.12542021863818606e-01
5,2.59725395078556215e-02,1.63778684536216440e-02,3.67985583828157647e+00,1.05961790116261012e+00,7.14356522982633330e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.07676939178363629e+00,5.95156512426630036e-01,5.57658359618620411e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.39341260795039990e+00,5.51313709358659643e-01,5.49189349405913921e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,7.80335485591572819e+00,5.54541602614645801e-01,6.01894304177826994e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.41633392693552018e+00,5.70764539612139132e-01,6.54465909296255283e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.15038995694130435e+01,6.06853905113224568e-01,7.05237704985855751e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.45109457406444271e+01,6.87931015092722253e-01,7.55644494823039942e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.83354813721212473e+01,7.40626734050025215e-01,7.96603416051836904e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.33597619443291649e+01,7.29312170482497302e-01,8.26677782532827393e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.94040701810544149e+01,8.33069021754865413e-01,8.46918945733829143e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.69506079554321261e+01,8.98369799430241978e-01,8.63100145923948875e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.73570593694431636e+01,1.01235685403419140e+00,8.78519209350468039e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.92863752948600435e+01,9.65935066226640493e-01,8.90674791619490425e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.43242507017311453e+01,1.12875730710544819e+00,9.01660344980405176e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.53357287860322629e+01,1.30693739503116380e+00,9.12206485843873316e-02
