radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.95121557818399083e+00,2.21994868870439913e-02,3.82010902737378068e-03
3,1.16666666666666655e-01,1.22777777777777625e-01,3.32331918925338909e+00,1.50423965870289077e-02,1.06744788426631522e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.82853929760374223e+00,9.80410163875301659e-03,1.91514220011963533e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.29549513248250570e+00,6.49270929889124784e-03,2.59338467251399966e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.60736790644868854e+00,3.48153997085079133e-03,4.07207746699681655e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.97365914330811698e+00,2.02297897073651627e-03,5.12714441637168936e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.34193220760431231e+00,1.32119287716120143e-03,5.86747026105451652e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.85030085274224732e+00,9.40079453240261318e-04,6.45145973244846682e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.20051127008186249e+01,6.18745074434969337e-04,7.02276488765044282e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.49684464824111600e+01,3.86984985877899764e-04,7.54446807914734702e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.87067965975674895e+01,2.48052123709549348e-04,7.95629828232206487e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.39050598485226580e+01,1.50692603816864198e-04,8.26954460911025757e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.98703567721320660e+01,9.53104438423726930e-05,8.47051181703927375e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.73873993453118914e+01,6.04311363360692698e-05,8.63163458284297025e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.78528198616561795e+01,3.60177132112240246e-05,8.78489224550974834e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.97615230308233478e+01,2.21777246374551885e-05,8.90731734056672275e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.47993322921544461e+01,1.32985399641193227e-05,9.01710242454380750e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.57180297838232548e+01,7.18057263677388378e-06,9.12172180762034768e-02
