radius,feature_width,detection_magnitude,fwhm,detection_rate
2,1,8.95821377871481195e-01,2.91120464543672597e+00,1.00000000000000000e+00
2,2,8.71077400981154493e-01,3.75324273835145217e+00,1.00000000000000000e+00
2,4,8.11534323714804717e-01,5.83834905148710703e+00,1.00000000000000000e+00
2,8,8.11534323714804717e-01,9.83001617727459553e+00,1.00000000000000000e+00
2,16,4.65804873665308428e-01,1.78055791936520080e+01,9.79166666666666630e-01
2,32,2.22785766248448794e-16,3.38314061439151033e+01,0.00000000000000000e+00
2,64,2.55570790938075509e-16,6.58031480993319349e+01,0.00000000000000000e+00
3,1,3.90645791460652980e-01,4.47892230314496587e+00,1.00000000000000000e+00
3,2,5.86625452515111112e-01,4.37872082627490844e+00,1.00000000000000000e+00
3,4,4.86819602715443667e-01,6.43976532921464706e+00,1.00000000000000000e+00
3,8,4.86669739238905052e-01,1.04290736538010673e+01,1.00000000000000000e+00
3,16,4.30656851056228918e-01,1.84216227225107225e+01,1.00000000000000000e+00
3,32,1.82108950402063601e-16,3.44405824347754503e+01,0.00000000000000000e+00
3,64,1.65814114658741410e-16,6.64008208294547728e+01,0.00000000000000000e+00
4,1,2.38942574672287161e-01,5.51039376235583944e+00,1.00000000000000000e+00
4,2,3.88686941926251528e-01,5.44337423480383364e+00,1.00000000000000000e+00
4,4,4.16167263582956137e-01,6.94138432597364119e+00,1.00000000000000000e+00
4,8,3.81400857924756420e-01,1.10618438131786618e+01,1.00000000000000000e+00
4,16,3.61836994746708052e-01,1.90510805719096687e+01,1.00000000000000000e+00
4,32,1.01635190341887961e-03,3.50641718371036006e+01,2.77777777777777762e-02
4,64,2.31465346647382116e-16,6.70345133756081140e+01,0.00000000000000000e+00
5,1,1.41699535473278515e-01,7.03063040876125811e+00,1.00000000000000000e+00
5,2,2.46961577478200828e-01,6.89410740149876577e+00,1.00000000000000000e+00
5,4,3.44669164510009007e-01,7.56982527955555273e+00,1.00000000000000000e+00
5,8,2.96043247602402859e-01,1.19007318850600505e+01,1.00000000000000000e+00
5,16,2.90499944709883939e-01,1.98822399322152279e+01,1.00000000000000000e+00
5,32,2.35915943658522517e-02,3.58942509713967510e+01,3.81944444444444420e-01
5,64,1.01390765961952881e-16,6.78665973281603812e+01,0.00000000000000000e+00
7,1,7.37013401032079185e-02,9.28147481512014316e+00,1.00000000000000000e+00
7,2,1.36986592980234217e-01,9.22160224944136608e+00,1.00000000000000000e+00
7,4,2.26634888773956544e-01,9.31136417022476515e+00,1.00000000000000000e+00
7,8,2.20742499486317800e-01,1.32035827998499133e+01,1.00000000000000000e+00
7,16,2.19131569825475159e-01,2.11890709707736669e+01,1.00000000000000000e+00
7,32,9.21915508031789233e-02,3.72000623423328136e+01,7.84722222222222210e-01
7,64,5.24049989671547132e-17,6.91726851437075396e+01,0.00000000000000000e+00
9,1,3.64256629420855738e-02,1.19441711721837862e+01,1.00000000000000000e+00
9,2,6.80332867296248867e-02,1.19190646445972881e+01,1.00000000000000000e+00
9,4,1.20253870096097212e-01,1.19884724765441870e+01,1.00000000000000000e+00
9,8,1.66954769973856859e-01,1.42355175007813433e+01,1.00000000000000000e+00
9,16,1.69181633240255258e-01,2.27399097396458814e+01,1.00000000000000000e+00
9,32,1.05277064653683583e-01,3.87521944792944097e+01,9.44444444444444420e-01
9,64,1.10131838373941185e-16,7.07287891369098247e+01,0.00000000000000000e+00
11,1,2.22777018899618338e-02,1.38147591304528454e+01,1.00000000000000000e+00
11,2,4.04745099343293904e-02,1.39309188293657460e+01,1.00000000000000000e+00
11,4,6.95372067815192563e-02,1.42288304197578768e+01,1.00000000000000000e+00
11,8,1.10749502807427333e-01,1.54725844928958018e+01,1.00000000000000000e+00
11,16,1.37652377849445617e-01,2.41133724918092192e+01,1.00000000000000000e+00
11,32,1.05728683642671337e-01,4.01261939692833991e+01,1.00000000000000000e+00
11,64,1.44629528177642229e-03,7.21081863602311159e+01,1.42361111111111105e-01
13,1,1.52973352438499442e-02,1.59444316952281486e+01,1.00000000000000000e+00
13,2,2.78231103999849010e-02,1.58042264923002822e+01,1.00000000000000000e+00
13,4,4.78736123306081618e-02,1.62147329151786863e+01,1.00000000000000000e+00
13,8,7.54275975186055742e-02,1.70456846538806843e+01,1.00000000000000000e+00
13,16,1.05147174259426573e-01,2.52419964074622669e+01,1.00000000000000000e+00
13,32,9.74138124545662482e-02,4.12571301985734422e+01,1.00000000000000000e+00
13,64,7.17040133725192329e-03,7.32366619259657341e+01,4.44444444444444420e-01
16,1,9.13506273747965308e-03,1.77156109813958054e+01,9.30555555555555580e-01
16,2,1.71436738796426832e-02,1.82856575415948228e+01,9.82638888888888840e-01
16,4,3.09784434994328679e-02,1.88119341125709560e+01,1.00000000000000000e+00
16,8,5.06705090651931311e-02,1.97030323218724703e+01,1.00000000000000000e+00
16,16,6.86087176009490540e-02,2.63626808573725242e+01,1.00000000000000000e+00
16,32,8.53282536834159833e-02,4.26729988036338455e+01,1.00000000000000000e+00
16,64,2.77591413859851338e-02,7.46551455096466299e+01,6.94444444444444420e-01
20,1,4.98033553673801494e-03,2.09657959404730825e+01,7.63888888888888840e-01
20,2,9.56997271116511589e-03,2.05860718682192925e+01,8.05555555555555580e-01
20,4,1.83533627634895682e-02,2.12722761565710101e+01,9.44444444444444420e-01
20,8,3.27792068071240256e-02,2.32812069746203250e+01,1.00000000000000000e+00
20,16,4.75191974774281239e-02,2.74274663564617533e+01,1.00000000000000000e+00
20,32,6.52109488803192805e-02,4.44990397247129934e+01,1.00000000000000000e+00
20,64,4.05200189355853918e-02,7.64833047937902251e+01,8.61111111111111160e-01
25,1,2.89451593746941184e-03,2.55701206924917521e+01,6.80555555555555580e-01
25,2,5.61830066446723266e-03,2.41389452307695009e+01,7.15277777777777790e-01
25,4,1.08218665532689648e-02,2.48549294559224663e+01,7.56944444444444420e-01
25,8,1.99787765628242388e-02,2.63114534477015383e+01,9.44444444444444420e-01
25,16,3.29608986059467188e-02,2.98476039841975762e+01,1.00000000000000000e+00
25,32,4.15122177692403491e-02,4.65905469399016425e+01,1.00000000000000000e+00
25,64,4.24268202890574556e-02,7.85759540511384103e+01,9.72222222222222210e-01
32,1,1.61884005116041518e-03,3.09768416323693963e+01,6.25000000000000000e-01
32,2,3.19391214651089687e-03,2.97915402644130545e+01,6.38888888888888840e-01
32,4,6.21531279790702232e-03,3.03475370862663496e+01,6.66666666666666630e-01
32,8,1.15743135382246707e-02,3.14676041101571968e+01,7.50000000000000000e-01
32,16,2.04512698260590278e-02,3.38002483396805147e+01,1.00000000000000000e+00
32,32,2.76309611810857565e-02,4.88676814275426992e+01,1.00000000000000000e+00
32,64,3.68927055570429305e-02,8.14043568297336009e+01,1.00000000000000000e+00
40,1,9.71702357578371279e-04,3.65410214449775879e+01,5.83333333333333370e-01
40,2,1.90366009063648286e-03,3.56494485243857042e+01,5.90277777777777790e-01
40,4,3.73594007758295578e-03,3.65269735184471500e+01,6.31944444444444420e-01
40,8,7.12399406750936336e-03,3.73670278972740277e+01,6.73611111111111160e-01
40,16,1.28111274003238542e-02,3.95751279499514510e+01,8.12500000000000000e-01
40,32,2.02468480641376791e-02,5.06696399942944140e+01,1.00000000000000000e+00
40,64,2.52465986176614518e-02,8.46115980304219875e+01,1.00000000000000000e+00
