radius,feature_width,detection_magnitude,fwhm,detection_rate
2,1,6.66666666666666963e-01,1.06250000000000000e+00,1.00000000000000000e+00
2,2,6.66666666666666963e-01,2.00000000000000000e+00,1.00000000000000000e+00
2,4,8.55401697889429657e-01,3.54166666666666607e+00,1.00000000000000000e+00
2,8,8.32568858010586776e-01,8.85968804496153162e+00,1.00000000000000000e+00
2,16,8.24957911384305409e-01,1.73775461649474536e+01,1.00000000000000000e+00
2,32,1.09500746368523472e-16,3.37650931105227841e+01,0.00000000000000000e+00
2,64,2.08759170877180456e-16,6.58660291817569998e+01,0.00000000000000000e+00
3,1,1.22565175405668220e-01,1.06250000000000000e+00,1.00000000000000000e+00
3,2,2.23333333333333356e-01,2.00000000000000000e+00,1.00000000000000000e+00
3,4,5.67883177128166938e-01,2.45489727095524168e+00,1.00000000000000000e+00
3,8,5.08940784250201061e-01,8.10952584336495086e+00,1.00000000000000000e+00
3,16,5.07583227116356506e-01,1.73580221564951245e+01,1.00000000000000000e+00
3,32,1.45304510848026228e-16,3.39357663991272958e+01,0.00000000000000000e+00
3,64,1.36512539552477862e-16,6.60967401301980146e+01,0.00000000000000000e+00
4,1,6.14761685532570976e-02,1.06250000000000000e+00,1.00000000000000000e+00
4,2,1.16418145138332360e-01,2.00000000000000000e+00,1.00000000000000000e+00
4,4,4.02722183006885948e-01,7.01337902146147396e+00,1.00000000000000000e+00
4,8,3.88723915837866862e-01,7.10189312789141525e+00,1.00000000000000000e+00
4,16,3.94583696199837020e-01,1.70313992571932360e+01,1.00000000000000000e+00
4,32,2.09273269279952269e-16,3.41978171176881034e+01,0.00000000000000000e+00
4,64,2.13986515557942128e-16,6.66387711955884185e+01,0.00000000000000000e+00
5,1,2.80327409465431013e-02,1.06250000000000000e+00,1.00000000000000000e+00
5,2,5.47461981175252910e-02,2.00000000000000000e+00,1.00000000000000000e+00
5,4,2.34213980311992365e-01,8.96079927648096941e+00,1.00000000000000000e+00
5,8,3.04914184256042609e-01,6.56309812132944437e+00,1.00000000000000000e+00
5,16,3.01353877569080719e-01,1.69732137236630862e+01,1.00000000000000000e+00
5,32,6.53329276187713109e-02,3.43419263257691227e+01,1.00000000000000000e+00
5,64,1.01138659988770858e-16,6.69627681451451906e+01,0.00000000000000000e+00
7,1,1.09476666249537398e-02,1.06250000000000000e+00,1.00000000000000000e+00
7,2,2.17823358212705792e-02,2.00000000000000000e+00,1.00000000000000000e+00
7,4,1.01472475294427072e-01,6.76924823229611849e+00,1.00000000000000000e+00
7,8,2.09300085371719180e-01,5.28410201394866963e+00,1.00000000000000000e+00
7,16,2.23536169342298141e-01,1.50084690490067523e+01,1.00000000000000000e+00
7,32,2.22994825781938355e-01,3.42381736697679102e+01,1.00000000000000000e+00
7,64,3.61275891437333931e-17,6.76968185853521476e+01,0.00000000000000000e+00
9,1,4.13956980563882394e-03,1.06250000000000000e+00,1.00000000000000000e+00
9,2,5.84759554252039376e-03,2.00000000000000000e+00,1.00000000000000000e+00
9,4,2.56343450768069907e-02,9.97610397055854570e+00,1.00000000000000000e+00
9,8,7.84748032577804594e-02,1.61245442660875682e+01,1.00000000000000000e+00
9,16,1.68694238687573744e-01,1.34402519553356719e+01,1.00000000000000000e+00
9,32,1.69885895434283868e-01,3.39095742236005293e+01,1.00000000000000000e+00
9,64,1.02099145530599718e-16,6.81570743275832882e+01,0.00000000000000000e+00
11,1,2.29208590543499751e-03,1.06250000000000000e+00,1.00000000000000000e+00
11,2,2.88924877335610276e-03,2.00000000000000000e+00,1.00000000000000000e+00
11,4,7.55458705973841536e-03,8.99886126538806685e+00,1.00000000000000000e+00
11,8,1.93531176298072788e-02,1.73129163869172302e+01,1.00000000000000000e+00
11,16,1.12629713860704680e-01,1.25460531531025303e+01,1.00000000000000000e+00
11,32,1.39421672575263916e-01,3.31594567204276771e+01,1.00000000000000000e+00
11,64,7.95784128201579288e-03,6.84022654947972342e+01,8.75000000000000000e-01
13,1,1.44204357279899167e-03,1.06250000000000000e+00,1.00000000000000000e+00
13,2,2.06856977921910865e-03,2.00000000000000000e+00,1.00000000000000000e+00
13,4,5.97159756048679016e-03,1.15765725628479021e+01,1.00000000000000000e+00
13,8,8.56887799366956408e-03,1.76750066566574375e+01,1.00000000000000000e+00
13,16,5.29439389298510324e-02,1.20066193488608661e+01,1.00000000000000000e+00
13,32,1.17622578589735099e-01,3.18258248845312295e+01,1.00000000000000000e+00
13,64,2.19181200657160812e-02,6.85316051000967263e+01,1.00000000000000000e+00
16,1,1.39928363883019715e-19,1.06250000000000000e+00,0.00000000000000000e+00
16,2,2.28500458787725411e-19,2.00000000000000000e+00,0.00000000000000000e+00
16,4,1.81470683859064020e-03,1.09208411152484750e+01,1.00000000000000000e+00
16,8,6.18317122047989075e-03,1.81053197686666145e+01,1.00000000000000000e+00
16,16,9.59428325859413428e-03,2.95415401196250400e+01,1.00000000000000000e+00
16,32,9.20291792642171508e-02,2.87996817365945823e+01,1.00000000000000000e+00
16,64,8.27023276999838269e-02,6.82074828409839427e+01,1.00000000000000000e+00
