theta_deg,response_magnitude,response_magnitude_std
0.000000,9.93438203627219352e-02,1.73824825652654178e-04
0.500000,9.95165811291452429e-02,4.06752553108802670e-10
1.000000,9.95141715881218830e-02,9.54775033783915134e-07
1.500000,9.95082545261256890e-02,5.60571668697174196e-07
2.000000,9.95019387072215850e-02,3.13437876244116085e-06
2.500000,9.94953177428523350e-02,5.02318142439779970e-06
3.000000,9.94885241609133608e-02,5.91875332102601615e-06
3.500000,9.94807818296234714e-02,1.13788277625856182e-05
4.000000,9.94730945618068352e-02,1.24456028671663465e-05
4.500000,9.94601584652066301e-02,1.37765141833591526e-05
5.000000,9.94471722958332888e-02,1.68501456524282622e-05
5.500000,9.94437119133287500e-02,1.76143660482741684e-05
6.000000,9.94372679593723274e-02,1.54774968064146998e-05
6.500000,9.94321785787854462e-02,1.36847124171119668e-05
7.000000,9.94208893759743750e-02,1.32776438268708059e-05
7.500000,9.94126720193362484e-02,1.91066832260334573e-05
8.000000,9.94010313749601054e-02,2.27352282038217435e-05
8.500000,9.93899843936983246e-02,2.56804609745592765e-05
9.000000,9.93817570354912361e-02,2.43906665763152377e-05
9.500000,9.93731761280773895e-02,2.33041067425166836e-05
10.000000,9.93649871104365645e-02,1.89780932123583237e-05
10.500000,9.93534511069842086e-02,1.72211351000512125e-05
11.000000,9.93353112225406898e-02,1.34180366766429249e-05
11.500000,9.93293429006868733e-02,1.77646440907413213e-05
12.000000,9.93121588689799828e-02,2.92262346620040831e-05
12.500000,9.92789084649593340e-02,3.97858807542065930e-05
13.000000,9.92981996894477525e-02,2.56989247577063040e-05
13.500000,9.92780812787191769e-02,1.33499204306227247e-05
14.000000,9.92677718109768181e-02,2.94002476669608903e-05
14.500000,9.92549782575079254e-02,2.90593985567169001e-05
15.000000,9.92403887547574359e-02,1.48123060431876454e-05
15.500000,9.92132256215190050e-02,3.34654011998616955e-05
16.000000,9.92230958113881900e-02,1.42867897072504357e-05
16.500000,9.91828975529928242e-02,3.81164512011773581e-05
17.000000,9.91869752887116346e-02,1.65253312346356385e-05
17.500000,9.91781323038746637e-02,3.18991942054711226e-05
18.000000,9.91447768286337489e-02,4.54332777945884699e-05
18.500000,9.91440030426541247e-02,1.77700594864425842e-05
19.000000,9.91403389958344372e-02,1.81459695749615268e-05
19.500000,9.91166180691433057e-02,3.88148546620531565e-05
20.000000,9.90969726990745120e-02,3.95042446143309270e-05
20.500000,9.90801087791069734e-02,4.08248560733505891e-05
21.000000,9.90658477249734687e-02,4.46047153758863586e-05
21.500000,9.90643764027298035e-02,2.86060081315343763e-05
22.000000,9.90520511682301957e-02,1.61176011414688059e-05
22.500000,9.90235029774409053e-02,2.82133984662622669e-05
23.000000,9.90123507369663897e-02,4.54306410072663065e-05
23.500000,9.90073945187516791e-02,2.58354459122929325e-05
24.000000,9.89813313443196757e-02,5.32099783652451947e-05
24.500000,9.89886429275740332e-02,2.66783432730038377e-05
25.000000,9.89772951910847243e-02,3.87074060718091404e-05
25.500000,9.89542178626418301e-02,5.38897892549246725e-05
26.000000,9.89561088792212940e-02,3.71309417835632839e-05
26.500000,9.89335597436420827e-02,3.80317944901810168e-05
27.000000,9.89402911596824614e-02,4.25662933185377379e-05
27.500000,9.89309951975571450e-02,4.99178394093425208e-05
28.000000,9.89538948739421692e-02,3.29887713258293283e-05
28.500000,9.89487679443288859e-02,4.28875890522106119e-05
29.000000,9.89252862421242385e-02,5.54133243035423534e-05
29.500000,9.89384321660890798e-02,6.00214625814912936e-05
30.000000,9.89636942547940102e-02,3.00764580360106478e-05
30.500000,9.89511864078949505e-02,5.63060079839681544e-05
31.000000,9.89458717193900106e-02,6.47504366572652386e-05
31.500000,9.89565160914104014e-02,6.78281196171034827e-05
32.000000,9.89909777380180850e-02,4.29625701564014003e-05
32.500000,9.90089759305613909e-02,3.42868851073635378e-05
33.000000,9.89522744281688821e-02,8.50703586563286051e-05
33.500000,9.90453267042884777e-02,2.35912818223797216e-05
34.000000,9.90591485364410024e-02,3.43560172597602115e-05
34.500000,9.90147368119837501e-02,9.55939666277626872e-05
35.000000,9.90910096107911476e-02,5.06767120744960412e-05
35.500000,9.91093915409768794e-02,5.73292275968686921e-05
36.000000,9.91315984646833487e-02,6.12152144645172741e-05
36.500000,9.91794505512281349e-02,3.55287988461633415e-05
37.000000,9.91950414382047480e-02,5.48595012746218186e-05
37.500000,9.92434352768487571e-02,3.10880666661223070e-05
38.000000,9.92706667916017915e-02,4.18653269455085284e-05
38.500000,9.93021800223098106e-02,4.74815900881943670e-05
39.000000,9.93450993246774994e-02,4.04484159133029059e-05
39.500000,9.93507229586361867e-02,7.58159284939811142e-05
40.000000,9.94258511287054170e-02,4.21423389570666220e-05
40.500000,9.94314750681359050e-02,8.00475494510197855e-05
41.000000,9.95198199114010196e-02,3.74673745398390224e-05
41.500000,9.95667439986556158e-02,4.04895871969937992e-05
42.000000,9.96166875128912943e-02,4.31012516932274641e-05
42.500000,9.96631167445208854e-02,5.17247641528945543e-05
43.000000,9.97437275178889027e-02,1.03931351666996140e-05
43.500000,9.97351591200861393e-02,8.22986968501401226e-05
44.000000,9.98637594510971560e-02,1.34422971360228155e-05
44.500000,9.98666332405066803e-02,7.17480377367317538e-05
45.000000,1.02770749394248573e-01,1.04309803149544965e-04
45.500000,9.98666332405067081e-02,7.17480377367301411e-05
46.000000,9.98637594510971421e-02,1.34422971360390396e-05
46.500000,9.97351591200861254e-02,8.22986968501424943e-05
47.000000,9.97437275178889304e-02,1.03931351666872118e-05
47.500000,9.96631167445209409e-02,5.17247641528641763e-05
48.000000,9.96166875128913359e-02,4.31012516932207827e-05
48.500000,9.95667439986556574e-02,4.04895871969729350e-05
49.000000,9.95198199114010335e-02,3.74673745398387581e-05
49.500000,9.94314750681359327e-02,8.00475494510024925e-05
50.000000,9.94258511287054586e-02,4.21423389570392933e-05
50.500000,9.93507229586362006e-02,7.58159284939881345e-05
51.000000,9.93450993246775271e-02,4.04484159133430281e-05
51.500000,9.93021800223098522e-02,4.74815900881899624e-05
52.000000,9.92706667916018470e-02,4.18653269454966835e-05
52.500000,9.92434352768487710e-02,3.10880666661260679e-05
53.000000,9.91950414382047480e-02,5.48595012746423032e-05
53.500000,9.91794505512281765e-02,3.55287988461175272e-05
54.000000,9.91315984646833903e-02,6.12152144645269778e-05
54.500000,9.91093915409769211e-02,5.73292275968720192e-05
55.000000,9.90910096107911892e-02,5.06767120744586498e-05
55.500000,9.90147368119837501e-02,9.55939666277634190e-05
56.000000,9.90591485364410163e-02,3.43560172598099221e-05
56.500000,9.90453267042885055e-02,2.35912818223838517e-05
57.000000,9.89522744281688960e-02,8.50703586563165298e-05
57.500000,9.90089759305614187e-02,3.42868851073754776e-05
58.000000,9.89909777380180989e-02,4.29625701563961284e-05
58.500000,9.89565160914104708e-02,6.78281196170751037e-05
59.000000,9.89458717193900383e-02,6.47504366572473086e-05
59.500000,9.89511864078950060e-02,5.63060079839597247e-05
60.000000,9.89636942547940379e-02,3.00764580359925755e-05
60.500000,9.89384321660891214e-02,6.00214625814906634e-05
61.000000,9.89252862421242662e-02,5.54133243035426245e-05
61.500000,9.89487679443289136e-02,4.28875890522153891e-05
62.000000,9.89538948739421831e-02,3.29887713258098127e-05
62.500000,9.89309951975571866e-02,4.99178394093394444e-05
63.000000,9.89402911596825169e-02,4.25662933185370874e-05
63.500000,9.89335597436420966e-02,3.80317944901785435e-05
64.000000,9.89561088792213495e-02,3.71309417835605530e-05
64.500000,9.89542178626418717e-02,5.38897892549380488e-05
65.000000,9.89772951910847382e-02,3.87074060718085712e-05
65.500000,9.89886429275740470e-02,2.66783432730140122e-05
66.000000,9.89813313443196896e-02,5.32099783652422470e-05
66.500000,9.90073945187517068e-02,2.58354459122995732e-05
67.000000,9.90123507369664313e-02,4.54306410072784699e-05
67.500000,9.90235029774409470e-02,2.82133984662525735e-05
68.000000,9.90520511682302096e-02,1.61176011414625074e-05
68.500000,9.90643764027298451e-02,2.86060081315395195e-05
69.000000,9.90658477249734826e-02,4.46047153758864670e-05
69.500000,9.90801087791070012e-02,4.08248560733524254e-05
70.000000,9.90969726990745259e-02,3.95042446143386723e-05
70.500000,9.91166180691433474e-02,3.88148546620635106e-05
71.000000,9.91403389958344372e-02,1.81459695749442710e-05
71.500000,9.91440030426541385e-02,1.77700594864476325e-05
72.000000,9.91447768286337905e-02,4.54332777945888291e-05
72.500000,9.91781323038746776e-02,3.18991942054759473e-05
73.000000,9.91869752887116901e-02,1.65253312346422555e-05
73.500000,9.91828975529928658e-02,3.81164512011828468e-05
