theta_deg,response_magnitude,response_magnitude_std
0.000000,7.99185866142772400e-02,5.16460216415021414e-05
0.500000,7.99819222242426631e-02,5.56668263353043088e-07
1.000000,8.00173730796900629e-02,2.08656428853662174e-06
1.500000,8.00784718440679943e-02,4.42181125207565985e-06
2.000000,8.01624175112430337e-02,7.79363192207033992e-06
2.500000,8.02671030102346944e-02,1.01055993128815541e-05
3.000000,8.03915541688761670e-02,9.14737113768167569e-06
3.500000,8.05348667052917244e-02,3.62519837094990790e-06
4.000000,8.06986151122471435e-02,1.15548892830562009e-09
4.500000,8.08894210431727462e-02,2.44793723854924589e-06
5.000000,8.10994466564103345e-02,2.06414296587554933e-06
5.500000,8.13292478421175358e-02,3.30841455673469375e-06
6.000000,8.15738680788937881e-02,1.81630397058273588e-06
6.500000,8.18389746492015346e-02,3.23289058896291187e-06
7.000000,8.21196841198278127e-02,1.84042360605377713e-06
7.500000,8.24187711166624593e-02,4.71964001806736601e-06
8.000000,8.27258775140877062e-02,1.67627740980462756e-06
8.500000,8.30505767588094468e-02,3.05980385549221045e-06
9.000000,8.33878119313173627e-02,4.24509716296110022e-06
9.500000,8.37361865259784593e-02,1.75052330968214694e-06
10.000000,8.40919745469744517e-02,6.66435857793913324e-08
10.500000,8.44603005125531825e-02,3.73566754329801973e-07
11.000000,8.48388560096662303e-02,2.18100423281022731e-06
11.500000,8.52228351165447012e-02,1.75390946902326735e-06
12.000000,8.56141155721567015e-02,1.63950690201633776e-06
12.500000,8.60108681309996181e-02,8.18213958382114618e-10
13.000000,8.64138712769321471e-02,2.56445685357029028e-10
13.500000,8.68232087267250541e-02,2.39486246399132081e-06
14.000000,8.72337984672453270e-02,1.38629520467602116e-06
14.500000,8.76471928152532942e-02,7.85786959348390763e-09
15.000000,8.80666965049824307e-02,1.43548260065345145e-06
15.500000,8.84835698271473903e-02,9.89575565785401986e-07
16.000000,8.89030212919318108e-02,5.88966998109111710e-11
16.500000,8.93247031403466979e-02,1.44759518563167156e-06
17.000000,8.97458828325048280e-02,1.50114163497693048e-06
17.500000,9.01657292093579615e-02,1.24560474496991947e-06
18.000000,9.05850630291771264e-02,1.17782933732715037e-06
18.500000,9.10020080233877454e-02,5.31910108744055523e-07
19.000000,9.14186156981462994e-02,1.84059521296507016e-06
19.500000,9.18311344973906513e-02,1.51286677886872285e-07
20.000000,9.22427508955075692e-02,1.69197539242703415e-06
20.500000,9.26494638222320338e-02,2.03209765992778041e-07
21.000000,9.30534611799778283e-02,1.41422267178064983e-07
21.500000,9.34535041688245444e-02,1.21485564739579998e-10
22.000000,9.38493615360834615e-02,2.89616771549445753e-11
22.500000,9.42411978132489947e-02,6.79139740403861539e-07
23.000000,9.46276391627626917e-02,9.22470862788456203e-07
23.500000,9.50079657470976890e-02,3.62034400617213168e-08
24.000000,9.53840865684597583e-02,9.64515882033667073e-07
24.500000,9.57532859263817704e-02,2.28514962404458157e-10
25.000000,9.61174410702021476e-02,5.06190625030541995e-07
25.500000,9.64745217974074948e-02,1.34695784646181677e-07
26.000000,9.68255418521764971e-02,2.82622522913133879e-07
26.500000,9.71698659951448634e-02,4.94939463019436568e-07
27.000000,9.75071932207927511e-02,6.36444932998176339e-07
27.500000,9.78369680732372737e-02,1.11955977737954886e-07
28.000000,9.81598179711386104e-02,3.67780467612719098e-07
28.500000,9.84747238435432215e-02,1.50574247260762449e-09
29.000000,9.87824744755761708e-02,6.63193163700380664e-07
29.500000,9.90818252279491996e-02,3.39977484747828326e-07
30.000000,9.93732858804713404e-02,4.86099840463103664e-07
30.500000,9.96561716427216970e-02,2.49038307059456113e-07
31.000000,9.99312019469813517e-02,6.69114140612513794e-07
31.500000,1.00197106457126317e-01,1.86847186514242623e-10
32.000000,1.00454783131517233e-01,1.05183737875280027e-08
32.500000,1.00703702415317703e-01,1.39350233200019291e-10
33.000000,1.00944039708349434e-01,4.87251168025294601e-07
33.500000,1.01174823886872919e-01,5.19726286555730606e-10
34.000000,1.01396945185749099e-01,1.62653409729339144e-07
34.500000,1.01609801018178625e-01,4.34705896124042570e-07
35.000000,1.01812971524029183e-01,1.46641099482732154e-10
35.500000,1.02007630988738121e-01,8.50971217534651719e-07
36.000000,1.02192100523534668e-01,9.21376655510213470e-07
36.500000,1.02367145072120386e-01,9.85975976188849231e-07
