theta_deg,response_magnitude,response_magnitude_std
0.000000,9.93438203627219352e-02,1.73824825652656509e-04
0.500000,9.95165811291452290e-02,4.06752543133267319e-10
1.000000,9.95141715881218830e-02,9.54775033787388393e-07
1.500000,9.95079796786918491e-02,4.94248260807651642e-07
2.000000,9.95019387072215850e-02,3.13437876242112937e-06
2.500000,9.94953177428523350e-02,5.02318142438662733e-06
3.000000,9.94885241609133469e-02,5.91875332102259413e-06
3.500000,9.94807679647300297e-02,1.13652337513023638e-05
4.000000,9.94673990315053380e-02,1.17074366190337457e-05
4.500000,9.94555733797676533e-02,1.48171452875801850e-05
5.000000,9.94470516922358744e-02,1.66813126242147287e-05
5.500000,9.94437119133287639e-02,1.76143660482741684e-05
6.000000,9.94372679593723136e-02,1.54774968064106747e-05
6.500000,9.94321785787854601e-02,1.36847124171143622e-05
7.000000,9.94195208683290310e-02,1.19854173982299536e-05
7.500000,9.94066042489105406e-02,1.61344078592306469e-05
8.000000,9.93917210101240428e-02,2.00102899636540803e-05
8.500000,9.93772120670997766e-02,2.50575816104537687e-05
9.000000,9.93679728902164966e-02,2.50727483683760680e-05
9.500000,9.93583391368344226e-02,2.54890575895682149e-05
10.000000,9.93527249101093524e-02,1.89778069945690744e-05
10.500000,9.93438673357579793e-02,1.48335599244535587e-05
11.000000,9.93334207173533351e-02,1.17895717957784657e-05
11.500000,9.93293429006868872e-02,1.77646440907350397e-05
12.000000,9.93121588689799828e-02,2.92262346620033106e-05
12.500000,9.92747416551298112e-02,3.93012643820742864e-05
13.000000,9.92813145981366330e-02,3.10211852685751395e-05
13.500000,9.92717419113495619e-02,9.57870036493809611e-06
14.000000,9.92677718109768042e-02,2.94002476669591116e-05
14.500000,9.92384360453385378e-02,3.40127560642701634e-05
15.000000,9.92359602539707730e-02,1.43325015358632000e-05
15.500000,9.92130099013822375e-02,3.34494054186573292e-05
16.000000,9.92036192457965704e-02,2.47490179498900786e-05
16.500000,9.91783767148207152e-02,3.44389566130164868e-05
17.000000,9.91809873248209461e-02,1.85531060056951413e-05
17.500000,9.91546749096670066e-02,3.81600734687757753e-05
18.000000,9.91447768286337627e-02,4.54332777945896422e-05
18.500000,9.91339455359720179e-02,2.31788142094774455e-05
19.000000,9.91123904300886677e-02,3.71593663164302272e-05
19.500000,9.90833495728901392e-02,5.18021576025750095e-05
20.000000,9.90735671993277778e-02,4.27541055694294098e-05
20.500000,9.90582559665375839e-02,4.17538342839935043e-05
21.000000,9.90399578391157054e-02,4.66074660950754004e-05
21.500000,9.90314370291995871e-02,4.53758748540335620e-05
22.000000,9.90242738106036080e-02,3.79916283877904337e-05
22.500000,9.90235029774409053e-02,2.82133984662510725e-05
23.000000,9.89980484559337542e-02,4.14839767222575595e-05
23.500000,9.89786973145753146e-02,4.61278375300045988e-05
24.000000,9.89665206662103669e-02,4.72028714340893852e-05
24.500000,9.89679113188176862e-02,3.20930419043229876e-05
25.000000,9.89537102768051624e-02,3.54090083412242763e-05
25.500000,9.89400928977302446e-02,4.71891632998869574e-05
26.000000,9.89523490654807825e-02,4.09521867989579989e-05
26.500000,9.89329741021156839e-02,3.70700463753300788e-05
27.000000,9.89348621576496279e-02,4.89088210681536795e-05
27.500000,9.89235583538287250e-02,4.16395533431022742e-05
28.000000,9.89306102492748946e-02,3.87042219270316366e-05
28.500000,9.89185627835409143e-02,4.43740687815082454e-05
29.000000,9.89154923365677258e-02,4.87589851189739877e-05
29.500000,9.89009386272634572e-02,6.25834398128841986e-05
30.000000,9.89338612067420381e-02,4.84310454964261025e-05
30.500000,9.89245455775430715e-02,7.64931933068335810e-05
31.000000,9.89359516729826222e-02,7.12298245427451490e-05
31.500000,9.89406560168527432e-02,7.74534046950894027e-05
32.000000,9.89532289175123758e-02,7.70883736825189335e-05
32.500000,9.89636027444613653e-02,6.29468076293917525e-05
33.000000,9.89474496786977020e-02,8.16887758141578109e-05
33.500000,9.89801104624947331e-02,6.61019427562990487e-05
34.000000,9.90095561293348747e-02,9.26566973080080494e-05
34.500000,9.89851887659186636e-02,1.03612708954109879e-04
35.000000,9.90621563627258062e-02,7.78130077835408832e-05
35.500000,9.90527125382934942e-02,7.60248417492232777e-05
36.000000,9.90945071965518565e-02,5.96177853404918518e-05
36.500000,9.91401175990909572e-02,8.30748737393004048e-05
37.000000,9.91699785898050162e-02,8.44012696708418980e-05
37.500000,9.91937381867142032e-02,9.62449091236072286e-05
38.000000,9.92342236873611921e-02,8.86482029451765964e-05
38.500000,9.92815617443243009e-02,6.98237953974515692e-05
39.000000,9.93011647836083977e-02,6.12426967675716122e-05
39.500000,9.93186096005868602e-02,7.33631861684957488e-05
40.000000,9.94043784540040443e-02,6.83934986518868387e-05
40.500000,9.94066031963614233e-02,7.19949800292538241e-05
41.000000,9.94779273510399270e-02,5.91301815146375132e-05
41.500000,9.95475285428778778e-02,6.55270411923192746e-05
42.000000,9.96013701076369079e-02,6.16001902783851500e-05
42.500000,9.96576623862338584e-02,5.71455068540255499e-05
43.000000,9.96981679605684623e-02,7.87450796535648235e-05
43.500000,9.97163455594188564e-02,8.05609650034647926e-05
44.000000,9.98222436477506081e-02,7.51362256987060152e-05
44.500000,9.98499969342295374e-02,7.06530573931006371e-05
45.000000,1.00738540112048330e-01,4.48695330521643948e-04
45.500000,9.98499969342295512e-02,7.06530573930956091e-05
46.000000,9.98222436477506497e-02,7.51362256986975449e-05
46.500000,9.97163455594188980e-02,8.05609650034734391e-05
47.000000,9.96981679605684762e-02,7.87450796535528160e-05
47.500000,9.96576623862338862e-02,5.71455068540180350e-05
48.000000,9.96013701076369495e-02,6.16001902783900018e-05
48.500000,9.95475285428779194e-02,6.55270411923566389e-05
49.000000,9.94779273510399686e-02,5.91301815146327224e-05
49.500000,9.94066031963614372e-02,7.19949800292702362e-05
50.000000,9.94043784540040859e-02,6.83934986519150144e-05
50.500000,9.93186096005868879e-02,7.33631861684881729e-05
51.000000,9.93011647836084255e-02,6.12426967675590219e-05
51.500000,9.92815617443243009e-02,6.98237953974541171e-05
52.000000,9.92342236873611921e-02,8.86482029451986057e-05
52.500000,9.91937381867142309e-02,9.62449091236118907e-05
53.000000,9.91699785898050579e-02,8.44012696708225179e-05
53.500000,9.91401175990909711e-02,8.30748737393266289e-05
54.000000,9.90945071965519120e-02,5.96177853405032834e-05
54.500000,9.90527125382935220e-02,7.60248417492169758e-05
55.000000,9.90621563627258339e-02,7.78130077835528230e-05
55.500000,9.89851887659187052e-02,1.03612708954116072e-04
56.000000,9.90095561293349025e-02,9.26566973079717964e-05
56.500000,9.89801104624947470e-02,6.61019427562959994e-05
57.000000,9.89474496786977298e-02,8.16887758141623510e-05
57.500000,9.89636027444613930e-02,6.29468076293906005e-05
58.000000,9.89532289175124313e-02,7.70883736825092434e-05
58.500000,9.89406560168527849e-02,7.74534046950863127e-05
59.000000,9.89359516729826638e-02,7.12298245427465449e-05
59.500000,9.89245455775431271e-02,7.64931933068316701e-05
60.000000,9.89338612067420797e-02,4.84310454963935290e-05
60.500000,9.89009386272634988e-02,6.25834398128858655e-05
61.000000,9.89154923365677813e-02,4.87589851189710807e-05
61.500000,9.89185627835409559e-02,4.43740687815183962e-05
62.000000,9.89306102492749362e-02,3.87042219270211470e-05
62.500000,9.89235583538287944e-02,4.16395533430911341e-05
63.000000,9.89348621576496973e-02,4.89088210681450533e-05
63.500000,9.89329741021157533e-02,3.70700463753334872e-05
64.000000,9.89523490654808519e-02,4.09521867989639350e-05
64.500000,9.89400928977302585e-02,4.71891632999222821e-05
65.000000,9.89537102768052179e-02,3.54090083412127973e-05
65.500000,9.89679113188177556e-02,3.20930419043148561e-05
66.000000,9.89665206662104224e-02,4.72028714340838625e-05
66.500000,9.89786973145753562e-02,4.61278375300297523e-05
67.000000,9.89980484559337959e-02,4.14839767222764720e-05
67.500000,9.90235029774409609e-02,2.82133984662546368e-05
68.000000,9.90242738106036496e-02,3.79916283878065002e-05
68.500000,9.90314370291996426e-02,4.53758748540371602e-05
69.000000,9.90399578391157470e-02,4.66074660950842096e-05
69.500000,9.90582559665376394e-02,4.17538342840031469e-05
70.000000,9.90735671993278055e-02,4.27541055694506060e-05
70.500000,9.90833495728902086e-02,5.18021576025904661e-05
71.000000,9.91123904300887093e-02,3.71593663164108200e-05
71.500000,9.91339455359721011e-02,2.31788142094679485e-05
72.000000,9.91447768286338044e-02,4.54332777945909772e-05
72.500000,9.91546749096670760e-02,3.81600734687797394e-05
73.000000,9.91809873248210017e-02,1.85531060056976756e-05
73.500000,9.91783767148207568e-02,3.44389566130159379e-05
74.000000,9.92036192457965982e-02,2.47490179498863924e-05
74.500000,9.92130099013822930e-02,3.34494054186518268e-05
75.000000,9.92359602539708285e-02,1.43325015358632000e-05
75.500000,9.92384360453386072e-02,3.40127560642709495e-05
76.000000,9.92677718109768598e-02,2.94002476669670466e-05
76.500000,9.92717419113496036e-02,9.57870036495346129e-06
77.000000,9.92813145981366885e-02,3.10211852685841248e-05
77.500000,9.92747416551298667e-02,3.93012643820684520e-05
78.000000,9.93121588689800106e-02,2.92262346620124924e-05
78.500000,9.93293429006869288e-02,1.77646440907372589e-05
79.000000,9.93334207173533906e-02,1.17895717957868886e-05
79.500000,9.93438673357579932e-02,1.48335599244679667e-05
80.000000,9.93527249101094079e-02,1.89778069945679224e-05
80.500000,9.93583391368344504e-02,2.54890575895686181e-05
81.000000,9.93679728902165382e-02,2.50727483683685396e-05
81.500000,9.93772120670998182e-02,2.50575816104690729e-05
82.000000,9.93917210101240844e-02,2.00102899636525658e-05
82.500000,9.94066042489106100e-02,1.61344078592211060e-05
83.000000,9.94195208683290865e-02,1.19854173982206922e-05
83.500000,9.94321785787855017e-02,1.36847124171161139e-05
84.000000,9.94372679593723829e-02,1.54774968064028888e-05
84.500000,9.94437119133287917e-02,1.76143660482657184e-05
85.000000,9.94470516922359160e-02,1.66813126242198244e-05
85.500000,9.94555733797677227e-02,1.48171452875756873e-05
86.000000,9.94673990315053658e-02,1.17074366190338744e-05
86.500000,9.94807679647300713e-02,1.13652337512981795e-05
87.000000,9.94885241609133886e-02,5.91875332100403818e-06
87.500000,9.94953177428523627e-02,5.02318142439518406e-06
88.000000,9.95019387072216543e-02,3.13437876242512991e-06
88.500000,9.95079796786919046e-02,4.94248260821663367e-07
89.000000,9.95141715881218969e-02,9.54775033776983864e-07
89.500000,9.95165811291452568e-02,4.06752536821445699e-10
90.000000,9.93438203627220184e-02,1.73824825652643797e-04
90.500000,9.95165811291452845e-02,4.06752545170192392e-10
91.000000,9.95141715881219108e-02,9.54775033780445688e-07
91.500000,9.95079691991543336e-02,4.76237558593257023e-07
92.000000,9.95019387072216405e-02,3.13437876242714076e-06
92.500000,9.94952946033850344e-02,4.98410094845754253e-06
93.000000,9.94885241609133886e-02,5.91875332102359448e-06
93.500000,9.94807818296234991e-02,1.13788277625881898e-05
94.000000,9.94676555714000682e-02,1.15544376473568344e-05
94.500000,9.94554939490846224e-02,1.45960034664638380e-05
95.000000,9.94471722958333443e-02,1.68501456524232647e-05
95.500000,9.94437119133287917e-02,1.76143660482780207e-05
96.000000,9.94371863986599075e-02,1.54274302725862878e-05
96.500000,9.94321785787855017e-02,1.36847124171065560e-05
97.000000,9.94195388992732410e-02,1.33682829666113611e-05
97.500000,9.94074863224869709e-02,1.63242009017282994e-05
98.000000,9.93914524150634471e-02,2.14402345474751256e-05
98.500000,9.93784937604023783e-02,2.37177500027943363e-05
99.000000,9.93677631269718753e-02,2.54447276099134744e-05
99.500000,9.93601275685994378e-02,2.32454447618907537e-05
100.000000,9.93533238189560353e-02,1.90146188628880506e-05
100.500000,9.93462856470892636e-02,1.48635623315469462e-05
101.000000,9.93352292799300207e-02,1.34455857721477379e-05
101.500000,9.93293429006869288e-02,1.77646440907357749e-05
102.000000,9.93120415323550526e-02,2.91058264897371905e-05
102.500000,9.92757788729823620e-02,3.86309062122963326e-05
103.000000,9.92814966217904354e-02,2.85053224141825092e-05
103.500000,9.92731157227215999e-02,1.47147015408059874e-05
104.000000,9.92677718109768598e-02,2.94002476669763131e-05
104.500000,9.92354595659737104e-02,3.22961224358276816e-05
105.000000,9.92366841350161843e-02,1.24226605225150479e-05
105.500000,9.92115330807330081e-02,3.25016386509496155e-05
106.000000,9.92121299409257501e-02,1.99332901285495355e-05
106.500000,9.91806326929946802e-02,3.69895416960827730e-05
107.000000,9.91830147669949674e-02,1.14635597937588382e-05
107.500000,9.91591520077594185e-02,3.17778139042053145e-05
108.000000,9.91447768286338182e-02,4.54332777945848243e-05
108.500000,9.91440030426541663e-02,1.77700594864460536e-05
109.000000,9.91175814544933836e-02,3.72439883629039936e-05
109.500000,9.90935805724545704e-02,3.93185154120365352e-05
110.000000,9.90796738388804304e-02,3.30386994951849307e-05
110.500000,9.90641308262833198e-02,3.31464272477380607e-05
111.000000,9.90475299752132249e-02,3.77191742799098489e-05
111.500000,9.90408837155797861e-02,3.62292508082405921e-05
112.000000,9.90340916574922736e-02,3.93353583756160367e-05
112.500000,9.90184582823268600e-02,2.95642244670305208e-05
113.000000,9.89937122947157633e-02,4.37216520077868490e-05
113.500000,9.89901675029071226e-02,3.16836047115385554e-05
114.000000,9.89680069647660560e-02,4.72394335256441414e-05
114.500000,9.89715064733046046e-02,4.82679945115193035e-05
115.000000,9.89418310477513246e-02,4.93372151332966061e-05
115.500000,9.89367850830105144e-02,4.82506653311527006e-05
116.000000,9.89455546478069659e-02,3.39761285777510341e-05
116.500000,9.89313817537521289e-02,3.83031784886046699e-05
117.000000,9.89359499037573697e-02,4.04046275847166588e-05
117.500000,9.89055446485140183e-02,5.17331367961893876e-05
118.000000,9.89086577270559542e-02,5.31071829275404976e-05
118.500000,9.89244892122861791e-02,5.38469307385368933e-05
119.000000,9.89023549314204109e-02,5.28316840872726580e-05
119.500000,9.89068702469697580e-02,5.66492991131512457e-05
120.000000,9.89128431372880146e-02,5.75155855362491399e-05
120.500000,9.89381503228648901e-02,4.85922049017116172e-05
121.000000,9.89416028140059356e-02,6.15135233655647183e-05
121.500000,9.89499866219108459e-02,6.30187142923127830e-05
122.000000,9.89578372970455755e-02,5.82705277038634585e-05
122.500000,9.89409068042331474e-02,6.94573522373784479e-05
123.000000,9.89477418523570518e-02,8.44403623560734893e-05
123.500000,9.89919025545439868e-02,7.83701911918338324e-05
124.000000,9.90109121417766247e-02,8.04259924031212181e-05
124.500000,9.89990580292736400e-02,8.56984931501202730e-05
125.000000,9.90536273018401553e-02,9.22560901772193759e-05
125.500000,9.90690080412661989e-02,6.11602666584708888e-05
126.000000,9.90778161329519541e-02,7.74273889878984809e-05
126.500000,9.91323987067534718e-02,9.30523357764086336e-05
127.000000,9.91770159982733879e-02,7.14107268985203616e-05
127.500000,9.92027832378405416e-02,8.38681144861974632e-05
128.000000,9.92427355733735417e-02,7.41988043280452991e-05
