theta_deg,response_magnitude,response_magnitude_std
0.000000,9.61895086530729221e-02,1.65207115665920288e-04
0.500000,9.63556073008776937e-02,3.86667332092700069e-10
1.000000,9.63580934553203428e-02,4.34561195350193990e-10
1.500000,9.63622342923283332e-02,4.12822996428010623e-10
2.000000,9.63680243627671601e-02,1.16937339145234766e-09
2.500000,9.63754619215970720e-02,5.88695494421627313e-11
3.000000,9.63845372583129190e-02,2.67019889849692649e-10
3.500000,9.63952433121791630e-02,1.11371645005308769e-09
4.000000,9.64075747144122891e-02,2.97951122985068447e-09
4.500000,9.64215239365127930e-02,1.33787254682976913e-09
5.000000,9.64370798612782104e-02,9.00084842855854414e-10
5.500000,9.64542323648741456e-02,1.45391465579410900e-10
6.000000,9.64729682516402010e-02,6.40715227149891592e-10
6.500000,9.64932751237396330e-02,1.40588468580794990e-10
7.000000,9.65151349907656109e-02,8.93580009682791536e-11
7.500000,9.65385318325541197e-02,1.11524250104002282e-11
8.000000,9.65634393225549004e-02,4.35043437003728772e-09
8.500000,9.65898503589961710e-02,1.04657365368795091e-10
9.000000,9.66177296420537846e-02,1.37254056353877390e-09
9.500000,9.66470573567296126e-02,1.41857881515615228e-10
10.000000,9.66778041358591633e-02,2.14556902296550546e-10
10.500000,9.67099419942692995e-02,2.45924932091523392e-10
11.000000,9.67434379658265453e-02,4.68848369415419019e-10
11.500000,9.67782575159322755e-02,4.10144703952061180e-11
12.000000,9.68143610144716754e-02,8.16067346351866566e-10
12.500000,9.68517078521890090e-02,1.07439409247061837e-09
13.000000,9.68902541104224441e-02,3.28528265897191967e-10
13.500000,9.69299496064465610e-02,4.10023613981006462e-10
14.000000,9.69707428898163026e-02,1.27182799549718503e-10
14.500000,9.70125043318236513e-02,9.42508922010072910e-09
15.000000,9.70553856867961973e-02,1.45606811568369915e-10
15.500000,9.70991038588207012e-02,1.66572974611844817e-10
16.000000,9.71436578352925240e-02,6.67296132206803117e-11
16.500000,9.71889643818473481e-02,9.36420365819073551e-11
17.000000,9.72349296545141073e-02,1.98513979181406098e-09
17.500000,9.72814758639653498e-02,5.87389911601152199e-10
18.000000,9.73284799822392577e-02,2.07188466308474485e-10
18.500000,9.73758317879027668e-02,1.76076306637956069e-10
19.000000,9.74234049638410260e-02,1.87643772906747003e-10
19.500000,9.74710614146314658e-02,1.03358741638677521e-10
20.000000,9.75186472692100847e-02,1.64687881930393281e-09
20.500000,9.75660023798312070e-02,3.82756487201148068e-10
21.000000,9.76129404891861174e-02,4.24970224934971714e-10
21.500000,9.76592656714057178e-02,1.18461471288128721e-10
22.000000,9.77047613356047534e-02,2.79597584261257329e-11
22.500000,9.77491926135253542e-02,2.23166290216341988e-10
23.000000,9.77943233177727272e-02,3.49707731015301058e-06
23.500000,9.78387715623873361e-02,6.10527038085421191e-06
24.000000,9.78841318360934298e-02,7.29064097285864417e-06
24.500000,9.79320399847960210e-02,1.96050542640879049e-06
25.000000,9.79794595214714820e-02,5.28588335702621498e-06
25.500000,9.80098735204004146e-02,2.53147190072376242e-05
26.000000,9.80700139436710416e-02,9.85518892798621768e-06
26.500000,9.81121939538426024e-02,1.23538292901491874e-05
27.000000,9.81527208839327037e-02,1.98442883600566665e-05
27.500000,9.81946894398910697e-02,1.61809475608040156e-05
28.000000,9.82311954392230680e-02,2.22673198949306425e-05
28.500000,9.82657947026114725e-02,2.64746406214286576e-05
29.000000,9.82868365048265857e-02,2.70447801092650387e-05
29.500000,9.83284786965826219e-02,3.62722478995485732e-05
