theta_deg,response_magnitude,response_magnitude_std
0.000000,9.89789890310750764e-02,1.69052825644795690e-04
0.500000,9.91464480458729980e-02,3.95466458220671977e-10
1.000000,9.91428157024302203e-02,1.25090230781612489e-06
1.500000,9.91346494210972456e-02,2.04418608266102575e-06
2.000000,9.91246399517039939e-02,4.18614354257449863e-06
2.500000,9.91150553333672163e-02,7.63114329620781447e-06
3.000000,9.91060709355664621e-02,8.90773682498011879e-06
3.500000,9.90936558214124547e-02,1.40520940124808974e-05
4.000000,9.90796204826378535e-02,1.99245243952113712e-05
4.500000,9.90584686707886852e-02,2.23545235654397988e-05
5.000000,9.90394142738511146e-02,2.53856261412183197e-05
5.500000,9.90273988968002200e-02,2.60654461853691070e-05
6.000000,9.90176639899016386e-02,2.53143881691280240e-05
6.500000,9.90069917095977581e-02,2.13205754558727684e-05
7.000000,9.89927878941864320e-02,1.86079442488489072e-05
7.500000,9.89783988511530738e-02,1.87160240322102886e-05
8.000000,9.89600801221310611e-02,2.11347743607362163e-05
8.500000,9.89439547466353236e-02,1.95468046761904759e-05
9.000000,9.89280730618319476e-02,1.87568150177059303e-05
9.500000,9.89119217784662774e-02,1.83440448118898073e-05
10.000000,9.88943600968879011e-02,2.12642122009782365e-05
10.500000,9.88735162493447617e-02,2.55993306852595200e-05
11.000000,9.88406649139119270e-02,3.14134020925407130e-05
11.500000,9.88157610166216366e-02,3.54381611654995066e-05
12.000000,9.87932619477976254e-02,5.25743604907197762e-05
12.500000,9.87916066142737193e-02,2.14656375751566905e-05
13.000000,9.87942679659949141e-02,1.94049202641896330e-05
13.500000,9.87493809989963833e-02,3.15119322397647034e-05
14.000000,9.87289433966005991e-02,4.70737780926193898e-05
14.500000,9.87401540353261831e-02,2.24819282991976739e-05
15.000000,9.86909013651154216e-02,3.97670879979712829e-05
15.500000,9.87027710521907464e-02,1.07791449563081191e-05
16.000000,9.86739967076828289e-02,2.89346073493509175e-05
16.500000,9.86720899527786799e-02,9.49809913170341860e-06
17.000000,9.86257196783076467e-02,4.99403308279850692e-05
17.500000,9.86432787231098784e-02,3.47123583588786932e-05
18.000000,9.86273945005876340e-02,1.11712909063597636e-05
18.500000,9.85867591669098015e-02,4.68026573218735168e-05
19.000000,9.85879607030288596e-02,3.60318987775127224e-05
19.500000,9.85818801560335023e-02,4.21970610983800744e-05
20.000000,9.85780526863581225e-02,3.77725607156236006e-05
20.500000,9.85698005821852852e-02,3.50125145332438818e-05
21.000000,9.85535497708878716e-02,4.22158656341228212e-05
21.500000,9.85353758132255786e-02,4.98676925089167224e-05
22.000000,9.85275410527005346e-02,3.41039520195313053e-05
22.500000,9.85434984227598065e-02,1.72066996973374410e-05
23.000000,9.85294876209387160e-02,3.88541938663910982e-05
23.500000,9.85037751768303299e-02,4.66661019109079184e-05
24.000000,9.85414424777776854e-02,1.42295280305185020e-05
24.500000,9.85145965840277110e-02,3.85716841059885465e-05
25.000000,9.85111961618657384e-02,6.00896506730617022e-05
25.500000,9.85449504828461581e-02,1.34657641757229876e-05
26.000000,9.85490247136088238e-02,1.35722297965526783e-05
26.500000,9.85407862136714746e-02,3.30044197772916872e-05
27.000000,9.85611633579356328e-02,1.72862216594172345e-05
27.500000,9.85715578878780113e-02,1.63433269680143287e-05
28.000000,9.85665292799826898e-02,3.95011580835733856e-05
28.500000,9.85892620183577845e-02,2.59946537858015167e-05
29.000000,9.86134336531611921e-02,1.50890099952887466e-05
29.500000,9.86004003558325348e-02,4.48544659184039771e-05
30.000000,9.86325436816726658e-02,3.62450200830682814e-05
30.500000,9.86589803327563714e-02,2.68621581822257387e-05
31.000000,9.86861148658668419e-02,2.19029820464152482e-05
31.500000,9.87087073620281918e-02,2.42380448096195776e-05
32.000000,9.87334272182645301e-02,2.26388471253101756e-05
32.500000,9.87577190362176754e-02,3.38838310951971729e-05
33.000000,9.88088128595748100e-02,9.09808300216672588e-06
33.500000,9.88374837626233432e-02,1.14949026914305820e-05
34.000000,9.88583770596579287e-02,2.04264716437432601e-05
34.500000,9.89103017881887148e-02,1.65093694277898667e-05
35.000000,9.89357537159496203e-02,2.22187504169264435e-05
