theta_deg,response_magnitude,response_magnitude_std
0.000000,1.00969107083045115e-01,1.72645121450341616e-04
0.500000,1.01136842094852034e-01,4.03946830555197246e-10
1.000000,1.01123588551151736e-01,2.04220684817554585e-06
1.500000,1.01100285621990221e-01,5.38677052911275783e-06
2.000000,1.01067232525438228e-01,8.23525633100598327e-06
2.500000,1.01029291093977625e-01,1.97496007994762941e-05
3.000000,1.00990785990889176e-01,2.08759687563801817e-05
3.500000,1.00932239153088257e-01,3.34909603513760181e-05
4.000000,1.00873733455429840e-01,4.41831890288914509e-05
4.500000,1.00806841638154066e-01,6.16707298858518692e-05
5.000000,1.00743872668679568e-01,6.74617610327902091e-05
5.500000,1.00673417048306679e-01,7.64551188949682241e-05
6.000000,1.00599883970771187e-01,7.17694683537498362e-05
6.500000,1.00521669786432857e-01,7.04058252202712545e-05
7.000000,1.00433760478113476e-01,7.62910261534672281e-05
7.500000,1.00340663180136458e-01,8.30372342855958316e-05
8.000000,1.00240273566338328e-01,9.30907925527505381e-05
8.500000,1.00135434590370512e-01,9.53277356967710993e-05
9.000000,1.00027751972919882e-01,9.63715420135852213e-05
9.500000,9.99173024427848222e-02,8.52123496468081530e-05
10.000000,9.97991518523751453e-02,7.59650038925911735e-05
10.500000,9.96760950504050613e-02,7.04828205419216747e-05
11.000000,9.95443635885008976e-02,8.09676057268319188e-05
11.500000,9.93958856259740536e-02,1.06801099193035821e-04
12.000000,9.92594706183234643e-02,7.48130968031018878e-05
12.500000,9.91099146604507014e-02,9.26722285787208211e-05
13.000000,9.89605812808669744e-02,7.09042507055166198e-05
13.500000,9.87894710800762132e-02,9.50842024026872344e-05
14.000000,9.86400524600598572e-02,7.05474154543654500e-05
14.500000,9.84623414299581889e-02,7.29964941297185237e-05
15.000000,9.82669696365715828e-02,1.01381038056209385e-04
15.500000,9.80866374755197112e-02,1.03844010147754955e-04
16.000000,9.78996905381528254e-02,1.05203788183762169e-04
16.500000,9.77113235520958995e-02,8.88455651950761189e-05
17.000000,9.75164667114428174e-02,8.60350015236505079e-05
17.500000,9.73246266529021464e-02,6.85508810393766806e-05
18.000000,9.71037058391865382e-02,9.42636931072391663e-05
18.500000,9.69095806990368236e-02,7.62099743790034415e-05
19.000000,9.66776213569552068e-02,9.65753515159375493e-05
19.500000,9.64583527460775025e-02,8.59478563458767871e-05
20.000000,9.62365231760667073e-02,7.60693322367991001e-05
20.500000,9.60063660156287857e-02,7.54449554703038873e-05
21.000000,9.57685809686677769e-02,8.37416908223851195e-05
