theta_deg,response_magnitude,response_magnitude_std
0.000000,7.72225122709223194e-02,6.49995599272226488e-05
0.500000,7.72928889898626958e-02,2.15568799583259894e-08
1.000000,7.73092080952419713e-02,6.46299944863724809e-08
1.500000,7.73365034628215320e-02,8.57391579839060184e-08
2.000000,7.73747253051195183e-02,7.69582613860349221e-08
2.500000,7.74235618663199066e-02,8.95164346315127510e-08
3.000000,7.74825789056906578e-02,3.07469576885961348e-07
3.500000,7.75506375450067953e-02,6.08758848071892143e-07
4.000000,7.76264992565654649e-02,8.62064491293790748e-07
4.500000,7.77091143787989602e-02,1.34009605334473952e-06
5.000000,7.77975778209403640e-02,2.68523899748395825e-06
5.500000,7.78899403563440562e-02,3.23734456399477951e-06
6.000000,7.79849669371243531e-02,2.00590801445230309e-06
6.500000,7.80837790040266877e-02,1.54304535930347326e-06
7.000000,7.81835703317415032e-02,1.54223826461337841e-06
7.500000,7.82859338121565246e-02,2.08191930827615146e-06
8.000000,7.83887773352408418e-02,1.56332076542453309e-06
8.500000,7.84918097478488341e-02,2.01067071789846696e-06
9.000000,7.85950697955488664e-02,1.82691605028493915e-06
9.500000,7.86980537887103510e-02,1.59320424430038477e-06
10.000000,7.88006304457163631e-02,1.17157778479251390e-06
10.500000,7.89027720314624537e-02,1.69947639032445756e-06
11.000000,7.90033513687122824e-02,1.03930220203281182e-06
11.500000,7.91023282008748441e-02,2.97309735758469351e-07
12.000000,7.92005742515258793e-02,4.19827451176817709e-10
12.500000,7.92986681336308452e-02,1.97229360586030229e-06
13.000000,7.93928860939357717e-02,2.03045284637798714e-11
13.500000,7.94880862825556034e-02,2.69615843112366490e-06
14.000000,7.95784834441230771e-02,1.93779190046471965e-07
14.500000,7.96721270499970713e-02,3.54138661315740384e-06
15.000000,7.97594159073951869e-02,4.50875419337994774e-06
15.500000,7.98457162503123374e-02,3.84874813807444744e-06
16.000000,7.99304736142702893e-02,4.34569575915398310e-06
16.500000,8.00142742300861270e-02,4.78125307191852760e-06
17.000000,8.00983644605645639e-02,6.80396204381665755e-06
17.500000,8.01781022275186439e-02,1.05844274530092430e-05
18.000000,8.02515358750994223e-02,4.68119892809537728e-06
18.500000,8.03317084754672783e-02,1.37709992465996646e-05
19.000000,8.04046532289064142e-02,9.64348384112645123e-06
19.500000,8.04775259765316275e-02,1.39908511568688326e-05
20.000000,8.05452936872161074e-02,1.82057702043288116e-05
20.500000,8.06125616521241595e-02,1.94985651958987045e-05
21.000000,8.06799832732170846e-02,1.87700310465350987e-05
21.500000,8.07460275692861024e-02,1.92750311423289408e-05
22.000000,8.08082970293244746e-02,1.83308668738736947e-05
22.500000,8.08681434935623195e-02,1.84490560439780003e-05
23.000000,8.09220629183803608e-02,1.88903168658686203e-05
23.500000,8.09819094031856562e-02,1.47664982755311572e-05
24.000000,8.10385238835945043e-02,1.91747509691378674e-05
24.500000,8.10806475968352536e-02,1.68619741344534202e-05
25.000000,8.11189020428657453e-02,2.35319094428602959e-05
25.500000,8.11740716168586340e-02,2.23880366893276588e-05
26.000000,8.11978627273732267e-02,2.62733261483260290e-05
26.500000,8.12420278741770308e-02,2.05865001857942411e-05
27.000000,8.12713337614127673e-02,2.51419815499590707e-05
27.500000,8.13127044818381800e-02,1.89446109864629786e-05
28.000000,8.13387566649491633e-02,1.80417531510218769e-05
28.500000,8.13654122717039491e-02,1.46183385942941444e-05
29.000000,8.13873845430082704e-02,1.38366211943292106e-05
29.500000,8.14106648634924379e-02,1.45045385125434671e-05
30.000000,8.14461281103178725e-02,2.69792154698044408e-05
30.500000,8.15430947134827555e-02,1.79537036710822283e-06
31.000000,8.16257506259401022e-02,2.38275877895145717e-05
31.500000,8.17211183516785983e-02,3.53600498316685024e-05
32.000000,8.18137817227629349e-02,5.34275003295108018e-05
32.500000,8.19098325318192988e-02,6.71065938424179794e-05
33.000000,8.20071535622350772e-02,4.36880338699882341e-05
33.500000,8.20763814271088660e-02,7.93514596886440629e-05
34.000000,8.22065137361460557e-02,6.75892328289921627e-05
34.500000,8.22922474828169936e-02,4.41963953474771288e-05
35.000000,8.23834705765627701e-02,7.19798441347050305e-05
35.500000,8.24565544019951885e-02,6.01939207453040272e-05
36.000000,8.25692733937909012e-02,5.66681609961041980e-05
36.500000,8.26489094319479700e-02,4.68182388197424358e-05
37.000000,8.27369716352362589e-02,2.73296360461931639e-05
37.500000,8.28310760190839462e-02,1.19449537725221319e-05
38.000000,8.29231479863188903e-02,2.73215960923227002e-05
38.500000,8.30237763163019227e-02,4.63268238429702600e-05
39.000000,8.31118612671783996e-02,6.23128711429713400e-05
39.500000,8.31736139285359083e-02,8.70248652482250365e-05
40.000000,8.33347427695580456e-02,5.47750456410084320e-05
40.500000,8.33754029878897157e-02,8.85699727571237922e-05
41.000000,8.35231877028985159e-02,7.10575371698359367e-05
41.500000,8.36215683137700727e-02,6.60226968812802745e-05
42.000000,8.37053826372162746e-02,6.08282862793997232e-05
42.500000,8.37937024182293377e-02,6.48604416806855956e-05
43.000000,8.38955364317213459e-02,5.41380679635547829e-05
43.500000,8.39613106177240220e-02,6.91212174268136998e-05
44.000000,8.40277737480925463e-02,5.03040928931776791e-05
44.500000,8.41152844481280609e-02,7.79772000174756207e-05
45.000000,8.41908860173002510e-02,6.41354908506725890e-05
45.500000,8.25140378956877307e-02,2.72175085874138965e-05
46.000000,8.23258878821865048e-02,4.90047557833570412e-05
46.500000,8.21060014190418269e-02,5.47748499975346593e-05
47.000000,8.19428860813049692e-02,2.74091001558967984e-05
47.500000,8.17533466194596686e-02,3.82937042308608626e-05
48.000000,8.15648685199425183e-02,2.69948695514773580e-05
48.500000,8.13520595361525434e-02,5.44260324935055774e-05
49.000000,8.11984737542793822e-02,4.20794720894931637e-05
49.500000,8.10254878812959600e-02,3.20371518252199970e-05
50.000000,8.08521273447929956e-02,3.78764488950435405e-05
50.500000,8.06685262679906340e-02,4.49620259591235912e-05
51.000000,8.05335685583810773e-02,3.27498697760343456e-05
51.500000,8.03848800959185150e-02,3.72723765151623080e-05
52.000000,8.02426112429939498e-02,3.41186028735837111e-05
52.500000,8.01003239666739641e-02,4.36984015159282808e-05
53.000000,7.99681666817494002e-02,3.05816260854131997e-05
53.500000,7.98313458883844335e-02,4.47931649282263457e-05
54.000000,7.97445546737556021e-02,2.51720789460743640e-05
54.500000,7.96335020603626265e-02,2.72362658018016823e-05
55.000000,7.95467347850122714e-02,1.63984839130699761e-05
55.500000,7.94683371797886839e-02,2.80634208502119274e-05
56.000000,7.93951867784761234e-02,1.72290214108851673e-05
56.500000,7.93160790868573662e-02,3.10691393925478280e-05
57.000000,7.92762213047766146e-02,2.83621763728006218e-05
