theta_deg,response_magnitude,response_magnitude_std
0.000000,8.43057407499770428e-02,6.29861495775997871e-05
0.500000,8.43805761600678050e-02,4.43412662106109981e-07
1.000000,8.44166029306759880e-02,1.64177002672312220e-06
1.500000,8.44766003758830597e-02,3.07183957301629675e-06
2.000000,8.45601804107022070e-02,4.05026059704243646e-06
2.500000,8.46657087454450313e-02,4.23829602284191847e-06
3.000000,8.47922022605135939e-02,2.91019839477165929e-06
3.500000,8.49420517246703977e-02,6.50551087889186479e-07
4.000000,8.51169947769053470e-02,2.70050344581287965e-06
4.500000,8.53098442649862648e-02,2.18972775471868465e-06
5.000000,8.55249159869185399e-02,2.35722410400855995e-06
5.500000,8.57608551131310293e-02,2.41322455717184739e-06
6.000000,8.60156738155555128e-02,3.27863474763809045e-06
6.500000,8.62856822683445712e-02,1.97049681520233585e-06
7.000000,8.65766076080450031e-02,4.64083917787940297e-06
7.500000,8.68823318670769590e-02,2.75727250435492972e-06
8.000000,8.72058767324087325e-02,5.40656914234083009e-06
8.500000,8.75415635022791239e-02,4.84456688891815694e-06
9.000000,8.78856525038850117e-02,1.90623155392845892e-06
9.500000,8.82455612260737154e-02,1.71515510160177115e-06
10.000000,8.86187391329038010e-02,4.08062592034136397e-06
10.500000,8.90015619455153673e-02,5.35223848455760055e-06
11.000000,8.93929427855594677e-02,5.26065634539140272e-06
11.500000,8.97927604922001965e-02,5.16863392854215634e-06
12.000000,9.01995272208925003e-02,4.03908409744414704e-06
12.500000,9.06125446646656452e-02,2.16609778350515436e-06
13.000000,9.10312322561886017e-02,2.99452892202981462e-10
13.500000,9.14590464115038609e-02,2.78911977185067894e-06
14.000000,9.18876423023675254e-02,2.85468910403828148e-06
14.500000,9.23180404918502451e-02,9.18671333466930775e-09
15.000000,9.27557723919655852e-02,2.92775402739414216e-06
15.500000,9.31934873883481507e-02,2.39784525928666655e-06
16.000000,9.36304163048441718e-02,6.88528186672897133e-11
16.500000,9.40711424646589744e-02,7.78501869796631992e-07
17.000000,9.45118662698591350e-02,1.42629589694000323e-06
17.500000,9.49513684520237600e-02,5.62302549010824798e-07
18.000000,9.53906772516690399e-02,1.08770104008071434e-06
18.500000,9.58288610715446743e-02,1.65268792858854974e-06
19.000000,9.62662869904188229e-02,2.52210637017827459e-06
19.500000,9.66976086281080005e-02,1.14045499300609171e-07
20.000000,9.71297669871120095e-02,1.38072911063663727e-06
20.500000,9.75572750911377490e-02,2.13865994679449586e-06
21.000000,9.79814700054031651e-02,2.41562297992107150e-06
21.500000,9.84014639257365098e-02,2.32058465213491210e-06
22.000000,9.88166234915742875e-02,1.39054688136028396e-06
22.500000,9.92276765576124431e-02,1.37232857636785506e-06
23.000000,9.96330040313372495e-02,4.41273455116252274e-07
23.500000,1.00034389093267853e-01,1.93842284179539072e-06
24.000000,1.00429488306121084e-01,1.70291522547240266e-06
24.500000,1.00816980342684701e-01,2.68106917144050159e-10
25.000000,1.01199740145288708e-01,2.84048873149536832e-07
25.500000,1.01575801763925611e-01,5.66555572335623878e-07
26.000000,1.01945270721595288e-01,1.12678550632965220e-06
26.500000,1.02307362520582104e-01,1.12252347280349277e-06
27.000000,1.02662161221936804e-01,1.08378774501884777e-06
27.500000,1.03009353420591393e-01,8.05314955555126313e-07
28.000000,1.03349349841949975e-01,9.10351806848983117e-07
28.500000,1.03680808789042331e-01,9.07241712878779722e-07
29.000000,1.04004564765074400e-01,6.31714885026084402e-07
29.500000,1.04319691032898232e-01,3.62711219299882616e-07
30.000000,1.04626874585719370e-01,1.00356019644573525e-06
30.500000,1.04925312355621983e-01,1.28613867200435560e-06
31.000000,1.05214754222070828e-01,7.17914999390221967e-07
31.500000,1.05495250845676222e-01,1.12755105103544622e-06
32.000000,1.05766811325743587e-01,1.32504150632947466e-06
