theta_deg,response_magnitude,response_magnitude_std
0.000000,9.93438203627219213e-02,1.73824825652657675e-04
0.500000,9.95165811291451874e-02,4.06752545065647619e-10
1.000000,9.95141715881218414e-02,9.54775033783911323e-07
1.500000,9.95082545261256751e-02,5.60571668703984976e-07
2.000000,9.95019387072215711e-02,3.13437876242513711e-06
2.500000,9.94953177428523072e-02,5.02318142439379662e-06
3.000000,9.94885241609133192e-02,5.91875332100819627e-06
3.500000,9.94807818296234159e-02,1.13788277625898821e-05
4.000000,9.94730945618068074e-02,1.24456028671719911e-05
4.500000,9.94601584652066162e-02,1.37765141833753699e-05
5.000000,9.94471722958332749e-02,1.68501456524380472e-05
5.500000,9.94437119133287362e-02,1.76143660482837128e-05
6.000000,9.94372679593722997e-02,1.54774968064086080e-05
6.500000,9.94321785787854184e-02,1.36847124171028815e-05
7.000000,9.94208893759743612e-02,1.32776438268533146e-05
7.500000,9.94126720193362068e-02,1.91066832260282328e-05
8.000000,9.94010313749600638e-02,2.27352282038199240e-05
8.500000,9.93899843936982830e-02,2.56804609745707453e-05
9.000000,9.93817570354912083e-02,2.43906665763066420e-05
9.500000,9.93731761280773618e-02,2.33041067425052046e-05
10.000000,9.93649871104365090e-02,1.89780932123531026e-05
10.500000,9.93534511069841808e-02,1.72211351000450935e-05
11.000000,9.93353112225406759e-02,1.34180366766434161e-05
11.500000,9.93293429006868178e-02,1.77646440907472370e-05
12.000000,9.93121588689799273e-02,2.92262346620090738e-05
12.500000,9.92789084649593062e-02,3.97858807542092086e-05
13.000000,9.92981996894476970e-02,2.56989247577050063e-05
13.500000,9.92780812787191352e-02,1.33499204306169734e-05
14.000000,9.92677718109767765e-02,2.94002476669647833e-05
14.500000,9.92549782575078837e-02,2.90593985567210675e-05
15.000000,9.92403887547573804e-02,1.48123060431867340e-05
15.500000,9.92132256215189912e-02,3.34654011998566947e-05
16.000000,9.92230958113881623e-02,1.42867897072557804e-05
16.500000,9.91828975529927964e-02,3.81164512011826097e-05
17.000000,9.91869752887116068e-02,1.65253312346478968e-05
17.500000,9.91781323038746221e-02,3.18991942054737382e-05
18.000000,9.91447768286337072e-02,4.54332777945799725e-05
18.500000,9.91440030426540553e-02,1.77700594864505835e-05
19.000000,9.91403389958343817e-02,1.81459695749728702e-05
19.500000,9.91166180691432641e-02,3.88148546620583335e-05
20.000000,9.90969726990744704e-02,3.95042446143270985e-05
20.500000,9.90801087791069318e-02,4.08248560733541331e-05
21.000000,9.90658477249734271e-02,4.46047153758898145e-05
21.500000,9.90643764027297619e-02,2.86060081315366633e-05
22.000000,9.90520511682301402e-02,1.61176011414642421e-05
22.500000,9.90235029774408776e-02,2.82133984662561784e-05
23.000000,9.90123507369663619e-02,4.54306410072792492e-05
23.500000,9.90073945187516513e-02,2.58354459122994919e-05
24.000000,9.89813313443196202e-02,5.32099783652425587e-05
24.500000,9.89886429275739915e-02,2.66783432730104513e-05
25.000000,9.89772951910846827e-02,3.87074060718083543e-05
25.500000,9.89542178626417746e-02,5.38897892549219281e-05
26.000000,9.89561088792212523e-02,3.71309417835644358e-05
26.500000,9.89335597436420272e-02,3.80317944901780488e-05
27.000000,9.89402911596824197e-02,4.25662933185369993e-05
27.500000,9.89309951975571172e-02,4.99178394093468305e-05
28.000000,9.89538948739421276e-02,3.29887713258161891e-05
28.500000,9.89487679443288443e-02,4.28875890522152536e-05
29.000000,9.89252862421242107e-02,5.54133243035466089e-05
29.500000,9.89384321660890381e-02,6.00214625814943022e-05
30.000000,9.89636942547939547e-02,3.00764580360134159e-05
30.500000,9.89511864078949088e-02,5.63060079839650373e-05
31.000000,9.89458717193899551e-02,6.47504366572580422e-05
31.500000,9.89565160914103875e-02,6.78281196170952834e-05
32.000000,9.89909777380180295e-02,4.29625701563973074e-05
32.500000,9.90089759305613631e-02,3.42868851073622707e-05
33.000000,9.89522744281688404e-02,8.50703586563213409e-05
33.500000,9.90453267042884500e-02,2.35912818223879480e-05
34.000000,9.90591485364409746e-02,3.43560172597566946e-05
34.500000,9.90147368119836946e-02,9.55939666277729600e-05
35.000000,9.90910096107911059e-02,5.06767120744938050e-05
35.500000,9.91093915409768655e-02,5.73292275968620378e-05
36.000000,9.91315984646833070e-02,6.12152144645205810e-05
36.500000,9.91794505512280933e-02,3.55287988461479458e-05
37.000000,9.91950414382047202e-02,5.48595012746203617e-05
37.500000,9.92434352768487155e-02,3.10880666661211347e-05
38.000000,9.92706667916017638e-02,4.18653269455100191e-05
38.500000,9.93021800223097828e-02,4.74815900881902131e-05
39.000000,9.93450993246774577e-02,4.04484159133046474e-05
39.500000,9.93507229586361451e-02,7.58159284939812362e-05
40.000000,9.94258511287053892e-02,4.21423389570697865e-05
40.500000,9.94314750681358356e-02,8.00475494510164922e-05
41.000000,9.95198199114009641e-02,3.74673745398251514e-05
41.500000,9.95667439986555880e-02,4.04895871970006906e-05
42.000000,9.96166875128912527e-02,4.31012516932240895e-05
42.500000,9.96631167445208577e-02,5.17247641528906986e-05
43.000000,9.97437275178888749e-02,1.03931351666798612e-05
43.500000,9.97351591200861115e-02,8.22986968501426841e-05
44.000000,9.98637594510971144e-02,1.34422971360330985e-05
44.500000,9.98666332405066387e-02,7.17480377367363346e-05
45.000000,1.02770749394248517e-01,1.04309803149544965e-04
45.500000,9.98666332405066526e-02,7.17480377367248556e-05
46.000000,9.98637594510971283e-02,1.34422971360553399e-05
46.500000,9.97351591200860976e-02,8.22986968501465059e-05
47.000000,9.97437275178889027e-02,1.03931351666821228e-05
47.500000,9.96631167445209132e-02,5.17247641528607407e-05
48.000000,9.96166875128912804e-02,4.31012516932210470e-05
48.500000,9.95667439986556158e-02,4.04895871969660436e-05
