theta_deg,response_magnitude,response_magnitude_std
0.000000,9.61537815202818946e-02,1.66396181196548702e-04
0.500000,9.63214080931276001e-02,3.89465458891841633e-10
1.000000,9.63249034013335392e-02,4.37706421184766043e-10
1.500000,9.63307256251867833e-02,4.15811882334160311e-10
2.000000,9.63388684792439998e-02,1.17784470520483216e-09
2.500000,9.63493290532932700e-02,5.92963930503201335e-11
3.000000,9.63620960378225311e-02,2.68958301408267544e-10
3.500000,9.63771604068835164e-02,1.12181338050209971e-09
4.000000,9.63945144584906349e-02,3.00121005110770468e-09
4.500000,9.64141479511480270e-02,1.34763403333424427e-09
5.000000,9.64360466826756496e-02,9.06665009718389498e-10
5.500000,9.64601971150497173e-02,1.46456540383316294e-10
6.000000,9.64865822716148291e-02,6.45419194064822337e-10
6.500000,9.65151856086659821e-02,1.41623141147104632e-10
7.000000,9.65459845404892797e-02,9.00174417001634808e-11
7.500000,9.65789580216660642e-02,1.12349768275988392e-11
8.000000,9.66140741571061556e-02,4.38275043951403334e-09
8.500000,9.66513199479826224e-02,1.05437707679792680e-10
9.000000,9.66906535253909405e-02,1.38281532518445130e-09
9.500000,9.67320481655120357e-02,1.42924303608462625e-10
10.000000,9.67754670589132948e-02,2.16177026299603731e-10
10.500000,9.68208742964588309e-02,2.47790806022564548e-10
11.000000,9.68682284096944735e-02,4.72424117461651698e-10
11.500000,9.69174857545546803e-02,4.13290633212456492e-11
12.000000,9.69685969120354097e-02,8.22365707375394217e-10
12.500000,9.70215108075572902e-02,1.08274208474892650e-09
13.000000,9.70761723468945015e-02,3.31099378239959424e-10
13.500000,9.71325194200428621e-02,4.13257390524573577e-10
14.000000,9.71904879000823341e-02,1.28194234201924094e-10
14.500000,9.72499340535914053e-02,9.50072172359629226e-09
15.000000,9.73109969019696902e-02,1.46786825394598847e-10
15.500000,9.73733761478044746e-02,1.67937619494443973e-10
16.000000,9.74370547748150267e-02,6.72828211473521376e-11
16.500000,9.75019317407478381e-02,9.44285372340933987e-11
17.000000,9.75678940853963311e-02,2.00205158721975784e-09
17.500000,9.76348437295809085e-02,5.92472547476031871e-10
18.000000,9.77026355338584396e-02,2.09012225086095875e-10
18.500000,9.77711356755400079e-02,1.77655816893719718e-10
19.000000,9.78401923109922106e-02,1.89362664576850032e-10
19.500000,9.79096397268308383e-02,1.04327764075236683e-10
20.000000,9.79792940963568754e-02,1.66271950156357616e-09
20.500000,9.80489628492875187e-02,3.86543603839100837e-10
21.000000,9.81184244003476952e-02,4.29307956655522771e-10
21.500000,9.81874444548258563e-02,1.19712747402325330e-10
22.000000,9.82557645607212982e-02,2.82664209511508538e-11
22.500000,9.83231041346832868e-02,2.25716854211524122e-10
23.000000,9.83891579577524655e-02,2.26032947644998369e-10
23.500000,9.84535781382375325e-02,3.44958551414808099e-08
24.000000,9.85160672516613711e-02,1.04714134340742840e-09
24.500000,9.85761901910620908e-02,2.15179194675223437e-10
25.000000,9.86335622935650969e-02,4.39560339646828770e-10
25.500000,9.86877630298245156e-02,7.31868070990457030e-10
26.000000,9.87383556652537547e-02,6.08540321129571818e-10
26.500000,9.87848952956928567e-02,6.61263082785061618e-10
27.000000,9.88269364447727089e-02,1.26654684842159418e-09
27.500000,9.88640550341287755e-02,1.20722454152924298e-10
28.000000,9.88997767673540085e-02,5.58857054659462543e-06
28.500000,9.89409459088101684e-02,1.37546973609484985e-05
29.000000,9.89823517713523393e-02,2.02382848166923984e-05
29.500000,9.90152300026767296e-02,2.59604150163088408e-05
30.000000,9.90687200405341306e-02,2.21833696271963034e-05
30.500000,9.91145952654668150e-02,1.38142999064173885e-05
31.000000,9.91419329542365807e-02,2.30519200507117474e-05
31.500000,9.91715281547322358e-02,3.07265051380852474e-05
32.000000,9.92013621126933975e-02,3.34937636918467601e-05
32.500000,9.92213209696789777e-02,4.11201495106551374e-05
33.000000,9.92600779260310179e-02,2.08958545175529552e-05
33.500000,9.92720214968731002e-02,2.20988157815621593e-05
34.000000,9.93042382315153793e-02,1.57450139195200192e-05
34.500000,9.93178931736062309e-02,1.87975536416894934e-05
35.000000,9.93196009948239811e-02,4.17006037595668208e-05
35.500000,9.93681103764958717e-02,7.36577184875332760e-06
36.000000,9.93847870136733147e-02,1.05822233063638207e-05
36.500000,9.93787959579204988e-02,5.06879617776140570e-05
37.000000,9.94208851564780949e-02,1.82940062134253072e-05
37.500000,9.94334909580865678e-02,3.99231748934082719e-05
38.000000,9.94576668567042910e-02,3.51154794533990798e-05
38.500000,9.94867578440149364e-02,1.29337200175788196e-05
39.000000,9.94379470026333923e-02,9.11896353789749218e-05
39.500000,9.95170801792798487e-02,3.07336938790119793e-05
40.000000,9.95413034207731362e-02,4.50885254898380544e-06
40.500000,9.95389014975837094e-02,4.61651347950087622e-05
41.000000,9.95340733652484017e-02,6.61484701460717770e-05
41.500000,9.95806007695440587e-02,1.74983160778171492e-05
42.000000,9.95674210331069509e-02,5.65912124325175953e-05
42.500000,9.95824379293337447e-02,5.08468570942824090e-05
43.000000,9.96147593521335417e-02,4.83620597363664005e-06
43.500000,9.95654610261526574e-02,6.78257167210880051e-05
44.000000,9.96254224311488024e-02,1.18677736778314613e-05
44.500000,9.96103232498895680e-02,3.25995835091065768e-05
45.000000,1.02049940190322458e-01,2.64965574632445775e-04
45.500000,1.00097952096386611e-01,4.79105540713003900e-05
46.000000,9.99638349178450514e-02,3.22583936178705180e-05
46.500000,9.98118789820768015e-02,4.44889717952136614e-05
47.000000,9.96561004167515474e-02,6.14694023174152803e-05
47.500000,9.95510633943982592e-02,3.41812326164936800e-06
48.000000,9.94150686584717724e-02,1.28054085531284333e-05
48.500000,9.92810158346133231e-02,2.17605958054829346e-05
49.000000,9.91516118790133766e-02,2.69922786066379009e-05
49.500000,9.89533773875719835e-02,1.01688357342389666e-04
50.000000,9.89093662605831508e-02,1.83334237660321039e-05
50.500000,9.87186827859447558e-02,9.85372566312604813e-05
51.000000,9.86671006595098293e-02,3.88090720518606129e-05
51.500000,9.85653139933209410e-02,1.30043802050413306e-05
52.000000,9.84412277280663356e-02,4.57321950497366044e-05
52.500000,9.83215356298011711e-02,6.18466476025518290e-05
53.000000,9.82346609753801808e-02,4.09706651740788451e-05
53.500000,9.81424258648826431e-02,2.41208096569281480e-05
54.000000,9.80343658971821047e-02,4.36688927616200111e-05
54.500000,9.78915853503177918e-02,9.03287083874649454e-05
55.000000,9.78588834863805823e-02,1.69891281984407067e-05
55.500000,9.77579430278225359e-02,4.17276482633472949e-05
56.000000,9.76784529062083434e-02,2.61161702777488021e-05
56.500000,9.75238480803636981e-02,8.15079796430196363e-05
57.000000,9.75120568552093753e-02,2.30593866945773064e-05
57.500000,9.73982264596918723e-02,7.05146243214014034e-05
58.000000,9.73538326296969625e-02,2.37822543976098711e-05
58.500000,9.72699381501772042e-02,4.15828913243236435e-05
59.000000,9.71910762318654170e-02,5.02240910944301615e-05
59.500000,9.71285738765225587e-02,3.64639385406537227e-05
60.000000,9.70609338076230538e-02,3.40685562899024005e-05
60.500000,9.69679148848633238e-02,5.32942953253915373e-05
61.000000,9.69319158759716776e-02,2.90342797209697487e-05
61.500000,9.68313602368689741e-02,4.76825794024075985e-05
62.000000,9.68073970152470292e-02,3.32862252958925981e-05
62.500000,9.67488775692249142e-02,3.40394202852420510e-05
63.000000,9.66660932811487517e-02,6.56414451610355334e-05
63.500000,9.66287892389624536e-02,4.77125658253249620e-05
64.000000,9.65605697085342163e-02,6.74320827643056365e-05
64.500000,9.65360981514420124e-02,3.62926726127258623e-05
65.000000,9.64926172842253543e-02,3.10655072493996374e-05
65.500000,9.64223858362543151e-02,3.61973166792985468e-05
66.000000,9.63960659745774773e-02,4.22081830479028713e-05
66.500000,9.63578652244568151e-02,2.68364237855604788e-05
67.000000,9.63116349643083347e-02,4.78109374503885137e-05
67.500000,9.62586466690282111e-02,4.43900007706011124e-05
68.000000,9.62438381975633805e-02,2.58684201748327766e-05
68.500000,9.62212455337519978e-02,2.23382334685854867e-05
