theta_deg,response_magnitude,response_magnitude_std
0.000000,9.89789890310750625e-02,1.69052825644789916e-04
0.500000,9.91464480458729425e-02,3.95466474202437203e-10
1.000000,9.91428157024301787e-02,1.25090230781612489e-06
1.500000,9.91358204475481786e-02,2.35144458427879666e-06
2.000000,9.91246399517039523e-02,4.18614354257650355e-06
2.500000,9.91150661196743415e-02,7.64933438742808546e-06
3.000000,9.91060709355664204e-02,8.90773682499088289e-06
3.500000,9.90936558214124130e-02,1.40520940124802249e-05
4.000000,9.90806108574611155e-02,2.07286249541664188e-05
4.500000,9.90639044061802088e-02,2.36198362744473745e-05
5.000000,9.90427834923265915e-02,2.55008409254084122e-05
5.500000,9.90273988968001784e-02,2.60654461853654478e-05
6.000000,9.90176639899016109e-02,2.53143881691416476e-05
6.500000,9.90069917095977164e-02,2.13205754558812692e-05
7.000000,9.89927878941864042e-02,1.86079442488452954e-05
7.500000,9.89783988511530183e-02,1.87160240322087301e-05
8.000000,9.89600801221309917e-02,2.11347743607441818e-05
8.500000,9.89439547466352820e-02,1.95468046761941927e-05
9.000000,9.89280730618319337e-02,1.87568150176950035e-05
9.500000,9.89119217784662497e-02,1.83440448119002123e-05
10.000000,9.88943600968878733e-02,2.12642122009756446e-05
10.500000,9.88735162493447339e-02,2.55993306852775042e-05
11.000000,9.88410135429318298e-02,3.17381556445561424e-05
11.500000,9.88157610166215949e-02,3.54381611654938620e-05
12.000000,9.88026791282188427e-02,5.40847724844108421e-05
12.500000,9.87960936858591487e-02,2.39723734267025073e-05
13.000000,9.87942679659948864e-02,1.94049202641893044e-05
13.500000,9.87499722881555464e-02,3.20257440440908646e-05
14.000000,9.87416712574153699e-02,4.83721670238531802e-05
14.500000,9.87401540353261414e-02,2.24819282991895763e-05
15.000000,9.86932194896758402e-02,3.95903498237645186e-05
15.500000,9.87027710521907187e-02,1.07791449562968400e-05
16.000000,9.86739967076827873e-02,2.89346073493597029e-05
16.500000,9.86720899527786383e-02,9.49809913170081990e-06
17.000000,9.86379041301678611e-02,4.83700221527105057e-05
17.500000,9.86435837299918100e-02,3.47826960118701204e-05
18.000000,9.86288040916913633e-02,9.98627437009207120e-06
18.500000,9.86055881364457515e-02,4.22440335108705421e-05
19.000000,9.85879607030288180e-02,3.60318987775146469e-05
19.500000,9.85818801560334745e-02,4.21970610983679449e-05
20.000000,9.85780526863580808e-02,3.77725607156179831e-05
20.500000,9.85698005821852435e-02,3.50125145332524538e-05
21.000000,9.85535497708878439e-02,4.22158656341310612e-05
21.500000,9.85353758132255231e-02,4.98676925089145065e-05
22.000000,9.85399916339372295e-02,3.13709842545045520e-05
22.500000,9.85437008765540357e-02,1.68937297436104581e-05
23.000000,9.85349251742318882e-02,3.82711278812724524e-05
23.500000,9.85256933529835704e-02,3.49130045000867073e-05
24.000000,9.85414424777776299e-02,1.42295280305185020e-05
24.500000,9.85325431658692075e-02,1.86496769977539117e-05
25.000000,9.85111961618656967e-02,6.00896506730599065e-05
25.500000,9.85449504828461303e-02,1.34657641757169059e-05
26.000000,9.85490247136087960e-02,1.35722297965592157e-05
26.500000,9.85500794435884564e-02,1.89887705021257981e-05
