theta_deg,response_magnitude,response_magnitude_std
0.000000,1.08488693512561296e-01,2.16211781762648629e-04
0.500000,1.08699637884833125e-01,5.05976493423528318e-10
1.000000,1.08685531887587145e-01,1.91802727916665676e-06
1.500000,1.08663666544856319e-01,6.81466851900640780e-06
2.000000,1.08623011927708069e-01,6.01104425344909352e-06
2.500000,1.08583453006449657e-01,2.06734067926809512e-05
3.000000,1.08542129725843220e-01,2.27571633128138499e-05
3.500000,1.08498188085605074e-01,3.25036597931975318e-05
4.000000,1.08443775941532677e-01,4.29506378406495948e-05
4.500000,1.08374266019325399e-01,5.94398285518136095e-05
5.000000,1.08293945734467961e-01,7.08710058905982505e-05
5.500000,1.08198116276934792e-01,8.49799111429278442e-05
6.000000,1.08102438926120634e-01,9.60596767235377718e-05
6.500000,1.08033565112460497e-01,9.43046151841185956e-05
7.000000,1.07954602870719715e-01,8.78151797065760889e-05
7.500000,1.07868747405927348e-01,7.95614366943303612e-05
8.000000,1.07769339195148528e-01,7.76180564858294564e-05
8.500000,1.07661499073238812e-01,7.75345857699739828e-05
9.000000,1.07538488066759280e-01,8.37882640540793609e-05
9.500000,1.07409331834416713e-01,8.83887020729638874e-05
10.000000,1.07257104302587170e-01,1.01935063890174095e-04
10.500000,1.07094961200406610e-01,1.12919542554386435e-04
11.000000,1.06949595731442013e-01,1.20951905970096186e-04
11.500000,1.06852275179430162e-01,7.78981678998862603e-05
12.000000,1.06721271083612304e-01,3.87337842151606001e-05
12.500000,1.06560055535564163e-01,6.45648252074566213e-05
13.000000,1.06345717189424316e-01,9.94777590925315590e-05
13.500000,1.06177563356928920e-01,9.10671757775217841e-05
14.000000,1.06046429158791561e-01,4.24416406898111637e-05
14.500000,1.05808647789625149e-01,9.85335130742877405e-05
15.000000,1.05649702277354873e-01,5.43123741337018883e-05
15.500000,1.05441092251355228e-01,8.97540696793029989e-05
16.000000,1.05250114818114068e-01,5.07392080036320423e-05
16.500000,1.05023667679280869e-01,9.46163551473068980e-05
17.000000,1.04843204989846742e-01,2.71042375655047099e-05
17.500000,1.04548376004318488e-01,1.08148289584967952e-04
18.000000,1.04361790930101436e-01,9.51624363680529602e-05
18.500000,1.04175100069199930e-01,4.11920242692979171e-05
19.000000,1.03934800987071432e-01,2.61632830183343136e-05
19.500000,1.03673788953241086e-01,4.51223596481646153e-05
20.000000,1.03417776783605017e-01,5.88029078902653512e-05
20.500000,1.03168369857042724e-01,5.64240249781128268e-05
21.000000,1.02929948098085769e-01,4.18642563272011615e-05
21.500000,1.02691225330249339e-01,2.57704663913139584e-05
22.000000,1.02421963512199177e-01,4.71310145560744582e-05
