theta_deg,response_magnitude,response_magnitude_std
0.000000,9.37615449006991147e-02,1.25745880113909564e-04
0.500000,9.38908818421076014e-02,2.32879697378937643e-10
1.000000,9.39019368607054566e-02,2.82907703201878631e-10
1.500000,9.39202796125251649e-02,1.48555439842720324e-10
2.000000,9.39458564421875031e-02,1.82333455237839710e-07
2.500000,9.39795265171829569e-02,2.48019003375695453e-06
3.000000,9.40184508626598081e-02,2.58382247831411301e-06
3.500000,9.40631184599209080e-02,2.04595730215554986e-06
4.000000,9.41148756884157139e-02,2.65196370446686701e-06
4.500000,9.41724567790227507e-02,6.83011246437985314e-06
5.000000,9.42328881193278262e-02,4.53072913998577654e-06
5.500000,9.42991154294998551e-02,6.06510239780349109e-06
6.000000,9.43687697230573830e-02,8.95425764000129558e-06
6.500000,9.44430791404950176e-02,6.90142720597310365e-06
7.000000,9.45200450765284750e-02,9.90616123539027149e-06
7.500000,9.45985125335567500e-02,7.61754224719129218e-06
8.000000,9.46831234123354237e-02,9.49174673050564903e-06
8.500000,9.47627033806986152e-02,9.07517616170872367e-06
9.000000,9.48475769023554294e-02,9.25397193111629230e-06
9.500000,9.49361814646697277e-02,1.11690821828999753e-05
10.000000,9.50219839062360627e-02,1.02417897429877575e-05
10.500000,9.51084184765432911e-02,7.57943093087963438e-06
11.000000,9.51939825456973865e-02,4.85442131099221531e-06
11.500000,9.52822797196149068e-02,2.87297359225751176e-06
12.000000,9.53669147261178712e-02,3.50819268189029066e-06
12.500000,9.54611638359746661e-02,5.62337346915735715e-06
13.000000,9.55534374294633865e-02,9.08240581952055479e-06
13.500000,9.56368466500398945e-02,1.02490585934368055e-05
14.000000,9.57115440481961788e-02,7.28601080191092454e-06
14.500000,9.58070372288625377e-02,1.10108236921007695e-05
15.000000,9.58849022009386209e-02,7.52421557301627442e-06
15.500000,9.59720084443166366e-02,5.97895447592015135e-06
16.000000,9.60531087890549445e-02,1.29098850346949291e-05
16.500000,9.61262445984830544e-02,1.21667604423460828e-05
17.000000,9.62087856682129761e-02,5.25591980446666030e-06
17.500000,9.62853086604857494e-02,1.57530666817672955e-05
18.000000,9.63657641978190316e-02,1.64698622258088658e-05
18.500000,9.64354464996998589e-02,1.83179350651303643e-05
19.000000,9.65099218741916898e-02,7.27418891661054366e-06
19.500000,9.65769466068930049e-02,2.82171809619879052e-05
20.000000,9.66491897785472925e-02,3.09085167051818111e-05
20.500000,9.67156897323674380e-02,3.42050072513776416e-05
21.000000,9.67892350807308122e-02,2.42194159897961576e-05
21.500000,9.68527600718692983e-02,2.02159323635349246e-05
22.000000,9.69202430439319584e-02,2.87161323090233574e-05
22.500000,9.69838320895748535e-02,3.42288864816372201e-05
23.000000,9.70440290225123292e-02,2.20326255499568576e-05
23.500000,9.70973186246808784e-02,2.98248426349604724e-05
24.000000,9.71381961688306400e-02,5.06112523460053117e-05
24.500000,9.71988007208870186e-02,6.27404594344618821e-05
25.000000,9.72432077806197476e-02,4.60881739496630876e-05
25.500000,9.73058081785360546e-02,2.64768061463747947e-05
26.000000,9.73475902860192199e-02,3.04882488796658726e-05
26.500000,9.73781721250324001e-02,4.45633085696866887e-05
27.000000,9.74342994794491490e-02,2.84593427878128576e-05
27.500000,9.74761330904852646e-02,2.19955849686925160e-05
28.000000,9.75487512784207339e-02,3.85779026145058768e-05
28.500000,9.76081943583464451e-02,2.54396505573587649e-05
29.000000,9.76996227858673294e-02,3.59549268113754840e-05
29.500000,9.77787833330410472e-02,4.21877071802453604e-05
30.000000,9.78831975361020845e-02,4.95104041364500524e-05
30.500000,9.79654643731899255e-02,7.08643253582852129e-05
31.000000,9.80626613531945246e-02,8.57238070888718284e-05
31.500000,9.81674683247993618e-02,9.09982465133381697e-05
32.000000,9.82407929901733812e-02,1.36088367155009089e-04
32.500000,9.83623859785211635e-02,1.15866513859023344e-04
33.000000,9.85007532509515754e-02,1.09479757613492802e-04
33.500000,9.86133485150239020e-02,1.09779126836311074e-04
34.000000,9.86572919125044967e-02,1.29344978173259772e-04
34.500000,9.88140483927271163e-02,1.10889732203351039e-04
35.000000,9.88684620250090684e-02,1.09529057988867181e-04
35.500000,9.90201505972532064e-02,8.61302334218998954e-05
36.000000,9.90869937505019782e-02,6.91661897985177852e-05
36.500000,9.91726262067940401e-02,8.18094894575774301e-05
37.000000,9.92839909144873078e-02,5.90363311914773685e-05
37.500000,9.93967635379999076e-02,3.73442261178509247e-05
38.000000,9.94773139614412438e-02,6.22893554991602467e-05
38.500000,9.96002400682634709e-02,3.40625631575255296e-05
39.000000,9.97173711457386147e-02,7.83821546591968493e-05
39.500000,9.97951112735042112e-02,6.81669322182036294e-05
40.000000,9.99323369897855834e-02,7.27091332246774087e-05
40.500000,1.00027284560167365e-01,7.24565968800810312e-05
41.000000,1.00183527158206997e-01,8.59207366642934534e-05
41.500000,1.00267620818145553e-01,1.05554992420208308e-04
42.000000,1.00374847493399616e-01,7.21325341269722723e-05
42.500000,1.00491805012600938e-01,7.72194106205570949e-05
43.000000,1.00614774173411400e-01,1.17681175557055520e-04
43.500000,1.00702131551257609e-01,1.41025970496214072e-04
44.000000,1.00787120533206404e-01,9.13749900951904413e-05
44.500000,1.00913516623609867e-01,1.28677638152355992e-04
45.000000,1.01008557094082407e-01,1.01227560157152310e-04
45.500000,9.88171114341066803e-02,7.86823359032366932e-05
46.000000,9.86669480228526685e-02,5.83555152275316928e-05
46.500000,9.84105453237038297e-02,8.06351647937186860e-05
47.000000,9.82445398496536448e-02,4.46599068614424741e-05
47.500000,9.80507211368628201e-02,6.82683031990978723e-05
48.000000,9.78619901399230829e-02,5.05341430978350825e-05
48.500000,9.76470077521491564e-02,6.13147906342865047e-05
49.000000,9.74890643394941692e-02,4.11838875337720096e-05
49.500000,9.73209024691400748e-02,6.42758904937741550e-05
50.000000,9.71436294310351334e-02,3.98709407768766311e-05
50.500000,9.69933588675375297e-02,4.01549254502172484e-05
51.000000,9.68505029328970424e-02,4.71933592220368349e-05
51.500000,9.66821810728268893e-02,7.14655331168079092e-05
52.000000,9.65492347138829643e-02,5.03319366849258202e-05
52.500000,9.64249978919482359e-02,5.93274152012719942e-05
