theta_deg,response_magnitude,response_magnitude_std
0.000000,8.91846136323207056e-02,7.75885195785202126e-05
0.500000,8.92741699465812166e-02,2.72448695561499635e-07
1.000000,8.93106681719450235e-02,9.62870580393188173e-07
1.500000,8.93714960316794316e-02,1.59556315387011320e-06
2.000000,8.94553460541012146e-02,1.86369590854959989e-06
2.500000,8.95638957281072873e-02,1.17322918025826206e-06
3.000000,8.96942290847553697e-02,1.48217506502667290e-06
3.500000,8.98483303857372517e-02,8.94681025060398717e-07
4.000000,9.00273390210615393e-02,2.42163927818220632e-06
4.500000,9.02245884976795448e-02,3.59658661414390110e-07
5.000000,9.04467475375559105e-02,3.51413077280822336e-06
5.500000,9.06883971817950829e-02,1.40672010131398557e-06
6.000000,9.09517709496538429e-02,4.65796105346093181e-06
6.500000,9.12323683928951551e-02,4.36122944777010928e-06
7.000000,9.15271201805135104e-02,2.97809010170900544e-06
7.500000,9.18444445861712894e-02,6.51846334923470125e-06
8.000000,9.21776232032454901e-02,3.57404945393195280e-06
8.500000,9.25207464509661265e-02,2.24622225604300941e-06
9.000000,9.28852352654286617e-02,6.16595250052154527e-06
9.500000,9.32612987331810361e-02,8.59429996377096092e-06
10.000000,9.36475112706742913e-02,7.86526642524097788e-06
10.500000,9.40437429172387984e-02,6.30676526917568524e-06
11.000000,9.44506293787457096e-02,6.58021074996195249e-06
11.500000,9.48663701336636828e-02,6.57854431334748416e-06
12.000000,9.52902610359697144e-02,7.45887535186898964e-06
12.500000,9.57191575652209664e-02,6.36220633537721389e-06
13.000000,9.61507391761791674e-02,3.52387074441059903e-10
13.500000,9.65965231455398476e-02,3.84066268141184687e-06
14.000000,9.70456709166651055e-02,5.12041723792043501e-06
14.500000,9.74961235825296535e-02,2.93828852086717260e-06
15.000000,9.79539037042300165e-02,3.86592335051681113e-06
15.500000,9.84108485317203019e-02,4.80637445946417071e-06
16.000000,9.88684116430159216e-02,1.60294009626758608e-06
16.500000,9.93283412146868522e-02,1.15937308112326435e-10
17.000000,9.97897262661908147e-02,2.49896707117511685e-09
17.500000,1.00251069193878342e-01,7.51319579683523838e-10
18.000000,1.00713496088355489e-01,2.78016594567669346e-06
18.500000,1.01173643213614189e-01,2.35689814059587780e-06
19.000000,1.01630889930582308e-01,2.65962275766773533e-06
19.500000,1.02086192613108917e-01,2.72921283369411462e-06
20.000000,1.02538361202435396e-01,6.33478846788295528e-07
20.500000,1.02987953218961897e-01,1.66873548031881554e-06
21.000000,1.03434579183988046e-01,1.85428806522556761e-06
21.500000,1.03875958632688420e-01,1.67539025424496859e-06
22.000000,1.04312412916134495e-01,5.65743330189683491e-07
22.500000,1.04746912387470192e-01,3.21641857790928836e-06
23.000000,1.05171888695620983e-01,3.26078799163034415e-10
23.500000,1.05596077995467968e-01,2.87940250792109434e-06
24.000000,1.06011973141853677e-01,2.92660234052036969e-06
24.500000,1.06419945031084248e-01,1.25611676683343994e-06
25.000000,1.06823042205365551e-01,1.10555387563647318e-06
25.500000,1.07220315904427349e-01,2.65837599648562389e-06
26.000000,1.07608332312848623e-01,4.68147956902311340e-07
26.500000,1.07990617382568585e-01,6.48174478701032265e-07
27.000000,1.08364553062986868e-01,5.20277950488885579e-07
27.500000,1.08731859366755751e-01,2.06257255599600151e-06
28.000000,1.09090080146586513e-01,1.88716694780987146e-06
28.500000,1.09440417989508640e-01,1.49543209807768105e-06
29.000000,1.09781047456223552e-01,6.83821356960040047e-07
29.500000,1.10114040128556467e-01,6.87812224226174086e-07
30.000000,1.10438825532367751e-01,1.51708873867806710e-06
30.500000,1.10754017761566154e-01,1.79152513055199212e-06
31.000000,1.11058429557008259e-01,4.78289730926613231e-07
31.500000,1.11356133952574349e-01,2.10828741030466766e-06
32.000000,1.11642534772916371e-01,1.43544329752423599e-06
32.500000,1.11919608101475901e-01,2.14105687774812479e-06
33.000000,1.12186733568675270e-01,2.23353440197143926e-06
33.500000,1.12443984471614994e-01,2.23233144491089026e-06
34.000000,1.12690961736214124e-01,1.95339036465573097e-06
34.500000,1.12926982582821495e-01,4.02793878447666820e-07
35.000000,1.13153475226013239e-01,2.49264598527532755e-07
35.500000,1.13369840013713391e-01,6.17400552447894929e-07
36.000000,1.13576281429794201e-01,1.42345597012392871e-06
36.500000,1.13770699132046849e-01,5.54045598272243941e-07
37.000000,1.13957458811118073e-01,2.08524911198829678e-06
37.500000,1.14128249160182632e-01,3.27301794160125460e-07
38.000000,1.14290875499162420e-01,1.34867530138064838e-07
38.500000,1.14445812367468744e-01,3.62599712570003773e-06
39.000000,1.14585051116410902e-01,1.61979159211246938e-06
39.500000,1.14714691410519071e-01,2.52942044491863679e-06
40.000000,1.14833681169314056e-01,1.88242184459646473e-06
40.500000,1.14944787403638046e-01,5.38518745000883087e-06
41.000000,1.15036191682979405e-01,6.06589588184782006e-07
41.500000,1.15126228695690239e-01,5.46939669908439633e-06
42.000000,1.15208198047263247e-01,1.36081217893117500e-05
42.500000,1.15275456074139832e-01,1.84757658659740417e-05
43.000000,1.15343660418998947e-01,2.65887737614923348e-05
43.500000,1.15401442663283213e-01,5.35946339267627224e-05
44.000000,1.15502680414231368e-01,2.46812889541463155e-05
44.500000,1.15615336049153083e-01,6.42207881272157841e-05
45.000000,1.16036907065790493e-01,1.14345178795417874e-04
45.500000,1.15615336049152889e-01,6.42207881272001716e-05
46.000000,1.15502680414231146e-01,2.46812889540450307e-05
46.500000,1.15401442663283060e-01,5.35946339267378739e-05
47.000000,1.15343660418998711e-01,2.65887737614902613e-05
47.500000,1.15275456074139554e-01,1.84757658659672857e-05
48.000000,1.15208198047262955e-01,1.36081217892974656e-05
48.500000,1.15126228695689836e-01,5.46939669910527908e-06
49.000000,1.15036191682978989e-01,6.06589588201764593e-07
49.500000,1.14944787403637574e-01,5.38518745001354122e-06
50.000000,1.14833681169313542e-01,1.88242184460956833e-06
50.500000,1.14714691410518474e-01,2.52942044492264707e-06
51.000000,1.14585051116410291e-01,1.61979159211246938e-06
51.500000,1.14445812367468064e-01,3.62599712570483871e-06
52.000000,1.14290875499161698e-01,1.34867530142087689e-07
52.500000,1.14128249160181813e-01,3.27301794158076910e-07
53.000000,1.13957458811117268e-01,2.08524911197887735e-06
53.500000,1.13770699132045960e-01,5.54045598268775553e-07
54.000000,1.13576281429793258e-01,1.42345597012960489e-06
54.500000,1.13369840013712364e-01,6.17400552447895353e-07
55.000000,1.13153475226012171e-01,2.49264598541545274e-07
55.500000,1.12926982582820384e-01,4.02793878447666979e-07
56.000000,1.12690961736212958e-01,1.95339036467375033e-06
56.500000,1.12443984471613773e-01,2.23233144490287606e-06
57.000000,1.12186733568674007e-01,2.23353440198546062e-06
57.500000,1.11919608101474569e-01,2.14105687774668525e-06
58.000000,1.11642534772914997e-01,1.43544329752423599e-06
58.500000,1.11356133952572933e-01,2.10828741030425134e-06
59.000000,1.11058429557006788e-01,4.78289730915047632e-07
59.500000,1.10754017761564627e-01,1.79152513054519023e-06
60.000000,1.10438825532366169e-01,1.51708873867806710e-06
60.500000,1.10114040128554802e-01,6.87812224222822059e-07
61.000000,1.09781047456221886e-01,6.83821356977596922e-07
61.500000,1.09440417989506905e-01,1.49543209808588224e-06
62.000000,1.09090080146584723e-01,1.88716694781187491e-06
62.500000,1.08731859366753919e-01,2.06257255598999308e-06
63.000000,1.08364553062984967e-01,5.20277950498893802e-07
63.500000,1.07990617382566628e-01,6.48174478690684805e-07
64.000000,1.07608332312846597e-01,4.68147956914328143e-07
64.500000,1.07220315904425295e-01,2.65837599648963459e-06
65.000000,1.06823042205363442e-01,1.10555387564047880e-06
65.500000,1.06419945031082097e-01,1.25611676682743067e-06
66.000000,1.06011973141851443e-01,2.92660234053175975e-06
66.500000,1.05596077995465720e-01,2.87940250791270024e-06
67.000000,1.05171888695618623e-01,3.26078790551240772e-10
67.500000,1.04746912387467792e-01,3.21641857791179346e-06
