theta_deg,response_magnitude,response_magnitude_std
0.000000,9.93438203627219074e-02,1.73824825652650709e-04
0.500000,9.95165811291452013e-02,4.06752532747595658e-10
1.000000,9.95141715881218414e-02,9.54775033780443782e-07
1.500000,9.95082545261256474e-02,5.60571668696790490e-07
2.000000,9.95019387072215711e-02,3.13437876243715523e-06
2.500000,9.94953177428523072e-02,5.02318142440551786e-06
3.000000,9.94885241609133053e-02,5.91875332101441434e-06
3.500000,9.94807818296234159e-02,1.13788277625813779e-05
4.000000,9.94730945618068074e-02,1.24456028671663092e-05
4.500000,9.94601584652066162e-02,1.37765141833673908e-05
5.000000,9.94471722958332749e-02,1.68501456524331344e-05
5.500000,9.94437119133287362e-02,1.76143660482789389e-05
6.000000,9.94372679593722719e-02,1.54774968064046709e-05
6.500000,9.94321785787854184e-02,1.36847124171035219e-05
7.000000,9.94208893759743612e-02,1.32776438268709278e-05
7.500000,9.94126720193362068e-02,1.91066832260313702e-05
8.000000,9.94010313749600638e-02,2.27352282038252197e-05
8.500000,9.93899843936982691e-02,2.56804609745678281e-05
9.000000,9.93817570354911944e-02,2.43906665763207739e-05
9.500000,9.93731761280773618e-02,2.33041067425052046e-05
10.000000,9.93649871104365090e-02,1.89780932123531026e-05
10.500000,9.93534511069841808e-02,1.72211351000550478e-05
11.000000,9.93353112225406759e-02,1.34180366766516324e-05
11.500000,9.93293429006868317e-02,1.77646440907452007e-05
12.000000,9.93121588689799273e-02,2.92262346620120011e-05
12.500000,9.92789084649593062e-02,3.97858807542101573e-05
13.000000,9.92981996894476970e-02,2.56989247576987518e-05
13.500000,9.92780812787191352e-02,1.33499204306169734e-05
14.000000,9.92677718109767765e-02,2.94002476669657184e-05
14.500000,9.92549782575078698e-02,2.90593985567181808e-05
15.000000,9.92403887547573804e-02,1.48123060431790683e-05
15.500000,9.92132256215189773e-02,3.34654011998524595e-05
16.000000,9.92230958113881623e-02,1.42867897072549842e-05
16.500000,9.91828975529927964e-02,3.81164512011826097e-05
17.000000,9.91869752887116068e-02,1.65253312346478968e-05
17.500000,9.91781323038746221e-02,3.18991942054733249e-05
18.000000,9.91447768286337072e-02,4.54332777945859627e-05
18.500000,9.91440030426540553e-02,1.77700594864407173e-05
19.000000,9.91403389958343817e-02,1.81459695749772036e-05
19.500000,9.91166180691432641e-02,3.88148546620608611e-05
20.000000,9.90969726990744704e-02,3.95042446143290094e-05
20.500000,9.90801087791069179e-02,4.08248560733649073e-05
21.000000,9.90658477249734271e-02,4.46047153758964891e-05
21.500000,9.90643764027297619e-02,2.86060081315366633e-05
22.000000,9.90520511682301402e-02,1.61176011414668916e-05
22.500000,9.90235029774408637e-02,2.82133984662561174e-05
23.000000,9.90123507369663480e-02,4.54306410072808958e-05
23.500000,9.90073945187516374e-02,2.58354459123003084e-05
24.000000,9.89813313443196341e-02,5.32099783652509071e-05
24.500000,9.89886429275740054e-02,2.66783432730068870e-05
25.000000,9.89772951910846688e-02,3.87074060718091404e-05
25.500000,9.89542178626417884e-02,5.38897892549210404e-05
26.000000,9.89561088792212523e-02,3.71309417835619693e-05
26.500000,9.89335597436420272e-02,3.80317944901784080e-05
27.000000,9.89402911596824058e-02,4.25662933185452934e-05
27.500000,9.89309951975571034e-02,4.99178394093466475e-05
28.000000,9.89538948739421276e-02,3.29887713258238328e-05
28.500000,9.89487679443288304e-02,4.28875890522106864e-05
29.000000,9.89252862421241969e-02,5.54133243035395074e-05
29.500000,9.89384321660890242e-02,6.00214625815023999e-05
30.000000,9.89636942547939547e-02,3.00764580360134159e-05
30.500000,9.89511864078949227e-02,5.63060079839596163e-05
31.000000,9.89458717193899689e-02,6.47504366572486368e-05
31.500000,9.89565160914103875e-02,6.78281196171001758e-05
32.000000,9.89909777380180295e-02,4.29625701563936008e-05
32.500000,9.90089759305613493e-02,3.42868851073616676e-05
33.000000,9.89522744281688404e-02,8.50703586563279546e-05
33.500000,9.90453267042884500e-02,2.35912818223838517e-05
34.000000,9.90591485364409746e-02,3.43560172597677399e-05
34.500000,9.90147368119836946e-02,9.55939666277748031e-05
35.000000,9.90910096107910920e-02,5.06767120744892243e-05
35.500000,9.91093915409768655e-02,5.73292275968750076e-05
36.000000,9.91315984646833070e-02,6.12152144645174503e-05
36.500000,9.91794505512280933e-02,3.55287988461465838e-05
37.000000,9.91950414382047063e-02,5.48595012746205175e-05
37.500000,9.92434352768487293e-02,3.10880666661375062e-05
38.000000,9.92706667916017638e-02,4.18653269455142069e-05
38.500000,9.93021800223097828e-02,4.74815900881925984e-05
39.000000,9.93450993246774577e-02,4.04484159132985759e-05
39.500000,9.93507229586361451e-02,7.58159284939738636e-05
40.000000,9.94258511287053753e-02,4.21423389570595340e-05
40.500000,9.94314750681358495e-02,8.00475494510167768e-05
41.000000,9.95198199114009779e-02,3.74673745398320090e-05
41.500000,9.95667439986555880e-02,4.04895871969937382e-05
42.000000,9.96166875128912527e-02,4.31012516932240895e-05
42.500000,9.96631167445208577e-02,5.17247641528880084e-05
43.000000,9.97437275178888749e-02,1.03931351666846757e-05
43.500000,9.97351591200860976e-02,8.22986968501296330e-05
44.000000,9.98637594510971144e-02,1.34422971360312706e-05
44.500000,9.98666332405066387e-02,7.17480377367326076e-05
45.000000,1.02770749394248517e-01,1.04309803149544965e-04
45.500000,9.98666332405066526e-02,7.17480377367324585e-05
46.000000,9.98637594510971283e-02,1.34422971360458226e-05
46.500000,9.97351591200860976e-02,8.22986968501487556e-05
47.000000,9.97437275178889027e-02,1.03931351666920246e-05
47.500000,9.96631167445209132e-02,5.17247641528645422e-05
48.000000,9.96166875128912804e-02,4.31012516932210470e-05
48.500000,9.95667439986556158e-02,4.04895871969694724e-05
49.000000,9.95198199114009918e-02,3.74673745398458190e-05
49.500000,9.94314750681359050e-02,8.00475494510200023e-05
50.000000,9.94258511287054308e-02,4.21423389570492815e-05
50.500000,9.93507229586361729e-02,7.58159284939680361e-05
51.000000,9.93450993246774439e-02,4.04484159133326334e-05
51.500000,9.93021800223097967e-02,4.74815900881801504e-05
52.000000,9.92706667916018193e-02,4.18653269454870002e-05
52.500000,9.92434352768487432e-02,3.10880666661207891e-05
53.000000,9.91950414382047341e-02,5.48595012746435975e-05
53.500000,9.91794505512281488e-02,3.55287988461263431e-05
54.000000,9.91315984646833348e-02,6.12152144645238607e-05
54.500000,9.91093915409768933e-02,5.73292275968618684e-05
55.000000,9.90910096107911892e-02,5.06767120744643825e-05
55.500000,9.90147368119837362e-02,9.55939666277718758e-05
56.000000,9.90591485364409885e-02,3.43560172598006590e-05
56.500000,9.90453267042884777e-02,2.35912818223843193e-05
57.000000,9.89522744281688682e-02,8.50703586563328877e-05
57.500000,9.90089759305614048e-02,3.42868851073779848e-05
58.000000,9.89909777380180433e-02,4.29625701564070585e-05
58.500000,9.89565160914104569e-02,6.78281196170763369e-05
59.000000,9.89458717193900106e-02,6.47504366572616472e-05
59.500000,9.89511864078949782e-02,5.63060079839482390e-05
60.000000,9.89636942547939963e-02,3.00764580359898108e-05
60.500000,9.89384321660890798e-02,6.00214625814943022e-05
61.000000,9.89252862421242524e-02,5.54133243035383758e-05
61.500000,9.89487679443288720e-02,4.28875890522199563e-05
62.000000,9.89538948739421553e-02,3.29887713258092096e-05
62.500000,9.89309951975571589e-02,4.99178394093496088e-05
63.000000,9.89402911596824614e-02,4.25662933185379073e-05
63.500000,9.89335597436420688e-02,3.80317944901815521e-05
64.000000,9.89561088792213078e-02,3.71309417835562162e-05
64.500000,9.89542178626418301e-02,5.38897892549357449e-05
65.000000,9.89772951910847382e-02,3.87074060718171567e-05
65.500000,9.89886429275740470e-02,2.66783432730178273e-05
66.000000,9.89813313443196757e-02,5.32099783652396314e-05
66.500000,9.90073945187516791e-02,2.58354459123086975e-05
67.000000,9.90123507369663897e-02,4.54306410072879499e-05
67.500000,9.90235029774409192e-02,2.82133984662561174e-05
68.000000,9.90520511682301957e-02,1.61176011414651569e-05
68.500000,9.90643764027298035e-02,2.86060081315292331e-05
69.000000,9.90658477249734826e-02,4.46047153758944833e-05
69.500000,9.90801087791069596e-02,4.08248560733566132e-05
70.000000,9.90969726990745120e-02,3.95042446143473053e-05
70.500000,9.91166180691433196e-02,3.88148546620612134e-05
71.000000,9.91403389958344233e-02,1.81459695749615268e-05
71.500000,9.91440030426540969e-02,1.77700594864460434e-05
72.000000,9.91447768286337489e-02,4.54332777945828050e-05
72.500000,9.91781323038746637e-02,3.18991942054809550e-05
73.000000,9.91869752887116485e-02,1.65253312346469210e-05
73.500000,9.91828975529928381e-02,3.81164512011737531e-05
74.000000,9.92230958113882178e-02,1.42867897072675491e-05
74.500000,9.92132256215190189e-02,3.34654011998484750e-05
75.000000,9.92403887547574359e-02,1.48123060431791056e-05
75.500000,9.92549782575079254e-02,2.90593985567112081e-05
76.000000,9.92677718109768181e-02,2.94002476669705499e-05
76.500000,9.92780812787191907e-02,1.33499204306202209e-05
77.000000,9.92981996894477248e-02,2.56989247577059211e-05
77.500000,9.92789084649593201e-02,3.97858807542052648e-05
78.000000,9.93121588689799273e-02,2.92262346620104595e-05
78.500000,9.93293429006869011e-02,1.77646440907356835e-05
79.000000,9.93353112225407175e-02,1.34180366766500755e-05
79.500000,9.93534511069842086e-02,1.72211351000619766e-05
80.000000,9.93649871104365645e-02,1.89780932123550576e-05
80.500000,9.93731761280773757e-02,2.33041067425221995e-05
81.000000,9.93817570354912500e-02,2.43906665763093830e-05
81.500000,9.93899843936983107e-02,2.56804609745848433e-05
82.000000,9.94010313749601193e-02,2.27352282038304442e-05
82.500000,9.94126720193362345e-02,1.91066832260198709e-05
83.000000,9.94208893759743889e-02,1.32776438268533146e-05
83.500000,9.94321785787854601e-02,1.36847124171221753e-05
84.000000,9.94372679593723136e-02,1.54774968063986672e-05
84.500000,9.94437119133287500e-02,1.76143660482740634e-05
85.000000,9.94471722958333165e-02,1.68501456524331479e-05
85.500000,9.94601584652066578e-02,1.37765141833541365e-05
86.000000,9.94730945618068352e-02,1.24456028671635225e-05
86.500000,9.94807818296234575e-02,1.13788277625813305e-05
87.000000,9.94885241609133331e-02,5.91875332101441434e-06
87.500000,9.94953177428523211e-02,5.02318142439834942e-06
88.000000,9.95019387072215988e-02,3.13437876242713822e-06
88.500000,9.95082545261257029e-02,5.60571668697445141e-07
89.000000,9.95141715881218553e-02,9.54775033780445688e-07
89.500000,9.95165811291452290e-02,4.06752541301410661e-10
90.000000,9.93438203627219907e-02,1.73824825652627588e-04
90.500000,9.95165811291452429e-02,4.06752533157732124e-10
91.000000,9.95141715881218691e-02,9.54775033787391993e-07
91.500000,9.95082545261256751e-02,5.60571668693464298e-07
92.000000,9.95019387072215988e-02,3.13437876242313303e-06
92.500000,9.94953177428523072e-02,5.02318142439383643e-06
93.000000,9.94885241609133469e-02,5.91875332102295666e-06
93.500000,9.94807818296234575e-02,1.13788277625847373e-05
94.000000,9.94730945618068352e-02,1.24456028671579219e-05
94.500000,9.94601584652066578e-02,1.37765141833614599e-05
95.000000,9.94471722958333026e-02,1.68501456524428888e-05
95.500000,9.94437119133287500e-02,1.76143660482657184e-05
96.000000,9.94372679593722997e-02,1.54774968064092652e-05
96.500000,9.94321785787854462e-02,1.36847124171011367e-05
97.000000,9.94208893759744167e-02,1.32776438268739501e-05
97.500000,9.94126720193362484e-02,1.91066832260326678e-05
98.000000,9.94010313749601193e-02,2.27352282038419842e-05
98.500000,9.93899843936982968e-02,2.56804609745761121e-05
99.000000,9.93817570354912222e-02,2.43906665763206350e-05
99.500000,9.93731761280773757e-02,2.33041067425082641e-05
100.000000,9.93649871104365645e-02,1.89780932123494909e-05
100.500000,9.93534511069842086e-02,1.72211351000587477e-05
101.000000,9.93353112225407175e-02,1.34180366766504973e-05
101.500000,9.93293429006868733e-02,1.77646440907376215e-05
102.000000,9.93121588689799412e-02,2.92262346619981979e-05
102.500000,9.92789084649593201e-02,3.97858807541906281e-05
103.000000,9.92981996894477248e-02,2.56989247577062836e-05
103.500000,9.92780812787192046e-02,1.33499204306202056e-05
104.000000,9.92677718109768042e-02,2.94002476669731113e-05
104.500000,9.92549782575078976e-02,2.90593985567263462e-05
105.000000,9.92403887547574359e-02,1.48123060431986314e-05
105.500000,9.92132256215190189e-02,3.34654011998393813e-05
106.000000,9.92230958113881900e-02,1.42867897072784403e-05
106.500000,9.91828975529928381e-02,3.81164512011677629e-05
107.000000,9.91869752887116762e-02,1.65253312346137309e-05
107.500000,9.91781323038746498e-02,3.18991942054865725e-05
108.000000,9.91447768286337350e-02,4.54332777945871350e-05
108.500000,9.91440030426540830e-02,1.77700594864479205e-05
109.000000,9.91403389958344372e-02,1.81459695749620384e-05
109.500000,9.91166180691433196e-02,3.88148546620441169e-05
110.000000,9.90969726990744981e-02,3.95042446143360906e-05
110.500000,9.90801087791069734e-02,4.08248560733444701e-05
111.000000,9.90658477249734687e-02,4.46047153758844341e-05
111.500000,9.90643764027297896e-02,2.86060081315533465e-05
112.000000,9.90520511682301819e-02,1.61176011414680741e-05
112.500000,9.90235029774408915e-02,2.82133984662587636e-05
113.000000,9.90123507369663897e-02,4.54306410072615022e-05
113.500000,9.90073945187516791e-02,2.58354459122962359e-05
114.000000,9.89813313443196757e-02,5.32099783652425316e-05
114.500000,9.89886429275740332e-02,2.66783432730096822e-05
115.000000,9.89772951910847243e-02,3.87074060717979866e-05
115.500000,9.89542178626418301e-02,5.38897892548856005e-05
116.000000,9.89561088792212940e-02,3.71309417835565686e-05
116.500000,9.89335597436420550e-02,3.80317944901744574e-05
117.000000,9.89402911596824475e-02,4.25662933185572739e-05
117.500000,9.89309951975571589e-02,4.99178394093295578e-05
118.000000,9.89538948739421553e-02,3.29887713258124215e-05
118.500000,9.89487679443288720e-02,4.28875890522093515e-05
119.000000,9.89252862421242107e-02,5.54133243035425161e-05
119.500000,9.89384321660890798e-02,6.00214625814984290e-05
120.000000,9.89636942547939824e-02,3.00764580360358521e-05
120.500000,9.89511864078949782e-02,5.63060079839456911e-05
121.000000,9.89458717193900383e-02,6.47504366572425517e-05
121.500000,9.89565160914104153e-02,6.78281196170818528e-05
122.000000,9.89909777380180433e-02,4.29625701564367114e-05
122.500000,9.90089759305613631e-02,3.42868851074174769e-05
123.000000,9.89522744281688127e-02,8.50703586563299874e-05
123.500000,9.90453267042884639e-02,2.35912818223843193e-05
124.000000,9.90591485364409746e-02,3.43560172598304542e-05
124.500000,9.90147368119836946e-02,9.55939666277672137e-05
