theta_deg,response_magnitude,response_magnitude_std
0.000000,9.95060332564881439e-02,1.81634751543444437e-04
0.500000,9.96882059676200555e-02,4.25132090202435098e-10
1.000000,9.96896995710283007e-02,9.21523010788264580e-08
1.500000,9.96919418819225134e-02,4.53911640434144868e-10
2.000000,9.96953388407742919e-02,2.34392249995093435e-07
2.500000,9.96993943239527641e-02,6.47356389380910472e-11
3.000000,9.97047901432385197e-02,2.88021444638501752e-07
3.500000,9.97111030118088132e-02,5.75703087449202246e-07
4.000000,9.97180536641847637e-02,1.01519635730638204e-06
4.500000,9.97259060648933715e-02,1.02210844249668090e-06
5.000000,9.97345154056236000e-02,3.41858372999746995e-07
5.500000,9.97456524368124098e-02,1.96013838676516064e-06
6.000000,9.97571307480209918e-02,2.03932647552549724e-06
6.500000,9.97704931565110836e-02,2.89371000929290243e-06
7.000000,9.97798322306969881e-02,1.40967059645038784e-06
7.500000,9.97954041131575709e-02,4.48665922489199860e-06
8.000000,9.98084530102075485e-02,5.91188182839603601e-06
8.500000,9.98255244445429984e-02,4.52221052738706213e-06
9.000000,9.98435219791102696e-02,4.76102881649725848e-06
9.500000,9.98615695091634725e-02,5.65579780053916080e-06
10.000000,9.98802756165905331e-02,6.48307446563499671e-06
10.500000,9.99009500639770759e-02,8.38297398390914693e-06
11.000000,9.99211852017267699e-02,1.01625213288556142e-05
11.500000,9.99458387104073254e-02,1.21501433407550308e-05
12.000000,9.99628271171400379e-02,1.06881020740183288e-05
12.500000,9.99892837136495405e-02,7.46032659819922351e-06
13.000000,1.00022735629657092e-01,7.56335704503346650e-06
13.500000,1.00028554862437516e-01,9.29076832526905941e-06
14.000000,1.00070130616001451e-01,1.70523430607538213e-05
14.500000,1.00101363202529478e-01,9.18421923176134971e-06
15.000000,1.00110345662672059e-01,7.78779048031934962e-06
15.500000,1.00147577210136743e-01,1.65734607272664598e-05
16.000000,1.00186330244228516e-01,8.98822136316279324e-06
16.500000,1.00209900584806652e-01,1.34793742209275199e-05
17.000000,1.00243405227265422e-01,1.05604197149333379e-05
17.500000,1.00273189484342259e-01,7.89688613525257161e-06
18.000000,1.00309382279367240e-01,2.95309024967725866e-05
18.500000,1.00341695617183632e-01,1.41099403246626275e-05
19.000000,1.00376894181552961e-01,2.59464827219820076e-05
19.500000,1.00409709906157774e-01,1.56905693061521750e-05
20.000000,1.00446186861506026e-01,1.60298890603333000e-05
20.500000,1.00485120969231831e-01,1.38842733572685306e-05
21.000000,1.00519770133016856e-01,1.79174383706682173e-05
21.500000,1.00556074118977129e-01,1.72477934623714795e-05
22.000000,1.00592151984072106e-01,1.92173740133502173e-05
22.500000,1.00620504146720288e-01,3.80867547356507271e-05
23.000000,1.00671845919049957e-01,2.88765113380997541e-05
23.500000,1.00704346484162433e-01,2.33149308647731999e-05
24.000000,1.00735297717850517e-01,3.98187615196807939e-05
24.500000,1.00772883145052256e-01,2.68611764793873400e-05
25.000000,1.00827211966623545e-01,2.42378034610994561e-05
25.500000,1.00856390928622836e-01,3.61732694209534366e-05
26.000000,1.00892778562614707e-01,2.89956376706146312e-05
26.500000,1.00926833520230033e-01,3.56191214676942935e-05
27.000000,1.00957229041134744e-01,3.20236671588999244e-05
27.500000,1.01008140404946489e-01,3.11166598304299640e-05
28.000000,1.01033751401604671e-01,5.15045468329569610e-05
28.500000,1.01066860811926562e-01,5.33856767263884865e-05
29.000000,1.01098534104786239e-01,4.61004650054506378e-05
29.500000,1.01148530963463490e-01,2.97056774256432036e-05
30.000000,1.01159772402482487e-01,5.21991639156175831e-05
30.500000,1.01172005206460233e-01,4.62337734126643457e-05
31.000000,1.01215733429029689e-01,4.76868637067956157e-05
31.500000,1.01245783106585802e-01,4.52781488225675939e-05
32.000000,1.01264704125252514e-01,3.60736292535758119e-05
32.500000,1.01299071772843474e-01,5.38461269809508523e-05
33.000000,1.01342874464660310e-01,2.73562986735452197e-05
33.500000,1.01365801638653705e-01,2.96873213098435750e-05
34.000000,1.01380075699405339e-01,2.58652510481160323e-05
34.500000,1.01411904374958894e-01,2.17684838270208081e-05
35.000000,1.01437412399791343e-01,2.04958896033219896e-05
35.500000,1.01455712896303396e-01,2.28404723043689663e-05
36.000000,1.01461607544295285e-01,3.43469909555472810e-05
