theta_deg,response_magnitude,response_magnitude_std
0.000000,9.93618566193119751e-02,1.70492793796707572e-04
0.500000,9.95308188013381973e-02,3.98797947146626855e-10
1.000000,9.95273742816907975e-02,1.23019807150059307e-06
1.500000,9.95210052553612279e-02,2.61134711072893908e-06
2.000000,9.95099960466652861e-02,4.10171626209552325e-06
2.500000,9.95011411077343783e-02,7.65820514779941354e-06
3.000000,9.94929752780813470e-02,9.10845772565018670e-06
3.500000,9.94819139401695585e-02,1.27690450380765287e-05
4.000000,9.94694639786530138e-02,2.10013755270878069e-05
4.500000,9.94547483240253438e-02,2.43524472830670194e-05
5.000000,9.94362158081073116e-02,2.59672312804527943e-05
5.500000,9.94195219483057224e-02,2.60391162953295972e-05
6.000000,9.94110256512118345e-02,2.54283880560161853e-05
6.500000,9.94030646554842079e-02,2.23463947103880882e-05
7.000000,9.93901462678198899e-02,1.98806319140307958e-05
7.500000,9.93792245277759084e-02,1.87119436885771831e-05
8.000000,9.93639100984379520e-02,2.09165922026251756e-05
8.500000,9.93502042430411403e-02,1.95248574245502357e-05
9.000000,9.93369341220116109e-02,1.93865179890302329e-05
9.500000,9.93236095687614479e-02,1.96229867788596327e-05
10.000000,9.93078020828796065e-02,2.44112972931066471e-05
10.500000,9.92888894551998136e-02,2.95615594003914234e-05
11.000000,9.92588083110879232e-02,3.35687401893749630e-05
11.500000,9.92431471512665725e-02,3.96191340892363520e-05
12.000000,9.92443858724138261e-02,4.54334523131045431e-05
12.500000,9.92358703183257723e-02,1.71917554996500554e-05
13.000000,9.92372372274292758e-02,2.24080389976556767e-05
13.500000,9.91896719286600170e-02,3.73874367074265073e-05
14.000000,9.92061051711396469e-02,3.78960076301424940e-05
14.500000,9.92055454219107069e-02,2.63669676749768623e-05
15.000000,9.91703089186020681e-02,5.14045643573870061e-05
15.500000,9.91877893544033107e-02,1.38252567867228149e-05
16.000000,9.91619259208768311e-02,3.69008043712178694e-05
16.500000,9.91780966615418008e-02,1.20388907051743496e-05
17.000000,9.91541365269345276e-02,6.01749189921066600e-05
17.500000,9.91652328361526669e-02,3.82411483147256694e-05
18.000000,9.91706122618385283e-02,8.43350894782908027e-06
18.500000,9.91684831925667143e-02,2.82476759241850099e-05
19.000000,9.91535328160841473e-02,4.64889777102294881e-05
19.500000,9.91506969272814703e-02,4.38945722536541143e-05
20.000000,9.91589918250032620e-02,4.94455422496980836e-05
20.500000,9.91653702225688272e-02,4.64618851580793284e-05
21.000000,9.91601038688257330e-02,5.35034082946882124e-05
21.500000,9.91740352449077545e-02,4.64724339883273223e-05
22.000000,9.92015292992026870e-02,1.76142393322588734e-05
22.500000,9.92113647893459460e-02,1.33533721654723958e-05
23.000000,9.92007209682463226e-02,5.09008553037727500e-05
23.500000,9.92317230891504032e-02,1.85422345890740638e-05
24.000000,9.92416207189532190e-02,2.11950010286880358e-05
24.500000,9.92590615701397089e-02,1.29795064711255170e-05
25.000000,9.92505271741423861e-02,4.98055742129020009e-05
25.500000,9.92879133864435354e-02,1.79893890403003682e-05
26.000000,9.93069236675681588e-02,1.52882892810007312e-05
26.500000,9.93260772198232555e-02,1.50955892942236839e-05
27.000000,9.93444475249668224e-02,1.61301932940653136e-05
27.500000,9.93726833099760065e-02,9.77929835790047097e-06
28.000000,9.93652490859778803e-02,4.73079840476895859e-05
28.500000,9.94219571585462925e-02,1.02735984853951736e-05
29.000000,9.94481095348398181e-02,1.19070332809533730e-05
29.500000,9.94734544059298065e-02,1.84678041086428723e-05
30.000000,9.94860463499515763e-02,3.71479020684870821e-05
30.500000,9.95324226750400332e-02,2.73908176539654634e-05
31.000000,9.95715549514320092e-02,1.98829412148562102e-05
31.500000,9.96066436064895755e-02,2.45067169765592002e-05
32.000000,9.96296254087482569e-02,4.18383132660747373e-05
32.500000,9.96891501443640249e-02,1.61029947590756214e-05
33.000000,9.97304297847178139e-02,2.33254862020041177e-05
33.500000,9.97733429774639025e-02,2.69586656668888472e-05
34.000000,9.98152469773221918e-02,2.83300705680285306e-05
34.500000,9.98686615737877648e-02,1.91110871577600136e-05
35.000000,9.99121942419988890e-02,4.02168609283341664e-05
35.500000,9.99573622790272120e-02,5.35068192696896790e-05
36.000000,1.00015403633397115e-01,5.11923692063969620e-05
36.500000,1.00093331497766697e-01,1.92128657552389343e-05
37.000000,1.00138260972458953e-01,5.11898185836386925e-05
37.500000,1.00197637522834157e-01,5.10771937016366454e-05
38.000000,1.00262190816617053e-01,5.95276687921565711e-05
38.500000,1.00356789213535788e-01,2.21987584581068632e-05
39.000000,1.00397950454896856e-01,6.79401178638003474e-05
39.500000,1.00468356636930545e-01,7.24621615159791514e-05
40.000000,1.00583640357079507e-01,1.14628610982975501e-05
40.500000,1.00620454002746385e-01,7.64116219427047726e-05
41.000000,1.00721586354892645e-01,5.65214225782269101e-05
41.500000,1.00828630110974093e-01,5.69951438265263814e-06
42.000000,1.00902682520184639e-01,4.07476251497223681e-05
42.500000,1.00998486557966338e-01,2.59407847236883249e-05
43.000000,1.01082265611281558e-01,3.72001643177035439e-05
43.500000,1.01181543700661736e-01,2.04608471736297950e-05
44.000000,1.01246221646439455e-01,5.88053557874727427e-05
44.500000,1.01365833748397249e-01,2.48390434072315891e-05
45.000000,1.03794338784664014e-01,2.17446133759636090e-04
45.500000,1.01365833748397222e-01,2.48390434072290616e-05
46.000000,1.01246221646439427e-01,5.88053557874421073e-05
46.500000,1.01181543700661722e-01,2.04608471736580656e-05
47.000000,1.01082265611281516e-01,3.72001643177035439e-05
47.500000,1.00998486557966352e-01,2.59407847237188418e-05
48.000000,1.00902682520184625e-01,4.07476251497292935e-05
48.500000,1.00828630110974080e-01,5.69951438262195183e-06
49.000000,1.00721586354892617e-01,5.65214225782269101e-05
49.500000,1.00620454002746357e-01,7.64116219427047320e-05
50.000000,1.00583640357079507e-01,1.14628610982731538e-05
50.500000,1.00468356636930517e-01,7.24621615159762783e-05
51.000000,1.00397950454896856e-01,6.79401178637898442e-05
51.500000,1.00356789213535746e-01,2.21987584581082727e-05
52.000000,1.00262190816617053e-01,5.95276687921634625e-05
52.500000,1.00197637522834157e-01,5.10771937016390849e-05
53.000000,1.00138260972458940e-01,5.11898185836420603e-05
53.500000,1.00093331497766683e-01,1.92128657552147024e-05
54.000000,1.00015403633397088e-01,5.11923692063937161e-05
54.500000,9.99573622790271843e-02,5.35068192696814662e-05
55.000000,9.99121942419988751e-02,4.02168609283056993e-05
55.500000,9.98686615737877648e-02,1.91110871577600136e-05
56.000000,9.98152469773221640e-02,2.83300705680560795e-05
56.500000,9.97733429774638886e-02,2.69586656668741766e-05
57.000000,9.97304297847177723e-02,2.33254862020017392e-05
57.500000,9.96891501443640110e-02,1.61029947590670291e-05
58.000000,9.96296254087482430e-02,4.18383132660730703e-05
58.500000,9.96066436064895477e-02,2.45067169765787430e-05
59.000000,9.95715549514319953e-02,1.98829412148600252e-05
59.500000,9.95324226750400054e-02,2.73908176539908506e-05
60.000000,9.94860463499515763e-02,3.71479020684536886e-05
60.500000,9.94734544059297787e-02,1.84678041086487066e-05
61.000000,9.94481095348397903e-02,1.19070332809625853e-05
61.500000,9.94219571585462647e-02,1.02735984853801726e-05
62.000000,9.93652490859778664e-02,4.73079840476628536e-05
62.500000,9.93726833099759788e-02,9.77929835790248691e-06
63.000000,9.93444475249667946e-02,1.61301932940608413e-05
63.500000,9.93260772198232417e-02,1.50955892942268349e-05
64.000000,9.93069236675681449e-02,1.52882892810102789e-05
64.500000,9.92879133864434937e-02,1.79893890403044407e-05
65.000000,9.92505271741423584e-02,4.98055742129062021e-05
65.500000,9.92590615701396950e-02,1.29795064711203366e-05
66.000000,9.92416207189532051e-02,2.11950010286873074e-05
66.500000,9.92317230891503615e-02,1.85422345890698761e-05
67.000000,9.92007209682463226e-02,5.09008553037625788e-05
67.500000,9.92113647893458905e-02,1.33533721654671002e-05
68.000000,9.92015292992026732e-02,1.76142393322628748e-05
68.500000,9.91740352449077545e-02,4.64724339883134039e-05
69.000000,9.91601038688256775e-02,5.35034082946841264e-05
