theta_deg,response_magnitude,response_magnitude_std
0.000000,1.17158696094918677e-01,2.75571752131926139e-04
0.500000,1.17428598536372247e-01,6.45046843814515319e-10
1.000000,1.17412249646090677e-01,1.00485861848011874e-06
1.500000,1.17390888417452502e-01,8.55938856489533264e-06
2.000000,1.17344590136027702e-01,2.89694370480226629e-06
2.500000,1.17301761088603906e-01,2.06268750011014196e-05
3.000000,1.17249526222140299e-01,2.88526730009194697e-05
3.500000,1.17204926112864719e-01,3.11368243740305748e-05
4.000000,1.17143682638135849e-01,4.95383237433205350e-05
4.500000,1.17076047533315075e-01,6.23006192169453071e-05
5.000000,1.16993447603515890e-01,8.08801663536018309e-05
5.500000,1.16900393411416809e-01,9.44453920331609877e-05
6.000000,1.16790311642622657e-01,1.09614131196969654e-04
6.500000,1.16671582398522544e-01,1.27933272331899324e-04
7.000000,1.16565742334613420e-01,1.28281498050051098e-04
7.500000,1.16468981526380966e-01,1.27987552037209110e-04
8.000000,1.16360667281545344e-01,1.27353115931245830e-04
8.500000,1.16242997051958244e-01,1.28636865526159864e-04
9.000000,1.16101320738113800e-01,1.38567468470960378e-04
9.500000,1.15952293667559214e-01,1.48842963412623518e-04
10.000000,1.15811949273466344e-01,1.59864178643339094e-04
10.500000,1.15712383764813687e-01,1.16680740008271119e-04
11.000000,1.15591194646511852e-01,8.72225579741255753e-05
11.500000,1.15446854421976663e-01,6.14964813049764331e-05
12.000000,1.15260344074063034e-01,7.21557018001770840e-05
12.500000,1.15027848797643439e-01,1.37126641915978354e-04
13.000000,1.14872037194038989e-01,1.16551273384184176e-04
13.500000,1.14730177092351782e-01,6.71424834022961263e-05
14.000000,1.14480741384134138e-01,1.15526737119096709e-04
14.500000,1.14296912340515866e-01,1.09797695340766647e-04
15.000000,1.14123990481387910e-01,5.91609749846544835e-05
15.500000,1.13831112752109942e-01,1.48704969697178448e-04
16.000000,1.13687430622334232e-01,6.14330922838029879e-05
16.500000,1.13423392561787351e-01,1.20526801015837987e-04
17.000000,1.13197244074459108e-01,8.75985481496721478e-05
17.500000,1.12995495940991619e-01,6.61529441494914712e-05
18.000000,1.12694580055266641e-01,1.38801675654687555e-04
18.500000,1.12405244202676460e-01,1.40295623801206488e-04
19.000000,1.12200840526811285e-01,9.41095120388832883e-05
19.500000,1.11970630774459678e-01,7.11260002867256498e-05
20.000000,1.11714290274582642e-01,6.36191877467869640e-05
20.500000,1.11440060134577384e-01,6.61405716322895857e-05
21.000000,1.11143437625480221e-01,8.06075280009530004e-05
21.500000,1.10818644383166701e-01,1.08937600952786426e-04
22.000000,1.10526972679170291e-01,1.58617019667313218e-04
22.500000,1.10313273912479803e-01,6.73391495684368731e-05
23.000000,1.10004817791956103e-01,7.05010633629354444e-05
23.500000,1.09708260004560937e-01,8.61543901938844481e-05
24.000000,1.09386694689844105e-01,7.95645471846773150e-05
24.500000,1.09106464066244760e-01,7.18427809590930832e-05
25.000000,1.08755123241418006e-01,1.15926048986586151e-04
25.500000,1.08437485224045491e-01,8.63499827841516902e-05
26.000000,1.08168691583580029e-01,5.63681268920162491e-05
26.500000,1.07835379919347468e-01,6.43849091914819609e-05
27.000000,1.07522102588013702e-01,5.63309122752385171e-05
27.500000,1.07140016195311549e-01,8.23693521876892872e-05
28.000000,1.06855802798879171e-01,7.98228872861847337e-05
28.500000,1.06542761131088196e-01,4.79238724891234720e-05
29.000000,1.06148821396937612e-01,9.78589610876397269e-05
29.500000,1.05873490767765630e-01,4.80905281730327236e-05
30.000000,1.05541834593797998e-01,4.06816021772674608e-05
30.500000,1.05186596612093328e-01,7.34271386904764212e-05
31.000000,1.04853156799409292e-01,6.35676937614014184e-05
31.500000,1.04518659285694954e-01,6.11902712870779277e-05
32.000000,1.04199721122575223e-01,2.73964701944368118e-05
32.500000,1.03872285775347697e-01,2.39427526406406769e-05
33.000000,1.03483599673234408e-01,8.70212511675396263e-05
33.500000,1.03220608111236858e-01,8.07372820693673069e-06
34.000000,1.02896448727994749e-01,4.49116705451137370e-06
34.500000,1.02544537187873944e-01,3.01744692841555378e-05
35.000000,1.02260106412868396e-01,2.44193506548569520e-05
35.500000,1.01948409671588539e-01,3.76506806565276349e-05
36.000000,1.01625807425011816e-01,7.19809989952703219e-05
36.500000,1.01365220878321186e-01,3.49864052393524642e-05
37.000000,1.01052292108996439e-01,7.70456063413590714e-05
37.500000,1.00787311293272397e-01,7.45932791368393436e-05
38.000000,1.00537743058454559e-01,6.25769624606910252e-05
38.500000,1.00313270805699614e-01,1.56551225436183887e-05
39.000000,9.99573363952289129e-02,1.27862957196343390e-04
39.500000,9.98478131350245546e-02,1.27036566468047377e-05
40.000000,9.96032988742952263e-02,6.45694544741595841e-05
40.500000,9.94230090053698501e-02,3.87296278404696242e-05
41.000000,9.92052070242618322e-02,7.46902085732642013e-05
41.500000,9.89789902347611023e-02,1.11857098618771918e-04
42.000000,9.88593396991884754e-02,8.92440710589030258e-05
42.500000,9.86786004148424156e-02,1.12044603195376460e-04
43.000000,9.86602283334795938e-02,3.99335814478215840e-05
43.500000,9.85629439833324017e-02,3.74901066661371472e-05
44.000000,9.84173774888535136e-02,8.68221592677125605e-05
44.500000,9.84379830096450137e-02,7.46759724245205834e-06
45.000000,1.05300021744172148e-01,6.28244557085733146e-04
45.500000,9.84379830096449998e-02,7.46759724246281651e-06
46.000000,9.84173774888535968e-02,8.68221592676696939e-05
46.500000,9.85629439833324295e-02,3.74901066661167235e-05
47.000000,9.86602283334796215e-02,3.99335814477926425e-05
47.500000,9.86786004148424434e-02,1.12044603195366919e-04
48.000000,9.88593396991884754e-02,8.92440710589192753e-05
48.500000,9.89789902347610884e-02,1.11857098618799511e-04
49.000000,9.92052070242618322e-02,7.46902085732876743e-05
49.500000,9.94230090053698778e-02,3.87296278404564783e-05
50.000000,9.96032988742952263e-02,6.45694544741712393e-05
50.500000,9.98478131350245685e-02,1.27036566468098877e-05
