theta_deg,response_magnitude,response_magnitude_std
0.000000,1.05871051408960387e-01,1.94500853124145612e-04
0.500000,1.06066305189250518e-01,2.79118050567031703e-10
1.000000,1.06069652750621732e-01,1.32558499269440973e-06
1.500000,1.06076316836350673e-01,4.75578161860500967e-06
2.000000,1.06085783431579928e-01,5.01309165810435143e-06
2.500000,1.06098451828226331e-01,1.21906795020316091e-05
3.000000,1.06119627021016794e-01,1.49208860949313681e-05
3.500000,1.06142149264347369e-01,1.80462566116000616e-05
4.000000,1.06171062812518591e-01,2.11650565573092592e-05
4.500000,1.06202951072414870e-01,2.50692422771433006e-05
5.000000,1.06243956277702140e-01,2.51563024427677847e-05
5.500000,1.06289376189305507e-01,2.88736343076618284e-05
6.000000,1.06335986560035067e-01,3.06788375485763986e-05
6.500000,1.06389719145927417e-01,3.34467304414420031e-05
7.000000,1.06443912664935234e-01,3.42256642964798154e-05
7.500000,1.06509114422365631e-01,3.21004803082583498e-05
8.000000,1.06579867511862131e-01,3.27761745175121215e-05
8.500000,1.06644297685934614e-01,3.73703903074380247e-05
9.000000,1.06708509545173941e-01,3.53125226040077001e-05
9.500000,1.06784502323756608e-01,2.94116100546416165e-05
10.000000,1.06866049335123878e-01,3.00011563523251667e-05
10.500000,1.06948240322719351e-01,3.33760702089165142e-05
11.000000,1.07025455579641285e-01,3.43339158310592080e-05
11.500000,1.07110154079147604e-01,3.22156410507913371e-05
12.000000,1.07190805450052565e-01,2.58321622914034429e-05
12.500000,1.07288978801519455e-01,2.98857353865217946e-05
13.000000,1.07380125475082314e-01,3.08027501794949339e-05
13.500000,1.07452856406757044e-01,2.66659165255628073e-05
14.000000,1.07550435752281376e-01,2.94910101117561854e-05
14.500000,1.07625125509211522e-01,2.11408289710516142e-05
15.000000,1.07719127249859659e-01,2.94061613494333997e-05
15.500000,1.07792943597397245e-01,3.42339370300416486e-05
16.000000,1.07881659002070612e-01,1.75597996790657664e-05
16.500000,1.07963197572445074e-01,1.14582280540712763e-05
17.000000,1.08048978293079578e-01,1.28070220909851330e-05
17.500000,1.08120633438383407e-01,1.79406763602411476e-05
18.000000,1.08203839243322913e-01,2.54692143604509794e-05
18.500000,1.08277031651378169e-01,2.01417848650969959e-05
19.000000,1.08352395663156298e-01,8.69749459728111492e-06
19.500000,1.08425240377152787e-01,1.42080711333646068e-05
20.000000,1.08489162590507518e-01,2.84007016031445282e-05
20.500000,1.08557472069956334e-01,3.30523488043991498e-05
21.000000,1.08622448109175790e-01,3.47516111342076656e-05
21.500000,1.08677237622100936e-01,3.92041240845975158e-05
22.000000,1.08740695328830753e-01,4.10599415674875939e-05
22.500000,1.08797432279456485e-01,5.88136123957387413e-05
23.000000,1.08854469743798810e-01,3.32831149480881637e-05
23.500000,1.08915282415565209e-01,2.77187306983695457e-05
24.000000,1.08987878404843197e-01,2.54739968235332508e-05
24.500000,1.09018918554590089e-01,4.08357222622436294e-05
25.000000,1.09051432530139908e-01,4.70094857556206875e-05
25.500000,1.09117106276297476e-01,3.62685972992542928e-05
26.000000,1.09154596061211487e-01,3.04186764017554434e-05
26.500000,1.09198212261330141e-01,5.60195687309915415e-05
27.000000,1.09285573800940186e-01,1.28565342600946930e-05
27.500000,1.09367238832601826e-01,1.67680957155802568e-05
28.000000,1.09439485771406872e-01,3.59269221973013394e-05
28.500000,1.09523721831064430e-01,4.42758992813066057e-05
29.000000,1.09603606099446652e-01,6.51883126372331591e-05
29.500000,1.09663625745556603e-01,9.67127654442225915e-05
30.000000,1.09796006629610532e-01,9.65213123047452493e-05
30.500000,1.09876072827231719e-01,1.36096751625848522e-04
31.000000,1.09980484112242247e-01,1.26607530935678170e-04
31.500000,1.10077285233779840e-01,1.29663002944135165e-04
32.000000,1.10147976995892252e-01,1.74346920843390825e-04
32.500000,1.10245331295399582e-01,1.09051705846566644e-04
33.000000,1.10264384656800857e-01,1.84478856791748651e-04
33.500000,1.10426845720773548e-01,1.45773900213795707e-04
34.000000,1.10500437552973368e-01,1.89477683943158092e-04
34.500000,1.10561002064248112e-01,1.44499606845184753e-04
35.000000,1.10681605903936664e-01,1.78072228492103370e-04
35.500000,1.10768742319118471e-01,1.08406731530475293e-04
36.000000,1.10788026739838077e-01,1.61172361752765121e-04
36.500000,1.10929570557532040e-01,1.35550519078993427e-04
37.000000,1.11022152163302093e-01,1.29572980025977036e-04
37.500000,1.11100004817914905e-01,1.16518778432691297e-04
38.000000,1.11162810791241240e-01,1.26499934392181409e-04
38.500000,1.11246774262508633e-01,6.52547869374356073e-05
39.000000,1.11269974015914624e-01,8.91085760787771984e-05
39.500000,1.11379111345950785e-01,4.93374027477226830e-05
40.000000,1.11450596702377780e-01,4.71259258824765570e-05
40.500000,1.11533998253521754e-01,4.46521768326843228e-06
41.000000,1.11623886175644588e-01,2.46556741305227871e-05
41.500000,1.11632275696431096e-01,1.11071460235427074e-04
42.000000,1.11737026306689566e-01,9.61189307753928802e-05
42.500000,1.11793774657684003e-01,1.27654869713225315e-04
43.000000,1.11959979633946577e-01,9.91865060038948535e-05
43.500000,1.12060981877421098e-01,1.28555751110639971e-04
44.000000,1.12041595676280026e-01,1.69949428732354654e-04
44.500000,1.12223074953609114e-01,1.58397334975224542e-04
45.000000,1.12252506875912067e-01,1.67855885277103805e-04
45.500000,1.10441321224877403e-01,1.28359013094603454e-04
46.000000,1.10319325634460924e-01,7.94517109861073997e-05
46.500000,1.10022793133545183e-01,1.19401905383703668e-04
47.000000,1.09867710516813877e-01,6.84980338911974593e-05
47.500000,1.09653968559520143e-01,1.25990526082468148e-04
48.000000,1.09451543356368031e-01,1.19814783437023631e-04
48.500000,1.09253062194463624e-01,6.28604177610387526e-05
49.000000,1.09028769036801879e-01,9.76714738990490925e-05
49.500000,1.08905715431096811e-01,7.92014185577858592e-05
50.000000,1.08646524693663607e-01,1.22062019068444602e-04
50.500000,1.08554750838404476e-01,8.70828632276049203e-05
51.000000,1.08374439899311933e-01,9.22130774205251566e-05
51.500000,1.08195655981656702e-01,9.22383766002693819e-05
52.000000,1.08029061341379060e-01,1.27337790582132383e-04
52.500000,1.07913394829197540e-01,1.14343770841770270e-04
53.000000,1.07815240967554293e-01,8.66567213422803870e-05
53.500000,1.07772638400248130e-01,3.93102235471343302e-05
54.000000,1.07698038611432248e-01,3.11741458407193195e-05
54.500000,1.07629064264890204e-01,1.81790371595432070e-05
55.000000,1.07583897326993819e-01,3.42611746662804519e-05
55.500000,1.07545800710080020e-01,6.16466869765129876e-05
56.000000,1.07495100119743711e-01,6.89761069074842334e-05
56.500000,1.07460867544420163e-01,8.90728984642055039e-05
57.000000,1.07508727074033500e-01,7.73693615521025581e-05
57.500000,1.07522237385917221e-01,6.23464033103759567e-05
58.000000,1.07528434952044255e-01,4.96999186480294724e-05
58.500000,1.07550837322496318e-01,4.52245407516651654e-05
59.000000,1.07594432316000410e-01,3.39364784631851772e-05
59.500000,1.07644712824331704e-01,2.36792474059683130e-05
60.000000,1.07690575657715240e-01,4.93282936045854337e-05
60.500000,1.07760916317862193e-01,3.25684363678744150e-05
61.000000,1.07814150023011868e-01,5.16553263928200108e-05
61.500000,1.07891968630305285e-01,6.84351685175563321e-05
62.000000,1.07939166510276463e-01,6.78386738529469357e-05
62.500000,1.08025720854941776e-01,6.67689501380328080e-05
63.000000,1.08096119658862622e-01,7.67686078156776117e-05
63.500000,1.08171800816293850e-01,8.16488663088661297e-05
64.000000,1.08267113783886024e-01,7.64754500677877687e-05
64.500000,1.08365814219541612e-01,5.61908152429433456e-05
65.000000,1.08435168379916222e-01,8.53233209840820699e-05
65.500000,1.08561042344576295e-01,4.19896801188289858e-05
66.000000,1.08655827575226599e-01,3.90252688395664260e-05
66.500000,1.08754107856125742e-01,4.60657407632118928e-05
67.000000,1.08825346022872194e-01,7.74584060381522545e-05
67.500000,1.08917291519209439e-01,8.45915707451119287e-05
68.000000,1.09028864110308626e-01,6.35297740821157429e-05
68.500000,1.09100719826606296e-01,1.09994214852428076e-04
69.000000,1.09204702856052438e-01,9.53427501383267767e-05
69.500000,1.09295888496204946e-01,8.88906842214822314e-05
70.000000,1.09382986803241752e-01,9.58111803927246783e-05
70.500000,1.09469304564000544e-01,1.05068452934675244e-04
71.000000,1.09577456691046071e-01,8.07191298608615228e-05
71.500000,1.09663737738881870e-01,8.36665498142371970e-05
72.000000,1.09732197251954613e-01,9.93378062920446470e-05
72.500000,1.09820347560474291e-01,1.13269500498155428e-04
73.000000,1.09919513349079401e-01,8.83627679051467293e-05
73.500000,1.10000397164051258e-01,9.37772586553976172e-05
74.000000,1.10076346150932494e-01,1.01997430913819932e-04
74.500000,1.10136354572093365e-01,1.15664285147679214e-04
75.000000,1.10222550933730623e-01,9.89901205044047531e-05
75.500000,1.10293253674751957e-01,1.07650158773800044e-04
76.000000,1.10346777275812963e-01,1.29115402839902101e-04
76.500000,1.10413847367219500e-01,1.23051881001298442e-04
77.000000,1.10481712156099143e-01,1.08811220298057004e-04
77.500000,1.10511520224370954e-01,1.57039759408410761e-04
78.000000,1.10593874944141954e-01,1.11056603744646645e-04
78.500000,1.10635557884618277e-01,1.32760053249323404e-04
79.000000,1.10665558620547583e-01,1.58340025179370801e-04
79.500000,1.10734495298671271e-01,1.17646972124632073e-04
80.000000,1.10767741179202434e-01,1.28950852237890654e-04
80.500000,1.10797586004529880e-01,1.46469368722559575e-04
81.000000,1.10810201195522179e-01,1.70603247845567196e-04
81.500000,1.10840387889958009e-01,1.79162934835388858e-04
82.000000,1.10855860597037587e-01,1.88240781606965240e-04
82.500000,1.10880882937539380e-01,1.82948849272929296e-04
83.000000,1.10894322880340901e-01,1.76033997960509152e-04
83.500000,1.10914727974591107e-01,1.60818930225090794e-04
84.000000,1.10920745314761898e-01,1.51393845605999656e-04
84.500000,1.10922473049329201e-01,1.50217370035154063e-04
85.000000,1.10903489812240588e-01,1.73819626211418573e-04
85.500000,1.10871027653951695e-01,2.15844309560000140e-04
86.000000,1.10862192411164795e-01,1.94496757900668225e-04
86.500000,1.10851387791777264e-01,1.63525683410648063e-04
87.000000,1.10820667735407524e-01,1.68768975161664330e-04
