theta_deg,response_magnitude,response_magnitude_std
0.000000,9.46385361053750929e-02,9.66338364845714502e-05
0.500000,9.47472359211124354e-02,8.92123200162688968e-08
1.000000,9.47841681008424058e-02,2.30693128685332426e-07
1.500000,9.48455884925279713e-02,2.48935566946849176e-07
2.000000,9.49312290058235975e-02,7.05144132478894446e-10
2.500000,9.50429839836714890e-02,1.63384468537322889e-06
3.000000,9.51755451683144460e-02,1.69528984810796533e-10
3.500000,9.53351868783052919e-02,2.94075824608957439e-06
4.000000,9.55172610642731207e-02,2.51211790371446582e-06
4.500000,9.57237583422568122e-02,4.95985083413210569e-06
5.000000,9.59469895597605676e-02,3.44733790013111505e-06
5.500000,9.61959044333628721e-02,5.65828815944902363e-06
6.000000,9.64655373616546408e-02,3.42517780209362212e-06
6.500000,9.67546293609798103e-02,5.60778707416484556e-06
7.000000,9.70640924627383106e-02,8.03879485594571619e-06
7.500000,9.73844006286971042e-02,4.49565202108407344e-06
8.000000,9.77264673668761102e-02,5.87735845576911990e-06
8.500000,9.80863681851456559e-02,9.12407504118107448e-06
9.000000,9.84620004105179747e-02,7.73495239662093800e-06
9.500000,9.88494992086141749e-02,5.17837147162059288e-06
10.000000,9.92478334617801355e-02,4.08854233035527604e-06
10.500000,9.96564339263513038e-02,2.41941577288265461e-06
11.000000,1.00080569268803501e-01,3.75661082248465387e-06
11.500000,1.00513849326908045e-01,4.97778614638021652e-06
12.000000,1.00958364747372908e-01,8.12936462194930194e-06
12.500000,1.01405889248761191e-01,8.67008333382896807e-06
13.000000,1.01857379572247525e-01,3.65681130185915282e-06
13.500000,1.02325201275420580e-01,7.49439403093051093e-06
14.000000,1.02795866580898537e-01,7.88479005722699818e-06
14.500000,1.03262272894121140e-01,5.57733507171291185e-06
15.000000,1.03737729793550074e-01,2.24977893354450980e-06
15.500000,1.04224756831647669e-01,7.69752561849626725e-06
16.000000,1.04700630004906453e-01,6.34260199166350396e-06
16.500000,1.05182746105427993e-01,4.37131556252810587e-06
17.000000,1.05664371936157769e-01,1.28031891716790110e-07
17.500000,1.06150838795116276e-01,2.60660341319664013e-06
18.000000,1.06636894474877120e-01,5.41220509741795634e-06
18.500000,1.07117634955397237e-01,4.05880339693022179e-06
19.000000,1.07599256542743299e-01,2.89291585656886584e-06
19.500000,1.08077849630203837e-01,3.62634533494594885e-06
20.000000,1.08554334017480700e-01,2.67214573461876974e-06
20.500000,1.09029122203754728e-01,4.52684375607436560e-06
21.000000,1.09499974120050969e-01,4.11490182020862805e-06
21.500000,1.09964657401055793e-01,4.91704899668934248e-06
22.000000,1.10424139394868268e-01,3.19827173700642582e-06
22.500000,1.10881153826821482e-01,2.76258114778421099e-06
23.000000,1.11332167044579322e-01,5.09360196502780816e-06
23.500000,1.11776691202639569e-01,3.82781219343657823e-06
24.000000,1.12214639823676687e-01,2.10106980038880191e-06
24.500000,1.12647714676214969e-01,3.51777684576019956e-06
25.000000,1.13073860736750978e-01,4.22202150619964086e-06
25.500000,1.13492307927918937e-01,3.82249910924127848e-06
26.000000,1.13903028097836936e-01,2.78343310707579656e-06
26.500000,1.14307468751802532e-01,4.11359986865584982e-06
27.000000,1.14703167870789879e-01,4.03893288734602732e-06
27.500000,1.15090453032919163e-01,2.30437689675418920e-06
28.000000,1.15468060430458819e-01,9.97424094485298337e-07
28.500000,1.15840246200523925e-01,3.34564660754523932e-06
29.000000,1.16199758875232290e-01,8.67066307481735369e-07
29.500000,1.16552706547853699e-01,2.05692854677754507e-06
30.000000,1.16896025922726104e-01,2.41515806687523058e-06
30.500000,1.17229474048646795e-01,2.30594584274749162e-06
31.000000,1.17551511570412978e-01,3.16311936524711010e-07
31.500000,1.17866545321943517e-01,2.35088266552358910e-06
32.000000,1.18170530191208517e-01,1.38822646321095469e-06
32.500000,1.18463971057111053e-01,1.98996421148128358e-06
33.000000,1.18746189123314264e-01,1.86541699739002383e-06
33.500000,1.19018684553385268e-01,1.77869247545733059e-06
34.000000,1.19282875964931076e-01,4.13097847884195497e-06
34.500000,1.19530679290626829e-01,2.49531782572428608e-11
35.000000,1.19774089043581444e-01,3.20401936279706084e-06
35.500000,1.20000223249513482e-01,2.69082813106621236e-07
