theta_deg,response_magnitude,response_magnitude_std
0.000000,1.03420217950746782e-01,2.06745344404451938e-04
0.500000,1.03628018278449002e-01,4.83988775818501857e-10
1.000000,1.03630935186825118e-01,2.53917529505213288e-08
1.500000,1.03635727162549873e-01,5.16783503913332569e-10
2.000000,1.03642463582918787e-01,1.46400340359528176e-09
2.500000,1.03651118369734035e-01,7.37121963547447528e-11
3.000000,1.03661680564157893e-01,3.34401777438409539e-10
3.500000,1.03674151558632091e-01,1.67159716698291578e-08
4.000000,1.03688671464998466e-01,3.01290544844684530e-07
4.500000,1.03704740136601192e-01,1.67672485931354795e-09
5.000000,1.03722855154808974e-01,1.12840227373742528e-09
5.500000,1.03742832726903905e-01,1.82332380656901227e-10
6.000000,1.03764855964050051e-01,3.41689442509324642e-07
6.500000,1.03789720437526156e-01,1.06092304873746949e-06
7.000000,1.03813801783007531e-01,1.12192832428264758e-10
7.500000,1.03842206606331505e-01,1.94479938064022464e-06
8.000000,1.03871598816338548e-01,2.52436972286827017e-06
8.500000,1.03901850879928787e-01,1.53945169608386171e-06
9.000000,1.03934950964527872e-01,1.49100857919717285e-06
9.500000,1.03969782614736467e-01,2.02137515430457792e-06
10.000000,1.04006314686966972e-01,2.21258089108296183e-06
10.500000,1.04045779798795354e-01,3.15269983542677865e-06
11.000000,1.04085454672928387e-01,5.10993607421465104e-06
11.500000,1.04130759934667097e-01,5.57200244235412281e-06
12.000000,1.04166701221452690e-01,3.75784818809395643e-06
12.500000,1.04213283351571789e-01,4.26657153547699445e-06
13.000000,1.04267015540876973e-01,6.69386374979086459e-06
13.500000,1.04302055299951138e-01,2.64332805855728848e-06
14.000000,1.04365193031011966e-01,1.03186143835134637e-05
14.500000,1.04417543867619575e-01,9.04624268977403485e-06
15.000000,1.04454703632018225e-01,7.45886884401603764e-06
15.500000,1.04514153722667175e-01,1.05653872095906727e-05
16.000000,1.04577038836959263e-01,7.37471067956696762e-06
16.500000,1.04629210878974671e-01,9.54080526133145216e-06
17.000000,1.04686817428837911e-01,9.44584235803608357e-06
17.500000,1.04745232789943202e-01,1.41354900422457714e-05
18.000000,1.04817816215734938e-01,2.60533290874787602e-05
18.500000,1.04871153634930797e-01,1.20860255369262105e-05
19.000000,1.04937438692810608e-01,2.97967971451211461e-05
19.500000,1.04999774879819777e-01,2.09943376413717869e-05
20.000000,1.05067280958466513e-01,2.15976644489143565e-05
20.500000,1.05137824300736427e-01,1.94037040330491888e-05
21.000000,1.05203237874786679e-01,2.44786675091991719e-05
21.500000,1.05269016382018160e-01,2.52229010525349364e-05
22.000000,1.05335697997014852e-01,2.84490565166482626e-05
22.500000,1.05414344032384338e-01,2.31239889380533405e-05
23.000000,1.05490769413162780e-01,2.90534887072503350e-05
23.500000,1.05545375251909435e-01,3.33382416713366817e-05
24.000000,1.05620438204727940e-01,4.55437218916423167e-05
24.500000,1.05681378125553241e-01,3.42138271740343521e-05
25.000000,1.05776540023077972e-01,3.11442898843503890e-05
25.500000,1.05849645617879948e-01,3.13242625936437156e-05
26.000000,1.05914061932747286e-01,3.27893598703090833e-05
26.500000,1.05985175097095333e-01,3.50046275289668451e-05
27.000000,1.06052894151067945e-01,3.23757635199548082e-05
27.500000,1.06139033718390868e-01,2.18237806890458371e-05
28.000000,1.06197389606064313e-01,3.54061962575300294e-05
28.500000,1.06272922442009393e-01,2.90109491419752727e-05
29.000000,1.06342155996226512e-01,2.58430025603745568e-05
29.500000,1.06406235367900906e-01,2.02472665351602497e-05
30.000000,1.06476834986175675e-01,1.87463421722047004e-05
30.500000,1.06532849426520859e-01,2.49696339578270210e-05
31.000000,1.06600970815207974e-01,1.90334088169014154e-05
31.500000,1.06660803056173648e-01,2.25750753792686770e-05
32.000000,1.06719360239130340e-01,3.04508105445353342e-05
32.500000,1.06775321692338138e-01,2.79020003716502151e-05
33.000000,1.06827247713992476e-01,3.84984163212206309e-05
33.500000,1.06891435249850356e-01,4.04519283884026564e-05
34.000000,1.06944570380069992e-01,4.75969516469692584e-05
34.500000,1.06967314373547243e-01,4.95662564647503286e-05
35.000000,1.07036705590339051e-01,6.75668136913559086e-05
35.500000,1.07078600569062113e-01,7.83068518531078472e-05
36.000000,1.07167114385024659e-01,4.50905811737296148e-05
36.500000,1.07197323298175468e-01,7.43701281860407966e-05
37.000000,1.07277383007396462e-01,3.72527437365255265e-05
37.500000,1.07338070078859829e-01,1.35652762999307156e-05
38.000000,1.07388668584261840e-01,2.25928574719699880e-05
38.500000,1.07402459764868133e-01,7.96916629366050322e-05
39.000000,1.07495158170379301e-01,2.15176645261380089e-05
39.500000,1.07450381117782795e-01,1.23070001291351492e-04
40.000000,1.07564964965615240e-01,7.80448270278785402e-05
40.500000,1.07552015620017108e-01,1.27281865889495904e-04
