theta_deg,response_magnitude,response_magnitude_std
0.000000,1.01954476440538080e-01,1.85348304858866153e-04
0.500000,1.02138870055074410e-01,4.33605879192995630e-10
1.000000,1.02136908976729307e-01,1.03097939788722410e-06
1.500000,1.02133169166887056e-01,2.15360519890898623e-06
2.000000,1.02126355897798116e-01,3.29471400069825410e-06
2.500000,1.02122572390717037e-01,6.23015036845971319e-06
3.000000,1.02118798484725576e-01,6.90296642462438185e-06
3.500000,1.02114926878582965e-01,1.04404019668557512e-05
4.000000,1.02110614721593773e-01,1.55706532359423095e-05
4.500000,1.02105866134304613e-01,1.84256633606510648e-05
5.000000,1.02097753187072038e-01,1.85376046227889885e-05
5.500000,1.02093875417556920e-01,1.90463773324189965e-05
6.000000,1.02094277980276552e-01,1.70977393148142865e-05
6.500000,1.02100645554023969e-01,1.70497183541761099e-05
7.000000,1.02098571806704813e-01,1.77034280080691752e-05
7.500000,1.02103116914390044e-01,1.34117492479565300e-05
8.000000,1.02105695669147734e-01,1.47260729929570691e-05
8.500000,1.02107257957816500e-01,1.75706439476870193e-05
9.000000,1.02109591792455989e-01,1.99326129381002638e-05
9.500000,1.02114037397725621e-01,2.01709419697727231e-05
10.000000,1.02115100682703075e-01,2.28048949923368781e-05
10.500000,1.02115118253446727e-01,2.22717684093724650e-05
11.000000,1.02114869796138596e-01,2.23375116773325196e-05
11.500000,1.02126528678053469e-01,3.21408007097133438e-05
12.000000,1.02139101164536755e-01,3.99301305329028924e-05
12.500000,1.02155812926759473e-01,1.47242882673069314e-05
13.000000,1.02178073262815680e-01,1.82518081720699987e-05
13.500000,1.02161026696780649e-01,3.74536845436875245e-05
14.000000,1.02192189125376670e-01,2.36449459078962872e-05
14.500000,1.02224353197596179e-01,2.02028480039757427e-05
15.000000,1.02216539048350513e-01,5.25823731643820842e-05
15.500000,1.02255301470214929e-01,2.56595575457848493e-05
16.000000,1.02264188716832502e-01,3.72180736319870450e-05
16.500000,1.02299144162727229e-01,2.54758211668125189e-05
17.000000,1.02310640252281232e-01,4.70203069860218560e-05
17.500000,1.02341014492398560e-01,2.52540595497964726e-05
18.000000,1.02377874363660762e-01,1.90790546534224413e-05
18.500000,1.02399657431862384e-01,1.80261487334411955e-05
19.000000,1.02425654547584982e-01,3.82189363329981955e-05
19.500000,1.02451315380304220e-01,3.06748950794466215e-05
20.000000,1.02482318595744720e-01,3.51396162153851525e-05
20.500000,1.02516443953720005e-01,3.76391558454779309e-05
21.000000,1.02553536595696937e-01,3.87951532247535541e-05
21.500000,1.02602964526644996e-01,3.27598755625882886e-05
22.000000,1.02648811378227789e-01,1.78013895439195256e-05
22.500000,1.02697441153699304e-01,1.42255235224770329e-05
23.000000,1.02707523097804759e-01,5.45830986736918258e-05
23.500000,1.02780907350222217e-01,2.06342660662873452e-05
24.000000,1.02818061133931229e-01,3.54138415686284795e-05
24.500000,1.02880402912518432e-01,2.09187549847145728e-05
25.000000,1.02927078065014652e-01,3.37774890741655574e-05
25.500000,1.02972381308871069e-01,3.21344293605822860e-05
26.000000,1.03040361491609528e-01,2.35332770077814690e-05
26.500000,1.03104271637567801e-01,3.88967323699864857e-06
27.000000,1.03154773994060117e-01,1.96652625132803927e-05
27.500000,1.03210559633629448e-01,2.22601183163477101e-05
28.000000,1.03268325608071643e-01,3.05819458165746004e-05
28.500000,1.03334114242834035e-01,2.08537085069433932e-05
29.000000,1.03394719585379727e-01,2.38175087563948641e-05
29.500000,1.03457667457818564e-01,3.51656901698234588e-05
30.000000,1.03530813026880386e-01,2.28271525810469286e-05
30.500000,1.03586862042500769e-01,4.08626547162483752e-05
31.000000,1.03666281319298281e-01,3.32254991075313201e-05
31.500000,1.03731666902323910e-01,3.86684975708210827e-05
32.000000,1.03807715194604036e-01,2.89811025304263751e-05
32.500000,1.03884614827918012e-01,3.47836260060665461e-05
33.000000,1.03963231324346664e-01,2.45180526854428527e-05
33.500000,1.04025010579876051e-01,3.49497494538008720e-05
34.000000,1.04117844910072782e-01,2.43140682665293021e-05
34.500000,1.04192573920574086e-01,3.91517349240782641e-05
35.000000,1.04281462795994748e-01,2.21516310058626958e-05
35.500000,1.04324046475002985e-01,7.65127689507626987e-05
36.000000,1.04429572485131961e-01,6.02187613810767485e-05
36.500000,1.04536793462771116e-01,2.10764233864841829e-05
37.000000,1.04606372749492874e-01,5.63483607204050399e-05
37.500000,1.04674085493051350e-01,7.94887521253366704e-05
38.000000,1.04781327831470469e-01,6.13688692673353039e-05
38.500000,1.04896929094451974e-01,1.03081960406826737e-05
39.000000,1.04971431686652197e-01,5.27073765297785769e-05
39.500000,1.05007434480623635e-01,1.06573657029025259e-04
40.000000,1.05176520580389482e-01,1.43804675759642577e-05
40.500000,1.05191883563989660e-01,1.10487249140096128e-04
41.000000,1.05360480727232225e-01,3.76331854571427293e-05
41.500000,1.05465380696085326e-01,1.90949550203002995e-05
42.000000,1.05565259855872978e-01,2.00928959809479906e-05
42.500000,1.05669227012911635e-01,4.97896511018733146e-06
43.000000,1.05738319543644779e-01,6.63905243581307204e-05
43.500000,1.05857127172458237e-01,4.76329816631125880e-05
44.000000,1.05966454155692877e-01,3.94488593406550035e-05
44.500000,1.06060473745539369e-01,5.29103584928631890e-05
45.000000,1.08141173766244741e-01,3.23182582357880923e-04
45.500000,1.06060473745539424e-01,5.29103584928634668e-05
46.000000,1.05966454155692918e-01,3.94488593406308190e-05
46.500000,1.05857127172458293e-01,4.76329816631305248e-05
47.000000,1.05738319543644821e-01,6.63905243581214776e-05
47.500000,1.05669227012911704e-01,4.97896511022065966e-06
48.000000,1.05565259855873048e-01,2.00928959809615973e-05
48.500000,1.05465380696085367e-01,1.90949550203243383e-05
49.000000,1.05360480727232253e-01,3.76331854571433798e-05
49.500000,1.05191883563989716e-01,1.10487249140096223e-04
50.000000,1.05176520580389496e-01,1.43804675759903835e-05
50.500000,1.05007434480623663e-01,1.06573657029025856e-04
51.000000,1.04971431686652267e-01,5.27073765297311769e-05
51.500000,1.04896929094452002e-01,1.03081960406780438e-05
52.000000,1.04781327831470539e-01,6.13688692673597527e-05
52.500000,1.04674085493051364e-01,7.94887521253299077e-05
53.000000,1.04606372749492929e-01,5.63483607203616718e-05
53.500000,1.04536793462771171e-01,2.10764233865071341e-05
54.000000,1.04429572485131988e-01,6.02187613810652086e-05
54.500000,1.04324046475003013e-01,7.65127689507583619e-05
55.000000,1.04281462795994775e-01,2.21516310058408491e-05
55.500000,1.04192573920574086e-01,3.91517349240891739e-05
56.000000,1.04117844910072810e-01,2.43140682665030848e-05
56.500000,1.04025010579876093e-01,3.49497494537960135e-05
57.000000,1.03963231324346692e-01,2.45180526854341621e-05
57.500000,1.03884614827917998e-01,3.47836260060593430e-05
58.000000,1.03807715194604036e-01,2.89811025304396159e-05
58.500000,1.03731666902323896e-01,3.86684975708376032e-05
59.000000,1.03666281319298309e-01,3.32254991075233919e-05
59.500000,1.03586862042500769e-01,4.08626547162716178e-05
60.000000,1.03530813026880414e-01,2.28271525809971332e-05
60.500000,1.03457667457818578e-01,3.51656901698127117e-05
61.000000,1.03394719585379713e-01,2.38175087564016099e-05
61.500000,1.03334114242834008e-01,2.08537085069467542e-05
62.000000,1.03268325608071629e-01,3.05819458165469397e-05
62.500000,1.03210559633629462e-01,2.22601183163409270e-05
63.000000,1.03154773994060103e-01,1.96652625132888597e-05
63.500000,1.03104271637567801e-01,3.88967323700896204e-06
64.000000,1.03040361491609514e-01,2.35332770077946725e-05
64.500000,1.02972381308871028e-01,3.21344293605981424e-05
65.000000,1.02927078065014652e-01,3.37774890741611528e-05
65.500000,1.02880402912518418e-01,2.09187549847245508e-05
66.000000,1.02818061133931202e-01,3.54138415686356894e-05
66.500000,1.02780907350222189e-01,2.06342660662767200e-05
67.000000,1.02707523097804718e-01,5.45830986737038401e-05
67.500000,1.02697441153699290e-01,1.42255235224681441e-05
68.000000,1.02648811378227747e-01,1.78013895439200305e-05
68.500000,1.02602964526644969e-01,3.27598755625785375e-05
69.000000,1.02553536595696923e-01,3.87951532247704135e-05
69.500000,1.02516443953719949e-01,3.76391558454791574e-05
70.000000,1.02482318595744665e-01,3.51396162153852271e-05
70.500000,1.02451315380304178e-01,3.06748950794450697e-05
71.000000,1.02425654547584927e-01,3.82189363330091120e-05
71.500000,1.02399657431862343e-01,1.80261487334355339e-05
72.000000,1.02377874363660692e-01,1.90790546534272254e-05
72.500000,1.02341014492398519e-01,2.52540595497999149e-05
73.000000,1.02310640252281204e-01,4.70203069860175056e-05
73.500000,1.02299144162727187e-01,2.54758211668361918e-05
74.000000,1.02264188716832460e-01,3.72180736319818747e-05
74.500000,1.02255301470214929e-01,2.56595575457828299e-05
75.000000,1.02216539048350485e-01,5.25823731643861703e-05
75.500000,1.02224353197596152e-01,2.02028480039763254e-05
76.000000,1.02192189125376642e-01,2.36449459079096060e-05
76.500000,1.02161026696780635e-01,3.74536845437123460e-05
77.000000,1.02178073262815611e-01,1.82518081720718249e-05
77.500000,1.02155812926759432e-01,1.47242882672990320e-05
78.000000,1.02139101164536686e-01,3.99301305328905867e-05
78.500000,1.02126528678053413e-01,3.21408007097268150e-05
79.000000,1.02114869796138569e-01,2.23375116773296296e-05
79.500000,1.02115118253446657e-01,2.22717684093758633e-05
80.000000,1.02115100682703033e-01,2.28048949923321551e-05
80.500000,1.02114037397725579e-01,2.01709419697793876e-05
81.000000,1.02109591792455962e-01,1.99326129380890186e-05
81.500000,1.02107257957816444e-01,1.75706439476992945e-05
82.000000,1.02105695669147678e-01,1.47260729929629356e-05
82.500000,1.02103116914389988e-01,1.34117492479604128e-05
83.000000,1.02098571806704799e-01,1.77034280080767985e-05
83.500000,1.02100645554023928e-01,1.70497183541832419e-05
84.000000,1.02094277980276510e-01,1.70977393148156554e-05
84.500000,1.02093875417556851e-01,1.90463773324091066e-05
85.000000,1.02097753187071982e-01,1.85376046227798508e-05
85.500000,1.02105866134304571e-01,1.84256633606652238e-05
86.000000,1.02110614721593732e-01,1.55706532359453181e-05
86.500000,1.02114926878582923e-01,1.04404019668489563e-05
87.000000,1.02118798484725520e-01,6.90296642462324259e-06
87.500000,1.02122572390716981e-01,6.23015036846197392e-06
88.000000,1.02126355897798060e-01,3.29471400069023905e-06
88.500000,1.02133169166887000e-01,2.15360519891935264e-06
89.000000,1.02136908976729238e-01,1.03097939789073251e-06
89.500000,1.02138870055074354e-01,4.33605867281058745e-10
90.000000,1.01954476440538080e-01,1.85348304858856883e-04
90.500000,1.02138870055074354e-01,4.33605881330444033e-10
91.000000,1.02136908976729252e-01,1.03097939787335902e-06
91.500000,1.02133169166887000e-01,2.15360519892284496e-06
92.000000,1.02126355897798032e-01,3.29471400068823963e-06
92.500000,1.02122572390716981e-01,6.23015036847013847e-06
93.000000,1.02118798484725520e-01,6.90296642462252515e-06
93.500000,1.02114926878582923e-01,1.04404019668560443e-05
94.000000,1.02110614721593745e-01,1.55706532359593247e-05
94.500000,1.02105866134304557e-01,1.84256633606568687e-05
95.000000,1.02097753187071996e-01,1.85376046227858037e-05
95.500000,1.02093875417556865e-01,1.90463773324042344e-05
96.000000,1.02094277980276496e-01,1.70977393148103428e-05
96.500000,1.02100645554023928e-01,1.70497183541832419e-05
97.000000,1.02098571806704785e-01,1.77034280080779708e-05
97.500000,1.02103116914389988e-01,1.34117492479433146e-05
98.000000,1.02105695669147664e-01,1.47260729929608299e-05
98.500000,1.02107257957816430e-01,1.75706439476904176e-05
99.000000,1.02109591792455962e-01,1.99326129380950224e-05
99.500000,1.02114037397725566e-01,2.01709419697848255e-05
100.000000,1.02115100682703019e-01,2.28048949923405170e-05
100.500000,1.02115118253446630e-01,2.22717684093745419e-05
101.000000,1.02114869796138541e-01,2.23375116773393128e-05
101.500000,1.02126528678053413e-01,3.21408007097045414e-05
102.000000,1.02139101164536700e-01,3.99301305328968412e-05
102.500000,1.02155812926759404e-01,1.47242882673128555e-05
103.000000,1.02178073262815639e-01,1.82518081720811490e-05
103.500000,1.02161026696780607e-01,3.74536845437137283e-05
104.000000,1.02192189125376628e-01,2.36449459078906595e-05
104.500000,1.02224353197596152e-01,2.02028480039736929e-05
105.000000,1.02216539048350485e-01,5.25823731643866514e-05
105.500000,1.02255301470214888e-01,2.56595575457897485e-05
106.000000,1.02264188716832474e-01,3.72180736319618509e-05
106.500000,1.02299144162727187e-01,2.54758211668055089e-05
107.000000,1.02310640252281176e-01,4.70203069860688493e-05
107.500000,1.02341014492398533e-01,2.52540595498001927e-05
108.000000,1.02377874363660720e-01,1.90790546533902303e-05
108.500000,1.02399657431862329e-01,1.80261487334345141e-05
109.000000,1.02425654547584954e-01,3.82189363329881869e-05
109.500000,1.02451315380304192e-01,3.06748950794405838e-05
110.000000,1.02482318595744692e-01,3.51396162153937109e-05
110.500000,1.02516443953719963e-01,3.76391558455036875e-05
111.000000,1.02553536595696909e-01,3.87951532247743301e-05
111.500000,1.02602964526644955e-01,3.27598755626046871e-05
112.000000,1.02648811378227761e-01,1.78013895439198069e-05
112.500000,1.02697441153699290e-01,1.42255235224541816e-05
113.000000,1.02707523097804704e-01,5.45830986736946109e-05
113.500000,1.02780907350222203e-01,2.06342660662724646e-05
114.000000,1.02818061133931202e-01,3.54138415686410901e-05
114.500000,1.02880402912518404e-01,2.09187549846967410e-05
115.000000,1.02927078065014638e-01,3.37774890741983071e-05
115.500000,1.02972381308871125e-01,3.21344293605456738e-05
116.000000,1.03040361491609500e-01,2.35332770078045422e-05
116.500000,1.03104271637567815e-01,3.88967323700210023e-06
117.000000,1.03154773994060117e-01,1.96652625132803927e-05
117.500000,1.03210559633629489e-01,2.22601183163205068e-05
118.000000,1.03268325608071657e-01,3.05819458165455099e-05
118.500000,1.03334114242834008e-01,2.08537085069447552e-05
119.000000,1.03394719585379741e-01,2.38175087563758533e-05
119.500000,1.03457667457818578e-01,3.51656901697893200e-05
120.000000,1.03530813026880358e-01,2.28271525810744944e-05
120.500000,1.03586862042500755e-01,4.08626547162882535e-05
121.000000,1.03666281319298309e-01,3.32254991075409695e-05
121.500000,1.03731666902323924e-01,3.86684975708287670e-05
122.000000,1.03807715194604050e-01,2.89811025304428008e-05
122.500000,1.03884614827917998e-01,3.47836260060744608e-05
123.000000,1.03963231324346650e-01,2.45180526854417786e-05
123.500000,1.04025010579876093e-01,3.49497494538040704e-05
124.000000,1.04117844910072810e-01,2.43140682664979823e-05
124.500000,1.04192573920574127e-01,3.91517349240099865e-05
125.000000,1.04281462795994803e-01,2.21516310058498040e-05
125.500000,1.04324046475003027e-01,7.65127689507550686e-05
126.000000,1.04429572485131961e-01,6.02187613810927202e-05
126.500000,1.04536793462771185e-01,2.10764233864342995e-05
127.000000,1.04606372749492943e-01,5.63483607203655207e-05
127.500000,1.04674085493051378e-01,7.94887521253162061e-05
128.000000,1.04781327831470539e-01,6.13688692673630595e-05
128.500000,1.04896929094452043e-01,1.03081960406622839e-05
129.000000,1.04971431686652183e-01,5.27073765298276777e-05
129.500000,1.05007434480623593e-01,1.06573657029076921e-04
130.000000,1.05176520580389538e-01,1.43804675759899685e-05
130.500000,1.05191883563989813e-01,1.10487249140036985e-04
131.000000,1.05360480727232253e-01,3.76331854572123215e-05
131.500000,1.05465380696085367e-01,1.90949550203520600e-05
132.000000,1.05565259855873061e-01,2.00928959809548922e-05
132.500000,1.05669227012911704e-01,4.97896511023060891e-06
133.000000,1.05738319543644876e-01,6.63905243580628765e-05
133.500000,1.05857127172458376e-01,4.76329816630104223e-05
134.000000,1.05966454155692974e-01,3.94488593405907916e-05
134.500000,1.06060473745539424e-01,5.29103584928667669e-05
135.000000,1.08141173766244783e-01,3.23182582357887048e-04
135.500000,1.06060473745539327e-01,5.29103584929351597e-05
136.000000,1.05966454155692891e-01,3.94488593406842769e-05
136.500000,1.05857127172458265e-01,4.76329816631128387e-05
137.000000,1.05738319543644793e-01,6.63905243581588555e-05
137.500000,1.05669227012911676e-01,4.97896511017841644e-06
138.000000,1.05565259855873061e-01,2.00928959808582796e-05
138.500000,1.05465380696085340e-01,1.90949550202585543e-05
139.000000,1.05360480727232253e-01,3.76331854571466528e-05
139.500000,1.05191883563989660e-01,1.10487249140121092e-04
140.000000,1.05176520580389440e-01,1.43804675760584054e-05
140.500000,1.05007434480623801e-01,1.06573657028980495e-04
141.000000,1.04971431686652239e-01,5.27073765297642044e-05
141.500000,1.04896929094452016e-01,1.03081960406827042e-05
142.000000,1.04781327831470553e-01,6.13688692673075348e-05
142.500000,1.04674085493051419e-01,7.94887521253155013e-05
143.000000,1.04606372749492860e-01,5.63483607204643593e-05
143.500000,1.04536793462771171e-01,2.10764233864861345e-05
144.000000,1.04429572485132044e-01,6.02187613810183981e-05
144.500000,1.04324046475003041e-01,7.65127689507384126e-05
145.000000,1.04281462795994734e-01,2.21516310058879035e-05
145.500000,1.04192573920574100e-01,3.91517349240668190e-05
146.000000,1.04117844910072824e-01,2.43140682665429394e-05
146.500000,1.04025010579876065e-01,3.49497494537970028e-05
147.000000,1.03963231324346664e-01,2.45180526854590039e-05
147.500000,1.03884614827918012e-01,3.47836260060638356e-05
148.000000,1.03807715194604050e-01,2.89811025304291025e-05
148.500000,1.03731666902323910e-01,3.86684975708410252e-05
149.000000,1.03666281319298281e-01,3.32254991075690097e-05
149.500000,1.03586862042500782e-01,4.08626547162539046e-05
150.000000,1.03530813026880414e-01,2.28271525810466914e-05
150.500000,1.03457667457818578e-01,3.51656901698345177e-05
151.000000,1.03394719585379741e-01,2.38175087564155250e-05
151.500000,1.03334114242834035e-01,2.08537085069483941e-05
152.000000,1.03268325608071629e-01,3.05819458165881530e-05
152.500000,1.03210559633629489e-01,2.22601183163476389e-05
153.000000,1.03154773994060117e-01,1.96652625132861865e-05
153.500000,1.03104271637567829e-01,3.88967323700458627e-06
154.000000,1.03040361491609542e-01,2.35332770077579994e-05
