theta_deg,response_magnitude,response_magnitude_std
0.000000,8.86005535886494056e-02,1.15027873639144922e-04
0.500000,8.87112697489440272e-02,2.69065888869691272e-10
1.000000,8.87012113245157774e-02,2.94550018372647298e-06
1.500000,8.86807329195932470e-02,3.98202337643890393e-06
2.000000,8.86520520111962057e-02,1.00223122602809174e-05
2.500000,8.86238288142856823e-02,1.38306806470774012e-05
3.000000,8.85941822581091526e-02,2.05687239365037276e-05
3.500000,8.85574420273886609e-02,2.51849344295712377e-05
4.000000,8.85073349077853955e-02,4.00190909888546996e-05
4.500000,8.84469559651006598e-02,4.82571606166408800e-05
5.000000,8.83879604070243602e-02,5.04927538961788460e-05
5.500000,8.83467696224520954e-02,4.24216371987080426e-05
6.000000,8.82936524796995026e-02,3.21898065168638118e-05
6.500000,8.82313684588995062e-02,2.58719498073469256e-05
7.000000,8.81576233126426662e-02,2.62648793472053162e-05
7.500000,8.80741536117672780e-02,3.23222342189166207e-05
8.000000,8.79867116381864850e-02,3.80261445342466365e-05
8.500000,8.78939408543082945e-02,4.42631598745381615e-05
9.000000,8.77998048075734200e-02,4.39723000680172327e-05
9.500000,8.77004109290233230e-02,4.36975924564751876e-05
10.000000,8.75996089967144287e-02,3.54386372295917407e-05
10.500000,8.74940185565691586e-02,3.00190393289168611e-05
11.000000,8.73862655423720686e-02,2.46664395589373516e-05
11.500000,8.72674185520942169e-02,2.62822979402078988e-05
12.000000,8.71299097488173468e-02,3.80790209281644537e-05
12.500000,8.69770255987244029e-02,5.69702782520106643e-05
13.000000,8.68507475971093679e-02,5.59447267076487267e-05
13.500000,8.67368257880445359e-02,2.51939086441501094e-05
14.000000,8.65859952244402986e-02,3.44186236296150115e-05
14.500000,8.64029948640849255e-02,6.76177457284748480e-05
15.000000,8.62905223445452063e-02,2.53664454388864469e-05
15.500000,8.61103951819627011e-02,4.78656044019672326e-05
16.000000,8.59632779349744636e-02,3.07129073112629523e-05
16.500000,8.57749766990782286e-02,5.16195010810014681e-05
17.000000,8.56289467807307414e-02,2.63814143802329438e-05
17.500000,8.54160711497909814e-02,5.64848830801342419e-05
18.000000,8.52630879413980719e-02,3.90916942004340847e-05
18.500000,8.50854941941669718e-02,2.82040231966442613e-05
19.000000,8.48819057139660327e-02,4.16702864595298969e-05
19.500000,8.46638971971478693e-02,5.77210964609568624e-05
20.000000,8.44538743210102860e-02,6.64973048886318622e-05
20.500000,8.42579223352833695e-02,6.40404324751706148e-05
21.000000,8.40447445388382841e-02,6.74082495727359608e-05
21.500000,8.38538334674745894e-02,5.81084322150281517e-05
22.000000,8.36645578509394028e-02,4.51281045767004476e-05
22.500000,8.34626959929971463e-02,2.64550885187808029e-05
23.000000,8.32234204648431425e-02,5.20460874475631705e-05
23.500000,8.30099448217983676e-02,4.31192179751536790e-05
24.000000,8.27774003051241353e-02,5.05703203367145843e-05
24.500000,8.25496771334124357e-02,4.89387038651128056e-05
25.000000,8.23045262483370899e-02,5.74585311447050118e-05
25.500000,8.20891371323040075e-02,4.15539464491869942e-05
26.000000,8.18628998754614839e-02,2.42993983857882652e-05
26.500000,8.16241149395406651e-02,2.20370309788642451e-05
27.000000,8.13780273557073164e-02,2.94533789595572676e-05
27.500000,8.11360729678409776e-02,2.51522764226371288e-05
28.000000,8.08844639461655524e-02,3.35829487277980213e-05
28.500000,8.05903457492038594e-02,7.18245691038888742e-05
29.000000,8.03938513318968873e-02,2.09905960366943831e-05
29.500000,8.01119076787839557e-02,5.65076682323327554e-05
30.000000,7.98888901705108595e-02,2.38148051425005453e-05
30.500000,7.96367033773575095e-02,2.16039784524225859e-05
31.000000,7.93760068148793851e-02,3.21074145683703378e-05
31.500000,7.91237243847260907e-02,2.88647019175099113e-05
32.000000,7.88764069171796200e-02,1.47377208830864905e-05
