theta_deg,response_magnitude,response_magnitude_std
0.000000,1.16995537637959945e-01,2.59147241920289564e-04
0.500000,1.17258468581488529e-01,6.36411035571892758e-10
1.000000,1.17270335780290391e-01,5.73806420169138875e-10
1.500000,1.17292458769010191e-01,3.74854807198339951e-06
2.000000,1.17320286728478398e-01,3.01580583706675879e-06
2.500000,1.17359910732026243e-01,8.05662126564976366e-06
3.000000,1.17407639602078950e-01,1.23664197912330283e-05
3.500000,1.17465074840809522e-01,1.08976827914521714e-05
4.000000,1.17526397954252876e-01,1.78034362124400965e-05
4.500000,1.17601076689088632e-01,1.56712790425383735e-05
5.000000,1.17680779045148537e-01,2.34009796072865372e-05
5.500000,1.17769975038556199e-01,2.32526563006193806e-05
6.000000,1.17861890448591189e-01,2.48220990932820356e-05
6.500000,1.17961930946977461e-01,3.12585032587215725e-05
7.000000,1.18061101521601874e-01,2.56349901399663063e-05
7.500000,1.18175119684387209e-01,3.19876721485371296e-05
8.000000,1.18285817816297795e-01,3.68783997618539111e-05
8.500000,1.18397748357869717e-01,3.49639307682938634e-05
9.000000,1.18508206526896476e-01,2.36586124454295923e-05
9.500000,1.18630127487941717e-01,3.00094182069489805e-05
10.000000,1.18751239705726624e-01,3.01360110197385215e-05
10.500000,1.18869041984541554e-01,3.43574567752200411e-05
11.000000,1.18985110459818397e-01,3.19495076504109339e-05
11.500000,1.19099897182246173e-01,2.74176834830884501e-05
12.000000,1.19223184402606167e-01,2.47205793794712222e-05
12.500000,1.19362709165771658e-01,2.92587926143113293e-05
13.000000,1.19469519836269356e-01,3.76614233710751743e-05
13.500000,1.19569637210545879e-01,2.81813675827868576e-05
14.000000,1.19709000300297186e-01,3.18348420891191862e-05
14.500000,1.19796897633378488e-01,3.28298494741775576e-05
15.000000,1.19917322891515771e-01,2.01440067127186875e-05
15.500000,1.20034708163517939e-01,3.60148210134719610e-05
16.000000,1.20142999667386743e-01,3.53230155482649329e-05
16.500000,1.20249122625661786e-01,3.59490721366755096e-05
17.000000,1.20350016096999426e-01,3.97951963745989289e-05
17.500000,1.20446623035489295e-01,2.64394663203120381e-05
18.000000,1.20563836028369537e-01,9.30067406805951350e-06
18.500000,1.20635275933795860e-01,4.14008835927123607e-05
19.000000,1.20747886361573978e-01,3.09195248947955156e-05
19.500000,1.20841492618728480e-01,3.76151038297917542e-05
20.000000,1.20913359885253396e-01,5.24986240877554574e-05
20.500000,1.20998998208710032e-01,4.81319879528472003e-05
21.000000,1.21080004236995442e-01,5.10910915048193697e-05
21.500000,1.21182521059999271e-01,3.67272719979360381e-05
22.000000,1.21267891305557179e-01,3.00980380748382639e-05
22.500000,1.21303817583184342e-01,6.71536414428371316e-05
23.000000,1.21397413623857670e-01,4.63340483557648478e-05
23.500000,1.21492681473582179e-01,3.39353511155454581e-05
24.000000,1.21548313317997286e-01,5.18401912387881703e-05
24.500000,1.21637316245199578e-01,3.45817792440014784e-05
25.000000,1.21676218322380847e-01,8.17824521625009878e-05
25.500000,1.21758606947794515e-01,5.94385733554978949e-05
26.000000,1.21800302929232135e-01,8.08398904668374495e-05
26.500000,1.21895587936621058e-01,8.25066777279101818e-05
27.000000,1.21976462233838262e-01,3.26698500281727227e-05
27.500000,1.22030334196907439e-01,6.93332561688209326e-05
28.000000,1.22107324541085582e-01,4.71850727850183990e-05
28.500000,1.22197425423335213e-01,6.92343015233473549e-05
29.000000,1.22230860466507857e-01,9.71770874731247262e-05
29.500000,1.22297651665597917e-01,1.25505587862283468e-04
30.000000,1.22386464725936048e-01,1.30948292123682483e-04
30.500000,1.22492707909058043e-01,1.45684598265587552e-04
31.000000,1.22555070497212176e-01,1.91059584231287577e-04
31.500000,1.22634988225897829e-01,1.82100552935082928e-04
32.000000,1.22695321295407223e-01,1.53752660811276007e-04
32.500000,1.22737792706974422e-01,1.57676436178351941e-04
33.000000,1.22832219108322857e-01,1.19943931399222031e-04
33.500000,1.22965603298254164e-01,1.10133713210001485e-04
34.000000,1.22966542915320193e-01,1.16190652862718094e-04
34.500000,1.23071044610363889e-01,6.49156328920968143e-05
35.000000,1.23130840183203111e-01,8.39402201963426042e-05
35.500000,1.23235480629808616e-01,6.68906115254442067e-05
36.000000,1.23328015326204618e-01,1.02382884249790302e-04
36.500000,1.23408622864346701e-01,5.21326196090024402e-05
37.000000,1.23405630364344182e-01,1.37800610596565268e-04
37.500000,1.23491799486252621e-01,1.55085953299832774e-04
38.000000,1.23607135666335313e-01,1.38477897551213876e-04
38.500000,1.23745417390378129e-01,1.87527500664509141e-04
39.000000,1.23847405602739255e-01,1.98396310526527522e-04
39.500000,1.23808425475412501e-01,2.32325510567836892e-04
