method,label,phase_px,mean_offset
roberts,Roberts,0.0000,3.97439081031850217e-01
roberts,Roberts,0.0625,4.35560371945039160e-01
roberts,Roberts,0.1250,4.26732348586280952e-01
roberts,Roberts,0.1875,4.14979392394959290e-01
roberts,Roberts,0.2500,4.02447554997342360e-01
roberts,Roberts,0.3125,3.95097069635969578e-01
roberts,Roberts,0.3750,3.61733110478311248e-01
roberts,Roberts,0.4375,3.26897044654877067e-01
roberts,Roberts,0.5000,2.99526532316566452e-01
roberts,Roberts,0.5625,2.88957423097588706e-01
roberts,Roberts,0.6250,2.72949529578402850e-01
roberts,Roberts,0.6875,2.40669447017598209e-01
roberts,Roberts,0.7500,2.12131686608793557e-01
roberts,Roberts,0.8125,2.13921949061023825e-01
roberts,Roberts,0.8750,2.34633514643381669e-01
roberts,Roberts,0.9375,3.01780074483553207e-01
prewitt,Prewitt,0.0000,2.48238354071274695e-08
prewitt,Prewitt,0.0625,-2.28596457650252043e-02
prewitt,Prewitt,0.1250,-6.58740194020624587e-02
prewitt,Prewitt,0.1875,-1.44724991873403847e-01
prewitt,Prewitt,0.2500,-1.86360531207768076e-01
prewitt,Prewitt,0.3125,-1.87800882310611900e-01
prewitt,Prewitt,0.3750,-1.89387014792694819e-01
prewitt,Prewitt,0.4375,-1.90723361919876155e-01
prewitt,Prewitt,0.5000,-1.62207077939048677e-01
prewitt,Prewitt,0.5625,3.59039529702198379e-02
prewitt,Prewitt,0.6250,9.38655258180845914e-02
prewitt,Prewitt,0.6875,1.27972314827143413e-01
prewitt,Prewitt,0.7500,1.50554573647332435e-01
prewitt,Prewitt,0.8125,1.55252220656936474e-01
prewitt,Prewitt,0.8750,1.30782554568192932e-01
prewitt,Prewitt,0.9375,9.57353231051837339e-02
sobel,Sobel,0.0000,2.17659708398048262e-08
sobel,Sobel,0.0625,-2.29185696459814799e-02
sobel,Sobel,0.1250,-6.60812095873503924e-02
sobel,Sobel,0.1875,-1.45005250776640365e-01
sobel,Sobel,0.2500,-1.86623222680601997e-01
sobel,Sobel,0.3125,-1.88055362978860857e-01
sobel,Sobel,0.3750,-1.89588213851999060e-01
sobel,Sobel,0.4375,-1.90717112636022867e-01
sobel,Sobel,0.5000,-1.60991189779403243e-01
sobel,Sobel,0.5625,3.69545321969452847e-02
sobel,Sobel,0.6250,9.45117805438795699e-02
sobel,Sobel,0.6875,1.28165199401928831e-01
sobel,Sobel,0.7500,1.50396957190110814e-01
sobel,Sobel,0.8125,1.54951794795799347e-01
sobel,Sobel,0.8750,1.30588712513204724e-01
sobel,Sobel,0.9375,9.57055497978311354e-02
scharr,Scharr,0.0000,1.72601598293090225e-08
scharr,Scharr,0.0625,-2.29615854735312382e-02
scharr,Scharr,0.1250,-6.62298660020337882e-02
scharr,Scharr,0.1875,-1.45202305665123321e-01
scharr,Scharr,0.2500,-1.86806978911632310e-01
scharr,Scharr,0.3125,-1.88237115608054423e-01
scharr,Scharr,0.3750,-1.89737224308355296e-01
scharr,Scharr,0.4375,-1.90727217563739587e-01
scharr,Scharr,0.5000,-1.60169405023233846e-01
scharr,Scharr,0.5625,3.76625077278047102e-02
scharr,Scharr,0.6250,9.49474986965152118e-02
scharr,Scharr,0.6875,1.28303618223412852e-01
scharr,Scharr,0.7500,1.50310513931299933e-01
scharr,Scharr,0.8125,1.54774922136759335e-01
scharr,Scharr,0.8750,1.30481393255529821e-01
scharr,Scharr,0.9375,9.56983400571153886e-02
dog,DoG,0.0000,-1.06976913027510208e-08
dog,DoG,0.0625,-2.14642814846339597e-02
dog,DoG,0.1250,-6.16195764091375456e-02
dog,DoG,0.1875,-1.40088810436892724e-01
dog,DoG,0.2500,-1.81983805159849937e-01
dog,DoG,0.3125,-1.82589008328250729e-01
dog,DoG,0.3750,-1.83509338533587252e-01
dog,DoG,0.4375,-1.85228976004434776e-01
dog,DoG,0.5000,-1.93354824277958276e-01
dog,DoG,0.5625,2.41993745876164686e-02
dog,DoG,0.6250,8.55487583629661319e-02
dog,DoG,0.6875,1.23171795307737739e-01
