method,label,snr_db,localisation_rms
roberts,Roberts,inf,5.32148422059968484e-01
roberts,Roberts,20,6.25977050650794675e-01
roberts,Roberts,15,1.25588306715670921e+01
roberts,Roberts,10,3.73967760346319835e+01
roberts,Roberts,5,4.27494790683884105e+01
roberts,Roberts,0,4.37128598474951886e+01
prewitt,Prewitt,inf,1.47452417282832982e-01
prewitt,Prewitt,20,2.39818115231351187e-01
prewitt,Prewitt,15,3.58065854736421441e-01
prewitt,Prewitt,10,4.52957214223993709e+00
prewitt,Prewitt,5,2.99888630375923171e+01
prewitt,Prewitt,0,4.09692080232734597e+01
sobel,Sobel,inf,1.47379863592740135e-01
sobel,Sobel,20,2.46063712392669859e-01
sobel,Sobel,15,3.69948240173772536e-01
sobel,Sobel,10,5.92118018520492839e+00
sobel,Sobel,5,3.15060678069053246e+01
sobel,Sobel,0,4.12278195680911494e+01
scharr,Scharr,inf,1.47346023430021927e-01
scharr,Scharr,20,2.58140970056297880e-01
scharr,Scharr,15,3.91096473116604504e-01
scharr,Scharr,10,8.90288432287205644e+00
scharr,Scharr,5,3.38733866824063270e+01
scharr,Scharr,0,4.18168269791946372e+01
dog,DoG,inf,1.44788460469405356e-01
dog,DoG,20,1.57396251436680762e-01
dog,DoG,15,1.71697218328165535e-01
dog,DoG,10,2.04744180134862008e-01
dog,DoG,5,2.78500735314815673e-01
dog,DoG,0,4.32122611974273430e-01
farid_simoncelli,Farid-Simoncelli,inf,1.46229634719695939e-01
farid_simoncelli,Farid-Simoncelli,20,1.84816772027702136e-01
farid_simoncelli,Farid-Simoncelli,15,2.34575451553177050e-01
farid_simoncelli,Farid-Simoncelli,10,3.47518494661219257e-01
farid_simoncelli,Farid-Simoncelli,5,2.61638796319131295e+00
farid_simoncelli,Farid-Simoncelli,0,2.56901402610763796e+01
square_sg,Square SG,inf,1.44304447691308124e-01
square_sg,Square SG,20,1.85633205606208995e-01
square_sg,Square SG,15,2.36858731891317786e-01
square_sg,Square SG,10,3.43002143706024054e-01
square_sg,Square SG,5,5.35279801547511647e-01
square_sg,Square SG,0,8.35039760071568549e-01
wvf,WVF,inf,1.44403152694353110e-01
wvf,WVF,20,1.75164784738424534e-01
wvf,WVF,15,2.10815522314398623e-01
wvf,WVF,10,2.91797375203493581e-01
wvf,WVF,5,4.48305958196313137e-01
wvf,WVF,0,7.28956186601547595e-01
